Unnamed: 0,csvTime,P4_23,P4_24,P4_25,P4_26
0,2024-05-16 16:00:44,-845.0,-835.0,24.0,24.0
1,2024-05-16 16:01:45,-973.0,-963.0,30.0,28.0
2,2024-05-16 16:02:45,-915.0,-875.0,31.0,29.0
3,2024-05-16 16:03:45,-810.0,-988.0,30.0,30.0
4,2024-05-16 16:04:45,-960.0,-658.0,19.0,22.0
5,2024-05-16 16:05:45,-587.0,-607.0,32.0,32.0
6,2024-05-16 16:06:45,-402.0,-449.0,44.0,43.0
7,2024-05-16 16:07:45,-624.0,-612.0,31.0,31.0
8,2024-05-16 16:08:44,-1595.0,-1686.0,56.0,63.0
9,2024-05-16 16:09:44,-532.0,-585.0,24.0,26.0
10,2024-05-16 16:10:45,-604.0,-605.0,29.0,29.0
11,2024-05-16 16:11:44,-472.0,-489.0,34.0,32.0
12,2024-05-16 16:12:45,-524.0,-562.0,32.0,33.0
13,2024-05-16 16:13:45,-684.0,-661.0,39.0,37.0
14,2024-05-16 16:14:45,-903.0,-898.0,22.0,21.0
15,2024-05-16 16:15:45,-903.0,-898.0,22.0,21.0
16,2024-05-16 16:16:45,-442.0,-440.0,32.0,32.0
17,2024-05-16 16:17:45,-900.0,-799.0,0.0,1.0
18,2024-05-16 16:18:44,579.0,477.0,31.0,28.0
19,2024-05-16 16:19:45,-901.0,-899.0,0.0,1.0
20,2024-05-16 16:20:45,-901.0,-898.0,0.0,1.0
21,2024-05-16 16:21:45,-901.0,-900.0,0.0,1.0
22,2024-05-16 16:22:45,-901.0,-900.0,0.0,1.0
23,2024-05-16 16:23:45,-901.0,-900.0,34.0,33.0
24,2024-05-16 16:24:45,-901.0,-900.0,34.0,33.0
25,2024-05-16 16:25:45,-901.0,-900.0,32.0,33.0
26,2024-05-16 16:26:45,-901.0,-900.0,19.0,18.0
27,2024-05-16 16:27:45,-901.0,-900.0,23.0,23.0
28,2024-05-16 16:28:45,-901.0,-900.0,24.0,23.0
29,2024-05-16 16:29:45,-901.0,-900.0,31.0,31.0
30,2024-05-16 16:30:45,-901.0,-900.0,0.0,1.0
31,2024-05-16 16:31:45,-597.0,-597.0,36.0,36.0
32,2024-05-16 16:32:44,-906.0,-904.0,42.0,41.0
33,2024-05-16 16:33:45,-906.0,-904.0,42.0,41.0
34,2024-05-16 16:34:45,-222.0,-213.0,27.0,27.0
35,2024-05-16 16:35:45,-335.0,-330.0,37.0,36.0
36,2024-05-16 16:36:45,-108.0,-143.0,28.0,28.0
37,2024-05-16 16:37:45,337.0,332.0,28.0,28.0
38,2024-05-16 16:38:45,-263.0,-275.0,26.0,25.0
39,2024-05-16 16:39:44,-293.0,-292.0,18.0,17.0
40,2024-05-16 16:40:44,-90.0,-96.0,18.0,17.0
41,2024-05-16 16:41:44,-105.0,-90.0,15.0,15.0
42,2024-05-16 16:42:45,-335.0,-335.0,14.0,13.0
43,2024-05-16 16:43:44,-335.0,-335.0,7.0,6.0
44,2024-05-16 16:44:45,-335.0,-330.0,8.0,7.0
45,2024-05-16 16:45:44,-335.0,-330.0,8.0,7.0
46,2024-05-16 16:46:44,-335.0,-330.0,14.0,14.0
47,2024-05-16 16:47:44,-900.0,-895.0,45.0,45.0
48,2024-05-16 16:48:45,-900.0,-898.0,26.0,14.0
49,2024-05-16 16:49:45,-900.0,-896.0,0.0,1.0
50,2024-05-16 16:50:44,-900.0,-896.0,19.0,19.0
51,2024-05-16 16:51:45,-900.0,-898.0,56.0,56.0
52,2024-05-16 16:52:45,-335.0,-271.0,41.0,40.0
53,2024-05-16 16:53:45,-268.0,-301.0,31.0,31.0
54,2024-05-16 16:54:45,30.0,40.0,22.0,22.0
55,2024-05-16 16:55:45,-51.0,-49.0,16.0,15.0
56,2024-05-16 16:56:44,-193.0,-210.0,13.0,12.0
57,2024-05-16 16:57:45,-303.0,-283.0,11.0,12.0
58,2024-05-16 16:58:45,-50.0,-40.0,11.0,10.0
59,2024-05-16 16:59:44,-335.0,-332.0,16.0,15.0
60,2024-05-16 17:00:44,-335.0,-332.0,27.0,27.0
61,2024-05-16 17:01:45,2.0,-118.0,23.0,21.0
62,2024-05-16 17:02:45,-900.0,-895.0,27.0,27.0
63,2024-05-16 17:03:45,-898.0,-895.0,8.0,27.0
64,2024-05-16 17:04:44,-900.0,-899.0,14.0,14.0
65,2024-05-16 17:05:45,-900.0,-898.0,18.0,18.0
66,2024-05-16 17:06:45,-900.0,-899.0,27.0,27.0
67,2024-05-16 17:07:44,-900.0,-898.0,0.0,1.0
68,2024-05-16 17:08:45,-2.0,10.0,45.0,45.0
69,2024-05-16 17:09:44,367.0,347.0,37.0,37.0
70,2024-05-16 17:10:44,-4.0,-2.0,22.0,22.0
71,2024-05-16 17:11:45,-4.0,-2.0,22.0,22.0
72,2024-05-16 17:12:45,-4.0,-2.0,22.0,22.0
73,2024-05-16 17:13:44,301.0,297.0,22.0,22.0
74,2024-05-16 17:14:44,298.0,300.0,22.0,22.0
75,2024-05-16 17:15:44,0.0,-4.0,22.0,22.0
76,2024-05-16 17:16:45,85.0,96.0,22.0,22.0
77,2024-05-16 17:17:44,85.0,88.0,22.0,22.0
78,2024-05-16 17:18:45,85.0,88.0,22.0,22.0
79,2024-05-16 17:19:45,85.0,88.0,22.0,22.0
80,2024-05-16 17:20:45,-340.0,-337.0,22.0,22.0
81,2024-05-16 17:21:45,-900.0,262.0,0.0,6.0
82,2024-05-16 17:22:45,-901.0,-900.0,43.0,42.0
83,2024-05-16 17:23:45,-44.0,-60.0,14.0,14.0
84,2024-05-16 17:24:44,-335.0,-332.0,15.0,14.0
85,2024-05-16 17:25:45,-335.0,-332.0,13.0,12.0
86,2024-05-16 17:26:45,-901.0,-900.0,18.0,14.0
87,2024-05-16 17:27:44,-904.0,-900.0,36.0,36.0
88,2024-05-16 17:28:44,-900.0,-900.0,46.0,46.0
89,2024-05-16 17:29:45,-901.0,-898.0,35.0,31.0
90,2024-05-16 17:30:45,-29.0,-30.0,34.0,34.0
91,2024-05-16 17:31:45,-17.0,-58.0,13.0,20.0
92,2024-05-16 17:32:44,-50.0,-60.0,13.0,12.0
93,2024-05-16 17:33:45,-257.0,-207.0,9.0,9.0
94,2024-05-16 17:34:44,-335.0,-335.0,15.0,9.0
95,2024-05-16 17:35:44,-335.0,-335.0,21.0,21.0
96,2024-05-16 17:36:45,-335.0,-335.0,27.0,22.0
97,2024-05-16 17:37:44,-335.0,-335.0,30.0,29.0
98,2024-05-16 17:38:44,-265.0,-290.0,21.0,20.0
99,2024-05-16 17:39:45,-901.0,-900.0,0.0,1.0
100,2024-05-16 17:40:45,-901.0,-900.0,10.0,9.0
101,2024-05-16 17:41:45,-904.0,-900.0,44.0,40.0
102,2024-05-16 17:42:44,-906.0,-903.0,44.0,44.0
103,2024-05-16 17:43:44,-906.0,-903.0,0.0,1.0
104,2024-05-16 17:44:44,869.0,865.0,50.0,50.0
105,2024-05-16 17:45:45,16.0,-20.0,36.0,35.0
106,2024-05-16 17:46:44,2.0,5.0,18.0,17.0
107,2024-05-16 17:47:44,-901.0,-900.0,39.0,39.0
108,2024-05-16 17:48:45,635.0,900.0,38.0,38.0
109,2024-05-16 17:49:45,-337.0,-320.0,27.0,27.0
110,2024-05-16 17:50:44,-335.0,-337.0,22.0,22.0
111,2024-05-16 17:51:44,-335.0,-330.0,16.0,16.0
112,2024-05-16 17:52:44,-335.0,-330.0,16.0,16.0
113,2024-05-16 17:53:45,-335.0,-334.0,16.0,16.0
114,2024-05-16 17:54:45,-335.0,-334.0,16.0,16.0
115,2024-05-16 17:55:45,-335.0,-332.0,33.0,32.0
116,2024-05-16 17:56:45,-335.0,-332.0,18.0,17.0
117,2024-05-16 17:57:45,-100.0,-91.0,16.0,15.0
118,2024-05-16 17:58:45,-342.0,-307.0,18.0,17.0
119,2024-05-16 17:59:44,-335.0,-334.0,18.0,18.0
120,2024-05-16 18:00:45,-256.0,-266.0,18.0,18.0
121,2024-05-16 18:01:44,-335.0,-332.0,18.0,17.0
122,2024-05-16 18:02:45,-335.0,-330.0,18.0,18.0
123,2024-05-16 18:03:44,-335.0,-330.0,18.0,17.0
124,2024-05-16 18:04:45,-335.0,-330.0,18.0,18.0
125,2024-05-16 18:05:45,-900.0,-898.0,0.0,1.0
126,2024-05-16 18:06:45,-900.0,-898.0,1.0,1.0
127,2024-05-16 18:07:45,-900.0,-898.0,37.0,37.0
128,2024-05-16 18:08:44,-900.0,-898.0,0.0,12.0
129,2024-05-16 18:09:45,-900.0,-898.0,29.0,20.0
130,2024-05-16 18:10:44,-900.0,-898.0,30.0,29.0
131,2024-05-16 18:11:45,-900.0,-898.0,0.0,1.0
132,2024-05-16 18:12:45,-900.0,-898.0,41.0,41.0
133,2024-05-16 18:13:45,-90.0,-136.0,30.0,30.0
134,2024-05-16 18:14:45,-111.0,-136.0,27.0,27.0
135,2024-05-16 18:15:44,50.0,63.0,0.0,18.0
136,2024-05-16 18:16:45,-964.0,-961.0,0.0,1.0
137,2024-05-16 18:17:44,-970.0,-965.0,36.0,29.0
138,2024-05-16 18:18:45,-901.0,-905.0,0.0,1.0
139,2024-05-16 18:19:45,-4.0,-24.0,11.0,11.0
140,2024-05-16 18:20:44,-926.0,-925.0,37.0,37.0
141,2024-05-16 18:21:45,-900.0,-895.0,39.0,39.0
142,2024-05-16 18:22:44,96.0,113.0,42.0,41.0
143,2024-05-16 18:23:45,-909.0,-905.0,47.0,47.0
