Channel_Text,Channel_Text_CN,Alarm_Information_Range_Low,Alarm_Information_Range_High,Alarm_Information_Unit,Parameter_Information_Alarm,Parameter_Information_Inhibit,Parameter_Information_Delayed,Safety_Protection_Set_Value,Remarks,Function_code,Function_code_type
DG1 Engine Load,一号柴油发电机组负载,,100.0,%,,,,,,3,int16
DG1 Engine Speed,一号柴油发电机组转速,,2000.0,RPM,,,,,,3,int16
DG1 Fuel Rate,一号柴油发电机组燃油消耗率,,800.0,L/h,,,,,,3,int16
DG1 Battery Voltage,一号柴油发电机组蓄电池电压,,30.0,V,21V ↓,,,,Alarm state,3,int16
DG1 Engine Jacket Water Temperature,一号柴油发电机组缸套水温度,,120.0,℃,102℃↑,,,,Alarm state,3,int16
DG1 Engine Jacket Water Pressure,一号柴油发电机组缸套水压力,,500.0,kPa,41kPa↓,,,,Alarm state,3,int16
DG1 Engine Jacket Water Level,一号柴油发电机组缸套水液位,,100.0,%,,,,,Alarm state,3,int16
DG1 Left Exhaust Gas Temperature,一号柴油发电机组左排气温度,,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG1 Right Exhaust Gas Temperature,一号柴油发电机组右排气温度,,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG1 Engine LO Pressure,一号柴油发电机组滑油压力,,800.0,kPa,"
210kPa↓",,,"
180kPa↓",Alarm state,3,int16
DG1 Engine LO Temperature,一号柴油发电机组滑油温度,,1735.0,℃,"
110℃↑",,,,Alarm state,3,int16
DG1 Engine Starting Air Pressure ,一号柴油发电机组启动空气压力,,1000.0,kPa,"
400kPa↓",,,,Alarm state,3,int16
DG1 Engine FO After Filter Pressure,一号柴油发电机组燃油压力,,800.0,kPa,,,,,Alarm state,3,int16
DG1 Emergency Stop,一号柴油发电机组应急停止,,,,,,,,Alarm state,3,Bool
DG1 Safety System  Failure,一号柴油发电机组安全系统故障,,,,,,,,Alarm state,3,Bool
DG1 Control System Failure,一号柴油发电机组控制系统故障,,,,,,,,Alarm state,3,Bool
DG1 ECM General Alarm,一号柴油发电机组发动机控制模块通用报警,,,,,,,,Alarm state,3,Bool
DG1 Engine Start Failure,一号柴油发电机组启动故障,,,,,,,,Alarm state,3,Bool
DG1 Engine After Coolant Temperature,一号柴油发电机组冷却液温度,0.0,120.0,℃,"
60℃↑",,,,Alarm state,3,int16
DG1 Engine Speed Sensor Fault,一号柴油发电机组转速传感器故障,,,,,,,,Alarm state,3,Bool
G1 Engine Jacket Water Temperature Sensor Fault,一号柴油发电机组缸套水温度传感器故障,,,,,,,,Alarm state,3,Bool
DG1 Engine LO Pressure Sensor Fault,一号柴油发电机组滑油压力传感器故障,,,,,,,,Alarm state,3,Bool
DG1 Emergency Stop Sensor Fault,一号柴油发电机组应急停止传感器故障,,,,,,,,Alarm state,3,Bool
DG1 Overspeed Shutdown,一号柴油发电机组超速停车,0.0,2000.0,RPM,,,,2070RPM,Shutdown,3,Bool
DG1 Engine High Jacket Water Temperature Shutdown,一号柴油发电机组缸套水高温停车,0.0,120.0,℃,,,,107℃,Shutdown,3,Bool
DG1 Engine Low LO Pressure Shutdown,一号柴油发电机组滑油压力低停车,0.0,800.0,kPa,,,,180kPa,Shutdown,3,Bool
DG1 Engine Sea Water Pressure Low,一号柴油发电机组海水压力低,0.0,500.0,kPa,35kPa↓,,,,Alarm state,3,Bool
DG1 Engine Lub Filter Pressure Diff.,一号柴油发电机组滑油滤器压差,0.0,200.0,kPa,105kPa↑,,,,Alarm state,3,int16
DG1 Expansion Tank Level Low,一号柴油发电机组膨胀柜液位低,,,,,,,,Alarm state,3,Bool
DG1 Engine MAC Panel 24V Power Failure,一号柴油发电机组MAC报警板24V电源故障,,,,,,,,Alarm state,3,Bool
DG1 Cold Air Temperature,一号柴油发电机组冷风温度,0.0,200.0,℃,55℃↑,,,,Alarm state,3,int16
DG1 Warm Air Temperature,一号柴油发电机组热风温度,0.0,200.0,℃,100℃↑,,,,Alarm state,3,int16
DG1 Generator Bearing Temp NDE,一号柴油发电机组非驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
DG1 Generator Bearing Temp DE,一号柴油发电机组驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
DG1 Winding Temp Phase U,一号柴油发电机组U相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG1 Winding Temp Phase V,一号柴油发电机组V相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG1 Winding Temp Phase W,一号柴油发电机组W相绕组温度显示,0.0,200.0,℃,145℃↑,,,155℃,Alarm state,3,int16
DG1 Water Leakage ,一号柴油发电机组冷却水泄漏报警,,,,,,,,Alarm state,3,Bool
DG1 ALARM SYSTEM FAILIRE ,一号柴油发电机报警系统失效,,,,,,,,Alarm state,3,Bool
DG1 Expansion Tank Level Low ,一号柴油发电机组膨胀水柜低位报警,,,,,,,,Alarm state,3,Bool
DG2 Engine Load,二号柴油发电机组负载,0.0,100.0,%,,,,,,3,int16
DG2 Engine Speed,二号柴油发电机组转速,0.0,2000.0,RPM,,,,,,3,int16
DG2 Fuel Rate,二号柴油发电机组燃油消耗率,0.0,800.0,L/h,,,,,,3,int16
DG2 Battery Voltage,二号柴油发电机组蓄电池电压,0.0,30.0,V,21V ↓,,,,Alarm state,3,int16
DG2 Engine Jacket Water Temperature,二号柴油发电机组缸套水温度,0.0,120.0,℃,102℃↑,,,,Alarm state,3,int16
DG2 Engine Jacket Water Pressure,二号柴油发电机组缸套水压力,0.0,500.0,kPa,41kPa↓,,,,Alarm state,3,int16
DG2 Engine Jacket Water Level,二号柴油发电机组缸套水液位,0.0,100.0,%,,,,,Alarm state,3,int16
DG2 Left Exhaust Gas Temperature,二号柴油发电机组左排气温度,-273.0,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG2 Right Exhaust Gas Temperature,二号柴油发电机组右排气温度,-273.0,1735.0,℃,730℃↑,,,,Alarm state,3,int16
DG2 Engine LO Pressure,二号柴油发电机组滑油压力,0.0,800.0,kPa,"
210kPa↓",,,"
180kPa↓",Alarm state,3,int16
DG2 Engine LO Temperature,二号柴油发电机组滑油温度,-273.0,1735.0,℃,"
110℃↑",,,,Alarm state,3,int16
DG2 Engine Starting Air Pressure ,二号柴油发电机组启动空气压力,0.0,1000.0,kPa,"
400kPa↓",,,,Alarm state,3,int16
DG2 Engine FO After Filter Pressure,二号柴油发电机组燃油压力,0.0,800.0,kPa,,,,,Alarm state,3,int16
DG2 Emergency Stop,二号柴油发电机组应急停止,,,,,,,,Alarm state,3,Bool
DG2 Safety System  Failure,二号柴油发电机组安全系统故障,,,,,,,,Alarm state,3,Bool
DG2 Control System Failure,二号柴油发电机组控制系统故障,,,,,,,,Alarm state,3,Bool
DG2 ECM General Alarm,二号柴油发电机组发动机控制模块通用报警,,,,,,,,Alarm state,3,Bool
DG2 Engine Start Failure,二号柴油发电机组启动故障,,,,,,,,Alarm state,3,Bool
DG2 Engine After Coolant Temperature,二号柴油发电机组冷却液温度,0.0,120.0,℃,60℃↑,,,,Alarm state,3,int16
DG2 Engine Speed Sensor Fault,二号柴油发电机组转速传感器故障,,,,,,,,Alarm state,3,Bool
G1 Engine Jacket Water Temperature Sensor Fault,二号柴油发电机组缸套水温度传感器故障,,,,,,,,Alarm state,3,Bool
DG2 Engine LO Pressure Sensor Fault,二号柴油发电机组滑油压力传感器故障,,,,,,,,Alarm state,3,Bool
DG2 Emergency Stop Sensor Fault,二号柴油发电机组应急停止传感器故障,,,,,,,,Alarm state,3,Bool
DG2 Overspeed Shutdown,二号柴油发电机组超速停车,0.0,2000.0,RPM,,,,2070RPM,Shutdown,3,Bool
DG2 Engine High Jacket Water Temperature Shutdown,二号柴油发电机组缸套水高温停车,0.0,120.0,℃,,,,107℃,Shutdown,3,Bool
DG2 Engine Low LO Pressure Shutdown,二号柴油发电机组滑油压力低停车,0.0,800.0,kPa,,,,82kPa,Shutdown,3,Bool
DG2 Engine Sea Water Pressure Low,二号柴油发电机组海水压力低,0.0,500.0,kPa,35kPa↓,,,,Alarm state,3,Bool
DG2 Engine Lub Filter Pressure Diff.,二号柴油发电机组滑油滤器压差,0.0,200.0,kPa,105kPa↑,,,,Alarm state,3,int16
DG2 Expansion Tank Level Low,二号柴油发电机组膨胀柜液位低,,,,,,,,Alarm state,3,Bool
DG2 Engine MAC Panel 24V Power Failure,二号柴油发电机组MAC报警板24V电源故障,,,,,,,,Alarm state,3,Bool
DG2 Cold Air Temperature,二号柴油发电机组冷风温度,0.0,200.0,℃,55℃↑,,,,Alarm state,3,int16
DG2 Warm Air Temperature,二号柴油发电机组热风温度,0.0,200.0,℃,100℃↑,,,,Alarm state,3,int16
DG2 Generator Bearing Temp NDE,二号柴油发电机组非驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
DG2 Generator Bearing Temp DE,二号柴油发电机组驱动轴轴承温度,0.0,200.0,℃,90℃↑,,,100℃,Alarm state,3,int16
