Unnamed: 0,Ajia-0_v,Ajia-2_v,Ajia-1_v,Ajia-4_v,Ajia-3_v,Ajia-5_v,csvTime,status,check_current_presence,Operational_Status,ajia_0_v_extremes,date
8813,error,error,error,error,-1.0,-1.0,2024-05-25 07:22:49,False,False,未工作,0,2024-05-25
8814,error,error,error,error,-1.0,-1.0,2024-05-25 07:23:49,False,False,未工作,0,2024-05-25
8815,error,error,error,error,-1.0,-1.0,2024-05-25 07:24:49,False,False,未工作,0,2024-05-25
8816,error,error,error,error,-1.0,-1.0,2024-05-25 07:25:49,False,False,未工作,0,2024-05-25
8817,error,error,error,error,-1.0,-1.0,2024-05-25 07:26:49,False,False,未工作,0,2024-05-25
8818,error,error,error,error,-1.0,-1.0,2024-05-25 07:27:49,False,False,未工作,0,2024-05-25
8819,error,error,error,error,-1.0,-1.0,2024-05-25 07:28:49,False,False,未工作,0,2024-05-25
8820,error,error,error,error,-1.0,-1.0,2024-05-25 07:29:49,False,False,未工作,0,2024-05-25
8821,error,error,error,error,-1.0,-1.0,2024-05-25 07:30:49,False,False,未工作,0,2024-05-25
8822,error,error,error,error,-1.0,-1.0,2024-05-25 07:31:49,False,False,未工作,0,2024-05-25
8823,error,error,error,error,-1.0,-1.0,2024-05-25 07:32:49,False,False,未工作,0,2024-05-25
8824,error,error,error,error,-1.0,-1.0,2024-05-25 07:33:49,False,False,未工作,0,2024-05-25
8825,error,error,error,error,-1.0,-1.0,2024-05-25 07:34:49,False,False,未工作,0,2024-05-25
8826,error,error,error,error,-1.0,-1.0,2024-05-25 07:35:49,False,False,未工作,0,2024-05-25
8827,error,error,error,error,-1.0,-1.0,2024-05-25 07:36:49,False,False,未工作,0,2024-05-25
8828,error,error,error,error,-1.0,-1.0,2024-05-25 07:37:49,False,False,未工作,0,2024-05-25
8829,error,error,error,error,-1.0,-1.0,2024-05-25 07:38:49,False,False,未工作,0,2024-05-25
8830,error,error,error,error,-1.0,-1.0,2024-05-25 07:39:49,False,False,未工作,0,2024-05-25
8831,error,error,error,error,-1.0,-1.0,2024-05-25 07:40:49,False,False,未工作,0,2024-05-25
8832,error,error,error,error,-1.0,-1.0,2024-05-25 07:41:49,False,False,未工作,0,2024-05-25
8833,error,error,error,error,-1.0,-1.0,2024-05-25 07:42:49,False,False,未工作,0,2024-05-25
8834,error,error,error,error,-1.0,-1.0,2024-05-25 07:43:49,False,False,未工作,0,2024-05-25
8835,error,error,error,error,-1.0,-1.0,2024-05-25 07:44:49,False,False,未工作,0,2024-05-25
8836,error,error,error,error,-1.0,-1.0,2024-05-25 07:45:49,False,False,未工作,0,2024-05-25
8837,error,error,error,error,-1.0,-1.0,2024-05-25 07:46:49,False,False,未工作,0,2024-05-25
8838,error,error,error,error,-1.0,-1.0,2024-05-25 07:47:49,False,False,未工作,0,2024-05-25
8839,error,error,error,error,-1.0,-1.0,2024-05-25 07:48:49,False,False,未工作,0,2024-05-25
8840,error,error,error,error,-1.0,-1.0,2024-05-25 07:49:49,False,False,未工作,0,2024-05-25
8841,error,error,error,error,-1.0,-1.0,2024-05-25 07:50:49,False,False,未工作,0,2024-05-25
8842,error,error,error,error,-1.0,-1.0,2024-05-25 07:51:49,False,False,未工作,0,2024-05-25
