,Ajia-0_v,Ajia-2_v,Ajia-1_v,Ajia-4_v,Ajia-3_v,Ajia-5_v,csvTime
0,error,error,error,error,error,error,2024-08-15 00:00:28
1,error,error,error,error,error,error,2024-08-15 00:01:27
2,error,error,error,error,error,error,2024-08-15 00:02:27
3,error,error,error,error,error,error,2024-08-15 00:03:27
4,error,error,error,error,error,error,2024-08-15 00:04:28
5,error,error,error,error,error,error,2024-08-15 00:05:28
6,error,error,error,error,error,error,2024-08-15 00:06:28
7,error,error,error,error,error,error,2024-08-15 00:07:27
8,error,error,error,error,error,error,2024-08-15 00:08:27
9,error,error,error,error,error,error,2024-08-15 00:09:27
10,error,error,error,error,error,error,2024-08-15 00:10:28
11,error,error,error,error,error,error,2024-08-15 00:11:27
12,error,error,error,error,error,error,2024-08-15 00:12:28
13,error,error,error,error,error,error,2024-08-15 00:13:27
14,error,error,error,error,error,error,2024-08-15 00:14:28
15,error,error,error,error,error,error,2024-08-15 00:15:27
16,error,error,error,error,error,error,2024-08-15 00:16:27
17,error,error,error,error,error,error,2024-08-15 00:17:28
18,error,error,error,error,error,error,2024-08-15 00:18:27
19,error,error,error,error,error,error,2024-08-15 00:19:27
20,error,error,error,error,error,error,2024-08-15 00:20:28
21,error,error,error,error,error,error,2024-08-15 00:21:27
22,error,error,error,error,error,error,2024-08-15 00:22:27
23,error,error,error,error,error,error,2024-08-15 00:23:28
24,error,error,error,error,error,error,2024-08-15 00:24:27
25,error,error,error,error,error,error,2024-08-15 00:25:27
26,error,error,error,error,error,error,2024-08-15 00:26:27
27,error,error,error,error,error,error,2024-08-15 00:27:28
28,error,error,error,error,error,error,2024-08-15 00:28:27
29,error,error,error,error,error,error,2024-08-15 00:29:27
30,error,error,error,error,error,error,2024-08-15 00:30:28
31,error,error,error,error,error,error,2024-08-15 00:31:27
32,error,error,error,error,error,error,2024-08-15 00:32:28
33,error,error,error,error,error,error,2024-08-15 00:33:27
34,error,error,error,error,error,error,2024-08-15 00:34:27
35,error,error,error,error,error,error,2024-08-15 00:35:28
36,error,error,error,error,error,error,2024-08-15 00:36:28
37,error,error,error,error,error,error,2024-08-15 00:37:27
38,error,error,error,error,error,error,2024-08-15 00:38:27
39,error,error,error,error,error,error,2024-08-15 00:39:27
40,error,error,error,error,error,error,2024-08-15 00:40:27
41,error,error,error,error,error,error,2024-08-15 00:41:27
42,error,error,error,error,error,error,2024-08-15 00:42:27
43,error,error,error,error,error,error,2024-08-15 00:43:27
44,error,error,error,error,error,error,2024-08-15 00:44:27
45,error,error,error,error,error,error,2024-08-15 00:45:28
46,error,error,error,error,error,error,2024-08-15 00:46:28
47,error,error,error,error,error,error,2024-08-15 00:47:27
48,error,error,error,error,error,error,2024-08-15 00:48:27
49,error,error,error,error,error,error,2024-08-15 00:49:28
50,error,error,error,error,error,error,2024-08-15 00:50:27
51,error,error,error,error,error,error,2024-08-15 00:51:27
52,error,error,error,error,error,error,2024-08-15 00:52:27
53,error,error,error,error,error,error,2024-08-15 00:53:27
54,error,error,error,error,error,error,2024-08-15 00:54:27
55,error,error,error,error,error,error,2024-08-15 00:55:27
56,error,error,error,error,error,error,2024-08-15 00:56:27
57,error,error,error,error,error,error,2024-08-15 00:57:27
58,error,error,error,error,error,error,2024-08-15 00:58:28
59,error,error,error,error,error,error,2024-08-15 01:00:27
60,error,error,error,error,error,error,2024-08-15 01:01:27
61,error,error,error,error,error,error,2024-08-15 01:02:27
62,error,error,error,error,error,error,2024-08-15 01:03:27
63,error,error,error,error,error,error,2024-08-15 01:04:27
64,error,error,error,error,error,error,2024-08-15 01:05:28
65,error,error,error,error,error,error,2024-08-15 01:06:27
66,error,error,error,error,error,error,2024-08-15 01:07:27
67,error,error,error,error,error,error,2024-08-15 01:08:27
68,error,error,error,error,error,error,2024-08-15 01:09:27
69,error,error,error,error,error,error,2024-08-15 01:10:28
70,error,error,error,error,error,error,2024-08-15 01:11:28
71,error,error,error,error,error,error,2024-08-15 01:12:27
72,error,error,error,error,error,error,2024-08-15 01:13:27
73,error,error,error,error,error,error,2024-08-15 01:14:28
74,error,error,error,error,error,error,2024-08-15 01:15:27
75,error,error,error,error,error,error,2024-08-15 01:16:27
76,error,error,error,error,error,error,2024-08-15 01:17:27
77,error,error,error,error,error,error,2024-08-15 01:18:28
78,error,error,error,error,error,error,2024-08-15 01:19:27
79,error,error,error,error,error,error,2024-08-15 01:20:27
80,error,error,error,error,error,error,2024-08-15 01:21:27
81,error,error,error,error,error,error,2024-08-15 01:22:27
82,error,error,error,error,error,error,2024-08-15 01:23:28
83,error,error,error,error,error,error,2024-08-15 01:24:27
84,error,error,error,error,error,error,2024-08-15 01:25:27
85,error,error,error,error,error,error,2024-08-15 01:26:28
86,error,error,error,error,error,error,2024-08-15 01:27:27
87,error,error,error,error,error,error,2024-08-15 01:28:27
88,error,error,error,error,error,error,2024-08-15 01:29:27
89,error,error,error,error,error,error,2024-08-15 01:30:27
90,error,error,error,error,error,error,2024-08-15 01:31:27
91,error,error,error,error,error,error,2024-08-15 01:32:27
92,error,error,error,error,error,error,2024-08-15 01:33:27
93,error,error,error,error,error,error,2024-08-15 01:34:27
94,error,error,error,error,error,error,2024-08-15 01:35:28
95,error,error,error,error,error,error,2024-08-15 01:36:28
96,error,error,error,error,error,error,2024-08-15 01:37:27
97,error,error,error,error,error,error,2024-08-15 01:38:27
98,error,error,error,error,error,error,2024-08-15 01:39:27
99,error,error,error,error,error,error,2024-08-15 01:40:27
100,error,error,error,error,error,error,2024-08-15 01:41:27
101,error,error,error,error,error,error,2024-08-15 01:42:27
102,error,error,error,error,error,error,2024-08-15 01:43:27
103,error,error,error,error,error,error,2024-08-15 01:44:27
104,error,error,error,error,error,error,2024-08-15 01:45:28
105,error,error,error,error,error,error,2024-08-15 01:46:28
106,error,error,error,error,error,error,2024-08-15 01:47:27
107,error,error,error,error,error,error,2024-08-15 01:48:27
108,error,error,error,error,error,error,2024-08-15 01:49:27
109,error,error,error,error,error,error,2024-08-15 01:50:27
110,error,error,error,error,error,error,2024-08-15 01:51:28
111,error,error,error,error,error,error,2024-08-15 01:52:27
112,error,error,error,error,error,error,2024-08-15 01:53:27
113,error,error,error,error,error,error,2024-08-15 01:54:27
114,error,error,error,error,error,error,2024-08-15 01:55:27
115,error,error,error,error,error,error,2024-08-15 01:56:27
116,error,error,error,error,error,error,2024-08-15 01:57:27
117,error,error,error,error,error,error,2024-08-15 01:58:27
118,error,error,error,error,error,error,2024-08-15 02:00:27
119,error,error,error,error,error,error,2024-08-15 02:01:28
120,error,error,error,error,error,error,2024-08-15 02:02:27
121,error,error,error,error,error,error,2024-08-15 02:03:27
122,error,error,error,error,error,error,2024-08-15 02:04:27
123,error,error,error,error,error,error,2024-08-15 02:05:27
124,error,error,error,error,error,error,2024-08-15 02:06:27
125,error,error,error,error,error,error,2024-08-15 02:07:27
126,error,error,error,error,error,error,2024-08-15 02:08:27
127,error,error,error,error,error,error,2024-08-15 02:09:27
128,error,error,error,error,error,error,2024-08-15 02:10:27
129,error,error,error,error,error,error,2024-08-15 02:11:27
130,error,error,error,error,error,error,2024-08-15 02:12:27
131,error,error,error,error,error,error,2024-08-15 02:13:27
132,error,error,error,error,error,error,2024-08-15 02:14:27
133,error,error,error,error,error,error,2024-08-15 02:15:28
134,error,error,error,error,error,error,2024-08-15 02:16:27
135,error,error,error,error,error,error,2024-08-15 02:17:27
136,error,error,error,error,error,error,2024-08-15 02:18:27
137,error,error,error,error,error,error,2024-08-15 02:19:27
138,error,error,error,error,error,error,2024-08-15 02:20:28
139,error,error,error,error,error,error,2024-08-15 02:21:28
140,error,error,error,error,error,error,2024-08-15 02:22:27
141,error,error,error,error,error,error,2024-08-15 02:23:27
142,error,error,error,error,error,error,2024-08-15 02:24:27
143,error,error,error,error,error,error,2024-08-15 02:25:27
144,error,error,error,error,error,error,2024-08-15 02:26:27
145,error,error,error,error,error,error,2024-08-15 02:27:28
146,error,error,error,error,error,error,2024-08-15 02:28:27
147,error,error,error,error,error,error,2024-08-15 02:29:27
148,error,error,error,error,error,error,2024-08-15 02:30:27
149,error,error,error,error,error,error,2024-08-15 02:31:28
150,error,error,error,error,error,error,2024-08-15 02:32:27
151,error,error,error,error,error,error,2024-08-15 02:33:27
152,error,error,error,error,error,error,2024-08-15 02:34:28
153,error,error,error,error,error,error,2024-08-15 02:35:27
154,error,error,error,error,error,error,2024-08-15 02:36:27
155,error,error,error,error,error,error,2024-08-15 02:37:27
156,error,error,error,error,error,error,2024-08-15 02:38:27
157,error,error,error,error,error,error,2024-08-15 02:39:27
158,error,error,error,error,error,error,2024-08-15 02:40:28
159,error,error,error,error,error,error,2024-08-15 02:41:27
160,error,error,error,error,error,error,2024-08-15 02:42:27
161,error,error,error,error,error,error,2024-08-15 02:43:27
162,error,error,error,error,error,error,2024-08-15 02:44:27
163,error,error,error,error,error,error,2024-08-15 02:45:27
164,error,error,error,error,error,error,2024-08-15 02:46:27
165,error,error,error,error,error,error,2024-08-15 02:47:27
166,error,error,error,error,error,error,2024-08-15 02:48:27
167,error,error,error,error,error,error,2024-08-15 02:49:28
168,error,error,error,error,error,error,2024-08-15 02:50:28
169,error,error,error,error,error,error,2024-08-15 02:51:27
170,error,error,error,error,error,error,2024-08-15 02:52:27
171,error,error,error,error,error,error,2024-08-15 02:53:27
172,error,error,error,error,error,error,2024-08-15 02:54:27
173,error,error,error,error,error,error,2024-08-15 02:55:27
174,error,error,error,error,error,error,2024-08-15 02:56:27
175,error,error,error,error,error,error,2024-08-15 02:57:27
176,error,error,error,error,error,error,2024-08-15 02:58:27
177,error,error,error,error,error,error,2024-08-15 03:00:27
178,error,error,error,error,error,error,2024-08-15 03:01:27
179,error,error,error,error,error,error,2024-08-15 03:02:27
180,error,error,error,error,error,error,2024-08-15 03:03:27
181,error,error,error,error,error,error,2024-08-15 03:04:27
182,error,error,error,error,error,error,2024-08-15 03:05:27
183,error,error,error,error,error,error,2024-08-15 03:06:27
184,error,error,error,error,error,error,2024-08-15 03:07:27
185,error,error,error,error,error,error,2024-08-15 03:08:27
186,error,error,error,error,error,error,2024-08-15 03:09:27
187,error,error,error,error,error,error,2024-08-15 03:10:27
188,error,error,error,error,error,error,2024-08-15 03:11:27
189,error,error,error,error,error,error,2024-08-15 03:12:27
190,error,error,error,error,error,error,2024-08-15 03:13:27
191,error,error,error,error,error,error,2024-08-15 03:14:27
192,error,error,error,error,error,error,2024-08-15 03:15:28
193,error,error,error,error,error,error,2024-08-15 03:16:28
194,error,error,error,error,error,error,2024-08-15 03:17:27
195,error,error,error,error,error,error,2024-08-15 03:18:27
196,error,error,error,error,error,error,2024-08-15 03:19:27
197,error,error,error,error,error,error,2024-08-15 03:20:27
198,error,error,error,error,error,error,2024-08-15 03:21:27
199,error,error,error,error,error,error,2024-08-15 03:22:27
200,error,error,error,error,error,error,2024-08-15 03:23:27
201,error,error,error,error,error,error,2024-08-15 03:24:27
202,error,error,error,error,error,error,2024-08-15 03:25:27
203,error,error,error,error,error,error,2024-08-15 03:26:27
204,error,error,error,error,error,error,2024-08-15 03:27:27
205,error,error,error,error,error,error,2024-08-15 03:28:27
206,error,error,error,error,error,error,2024-08-15 03:29:27
207,error,error,error,error,error,error,2024-08-15 03:30:28
208,error,error,error,error,error,error,2024-08-15 03:31:27
209,error,error,error,error,error,error,2024-08-15 03:32:27
210,error,error,error,error,error,error,2024-08-15 03:33:27
211,error,error,error,error,error,error,2024-08-15 03:34:28
212,error,error,error,error,error,error,2024-08-15 03:35:27
213,error,error,error,error,error,error,2024-08-15 03:36:27
214,error,error,error,error,error,error,2024-08-15 03:37:27
215,error,error,error,error,error,error,2024-08-15 03:38:28
216,error,error,error,error,error,error,2024-08-15 03:39:27
217,error,error,error,error,error,error,2024-08-15 03:40:27
218,error,error,error,error,error,error,2024-08-15 03:41:27
219,error,error,error,error,error,error,2024-08-15 03:42:27
220,error,error,error,error,error,error,2024-08-15 03:43:27
221,error,error,error,error,error,error,2024-08-15 03:44:27
222,error,error,error,error,error,error,2024-08-15 03:45:27
223,error,error,error,error,error,error,2024-08-15 03:46:27
224,error,error,error,error,error,error,2024-08-15 03:47:27
225,error,error,error,error,error,error,2024-08-15 03:48:27
226,error,error,error,error,error,error,2024-08-15 03:49:27
227,error,error,error,error,error,error,2024-08-15 03:50:27
228,error,error,error,error,error,error,2024-08-15 03:51:27
229,error,error,error,error,error,error,2024-08-15 03:52:27
230,error,error,error,error,error,error,2024-08-15 03:53:27
231,error,error,error,error,error,error,2024-08-15 03:54:27
232,error,error,error,error,error,error,2024-08-15 03:55:27
233,error,error,error,error,error,error,2024-08-15 03:56:27
234,error,error,error,error,error,error,2024-08-15 03:57:27
235,error,error,error,error,error,error,2024-08-15 03:58:27
236,error,error,error,error,error,error,2024-08-15 04:00:27
237,error,error,error,error,error,error,2024-08-15 04:01:27
238,error,error,error,error,error,error,2024-08-15 04:02:27
239,error,error,error,error,error,error,2024-08-15 04:03:27
240,error,error,error,error,error,error,2024-08-15 04:04:27
241,error,error,error,error,error,error,2024-08-15 04:05:27
242,error,error,error,error,error,error,2024-08-15 04:06:27
243,error,error,error,error,error,error,2024-08-15 04:07:27
244,error,error,error,error,error,error,2024-08-15 04:08:27
245,error,error,error,error,error,error,2024-08-15 04:09:27
246,error,error,error,error,error,error,2024-08-15 04:10:27
247,error,error,error,error,error,error,2024-08-15 04:11:27
248,error,error,error,error,error,error,2024-08-15 04:12:27
249,error,error,error,error,error,error,2024-08-15 04:13:27
250,error,error,error,error,error,error,2024-08-15 04:14:27
251,error,error,error,error,error,error,2024-08-15 04:15:27
252,error,error,error,error,error,error,2024-08-15 04:16:27
253,error,error,error,error,error,error,2024-08-15 04:17:27
254,error,error,error,error,error,error,2024-08-15 04:18:28
255,error,error,error,error,error,error,2024-08-15 04:19:27
256,error,error,error,error,error,error,2024-08-15 04:20:27
257,error,error,error,error,error,error,2024-08-15 04:21:27
258,error,error,error,error,error,error,2024-08-15 04:22:27
259,error,error,error,error,error,error,2024-08-15 04:23:27
260,error,error,error,error,error,error,2024-08-15 04:24:27
261,error,error,error,error,error,error,2024-08-15 04:25:27
262,error,error,error,error,error,error,2024-08-15 04:26:27
263,error,error,error,error,error,error,2024-08-15 04:27:27
264,error,error,error,error,error,error,2024-08-15 04:28:27
265,error,error,error,error,error,error,2024-08-15 04:29:27
266,error,error,error,error,error,error,2024-08-15 04:30:27
267,error,error,error,error,error,error,2024-08-15 04:31:27
268,error,error,error,error,error,error,2024-08-15 04:32:27
269,error,error,error,error,error,error,2024-08-15 04:33:27
270,error,error,error,error,error,error,2024-08-15 04:34:27
271,error,error,error,error,error,error,2024-08-15 04:35:28
272,error,error,error,error,error,error,2024-08-15 04:36:27
273,error,error,error,error,error,error,2024-08-15 04:37:27
274,error,error,error,error,error,error,2024-08-15 04:38:27
275,error,error,error,error,error,error,2024-08-15 04:39:27
276,error,error,error,error,error,error,2024-08-15 04:40:28
277,error,error,error,error,error,error,2024-08-15 04:41:27
278,error,error,error,error,error,error,2024-08-15 04:42:28
279,error,error,error,error,error,error,2024-08-15 04:43:27
280,error,error,error,error,error,error,2024-08-15 04:44:27
281,error,error,error,error,error,error,2024-08-15 04:45:27
282,error,error,error,error,error,error,2024-08-15 04:46:27
283,error,error,error,error,error,error,2024-08-15 04:47:27
284,error,error,error,error,error,error,2024-08-15 04:48:27
285,error,error,error,error,error,error,2024-08-15 04:49:27
286,error,error,error,error,error,error,2024-08-15 04:50:27
287,error,error,error,error,error,error,2024-08-15 04:51:27
288,error,error,error,error,error,error,2024-08-15 04:52:27
289,error,error,error,error,error,error,2024-08-15 04:53:27
290,error,error,error,error,error,error,2024-08-15 04:54:27
291,error,error,error,error,error,error,2024-08-15 04:55:27
292,error,error,error,error,error,error,2024-08-15 04:56:27
293,error,error,error,error,error,error,2024-08-15 04:57:27
294,error,error,error,error,error,error,2024-08-15 04:58:27
295,error,error,error,error,error,error,2024-08-15 05:00:27
296,error,error,error,error,error,error,2024-08-15 05:01:27
297,error,error,error,error,error,error,2024-08-15 05:02:27
298,error,error,error,error,error,error,2024-08-15 05:03:27
299,error,error,error,error,error,error,2024-08-15 05:04:27
300,error,error,error,error,error,error,2024-08-15 05:05:27
301,error,error,error,error,error,error,2024-08-15 05:06:27
302,error,error,error,error,error,error,2024-08-15 05:07:27
303,error,error,error,error,error,error,2024-08-15 05:08:27
304,error,error,error,error,error,error,2024-08-15 05:09:27
305,error,error,error,error,error,error,2024-08-15 05:10:27
306,error,error,error,error,error,error,2024-08-15 05:11:27
307,error,error,error,error,error,error,2024-08-15 05:12:27
308,error,error,error,error,error,error,2024-08-15 05:13:28
309,error,error,error,error,error,error,2024-08-15 05:14:27
310,error,error,error,error,error,error,2024-08-15 05:15:27
311,error,error,error,error,error,error,2024-08-15 05:16:27
312,error,error,error,error,error,error,2024-08-15 05:17:27
313,error,error,error,error,error,error,2024-08-15 05:18:27
314,error,error,error,error,error,error,2024-08-15 05:19:27
315,error,error,error,error,error,error,2024-08-15 05:20:27
316,error,error,error,error,error,error,2024-08-15 05:21:27
317,error,error,error,error,error,error,2024-08-15 05:22:28
318,error,error,error,error,error,error,2024-08-15 05:23:27
319,error,error,error,error,error,error,2024-08-15 05:24:27
320,error,error,error,error,error,error,2024-08-15 05:25:27
321,error,error,error,error,error,error,2024-08-15 05:26:27
322,error,error,error,error,error,error,2024-08-15 05:27:27
323,error,error,error,error,error,error,2024-08-15 05:28:27
324,error,error,error,error,error,error,2024-08-15 05:29:27
325,error,error,error,error,error,error,2024-08-15 05:30:27
326,error,error,error,error,error,error,2024-08-15 05:31:27
327,error,error,error,error,error,error,2024-08-15 05:32:27
328,error,error,error,error,error,error,2024-08-15 05:33:27
329,error,error,error,error,error,error,2024-08-15 05:34:27
330,error,error,error,error,error,error,2024-08-15 05:35:28
331,error,error,error,error,error,error,2024-08-15 05:36:27
332,error,error,error,error,error,error,2024-08-15 05:37:27
333,error,error,error,error,error,error,2024-08-15 05:38:27
334,error,error,error,error,error,error,2024-08-15 05:39:28
335,error,error,error,error,error,error,2024-08-15 05:40:27
336,error,error,error,error,error,error,2024-08-15 05:41:27
337,error,error,error,error,error,error,2024-08-15 05:42:27
338,error,error,error,error,error,error,2024-08-15 05:43:27
339,error,error,error,error,error,error,2024-08-15 05:44:27
340,error,error,error,error,error,error,2024-08-15 05:45:27
341,error,error,error,error,error,error,2024-08-15 05:46:27
342,error,error,error,error,error,error,2024-08-15 05:47:27
343,error,error,error,error,error,error,2024-08-15 05:48:28
344,error,error,error,error,error,error,2024-08-15 05:49:28
345,error,error,error,error,error,error,2024-08-15 05:50:27
346,error,error,error,error,error,error,2024-08-15 05:51:27
347,error,error,error,error,error,error,2024-08-15 05:52:27
348,error,error,error,error,error,error,2024-08-15 05:53:27
349,error,error,error,error,error,error,2024-08-15 05:54:27
350,error,error,error,error,error,error,2024-08-15 05:55:27
351,error,error,error,error,error,error,2024-08-15 05:56:27
352,error,error,error,error,error,error,2024-08-15 05:57:27
353,error,error,error,error,error,error,2024-08-15 05:58:27
354,error,error,error,error,error,error,2024-08-15 06:00:27
355,error,error,error,error,error,error,2024-08-15 06:01:27
356,error,error,error,error,error,error,2024-08-15 06:02:27
357,error,error,error,error,error,error,2024-08-15 06:03:27
358,error,error,error,error,error,error,2024-08-15 06:04:28
359,error,error,error,error,error,error,2024-08-15 06:05:27
360,error,error,error,error,error,error,2024-08-15 06:06:27
361,error,error,error,error,error,error,2024-08-15 06:07:27
362,error,error,error,error,error,error,2024-08-15 06:08:27
363,error,error,error,error,error,error,2024-08-15 06:09:27
364,error,error,error,error,error,error,2024-08-15 06:10:27
365,error,error,error,error,error,error,2024-08-15 06:11:27
366,error,error,error,error,error,error,2024-08-15 06:12:27
367,error,error,error,error,error,error,2024-08-15 06:13:27
368,error,error,error,error,error,error,2024-08-15 06:14:27
369,error,error,error,error,error,error,2024-08-15 06:15:27
370,error,error,error,error,error,error,2024-08-15 06:16:27
371,error,error,error,error,error,error,2024-08-15 06:17:27
372,error,error,error,error,error,error,2024-08-15 06:18:27
373,error,error,error,error,error,error,2024-08-15 06:19:27
374,error,error,error,error,error,error,2024-08-15 06:20:27
375,error,error,error,error,error,error,2024-08-15 06:21:27
376,error,error,error,error,error,error,2024-08-15 06:22:27
377,error,error,error,error,error,error,2024-08-15 06:23:27
378,error,error,error,error,error,error,2024-08-15 06:24:27
379,error,error,error,error,error,error,2024-08-15 06:25:27
380,error,error,error,error,error,error,2024-08-15 06:26:27
381,error,error,error,error,error,error,2024-08-15 06:27:27
382,error,error,error,error,error,error,2024-08-15 06:28:27
383,error,error,error,error,error,error,2024-08-15 06:29:27
384,error,error,error,error,error,error,2024-08-15 06:30:27
385,error,error,error,error,error,error,2024-08-15 06:31:27
386,error,error,error,error,error,error,2024-08-15 06:32:27
387,error,error,error,error,error,error,2024-08-15 06:33:27
388,error,error,error,error,error,error,2024-08-15 06:34:27
389,error,error,error,error,error,error,2024-08-15 06:35:27
390,error,error,error,error,error,error,2024-08-15 06:36:27
391,error,error,error,error,error,error,2024-08-15 06:37:27
392,error,error,error,error,error,error,2024-08-15 06:38:27
393,error,error,error,error,error,error,2024-08-15 06:39:27
394,error,error,error,error,error,error,2024-08-15 06:40:27
395,error,error,error,error,error,error,2024-08-15 06:41:27
396,error,error,error,error,error,error,2024-08-15 06:42:27
397,error,error,error,error,error,error,2024-08-15 06:43:27
398,error,error,error,error,error,error,2024-08-15 06:44:27
399,error,error,error,error,error,error,2024-08-15 06:45:27
400,error,error,error,error,error,error,2024-08-15 06:46:28
401,error,error,error,error,error,error,2024-08-15 06:47:28
402,error,error,error,error,error,error,2024-08-15 06:48:27
403,error,error,error,error,error,error,2024-08-15 06:49:27
404,error,error,error,error,error,error,2024-08-15 06:50:27
405,error,error,error,error,error,error,2024-08-15 06:51:27
406,error,error,error,error,error,error,2024-08-15 06:52:27
407,error,error,error,error,error,error,2024-08-15 06:53:27
408,error,error,error,error,error,error,2024-08-15 06:54:27
409,error,error,error,error,error,error,2024-08-15 06:55:27
410,error,error,error,error,error,error,2024-08-15 06:56:27
411,error,error,error,error,error,error,2024-08-15 06:57:27
412,error,error,error,error,error,error,2024-08-15 06:58:27
413,error,error,error,error,error,error,2024-08-15 07:00:27
414,error,error,error,error,error,error,2024-08-15 07:01:27
415,error,error,error,error,error,error,2024-08-15 07:02:27
416,error,error,error,error,error,error,2024-08-15 07:03:27
417,error,error,error,error,error,error,2024-08-15 07:04:27
418,error,error,error,error,error,error,2024-08-15 07:05:27
419,error,error,error,error,error,error,2024-08-15 07:06:27
420,error,error,error,error,error,error,2024-08-15 07:07:27
421,error,error,error,error,error,error,2024-08-15 07:08:27
422,error,error,error,error,error,error,2024-08-15 07:09:27
423,error,error,error,error,error,error,2024-08-15 07:10:27
424,error,error,error,error,error,error,2024-08-15 07:11:27
425,error,error,error,error,error,error,2024-08-15 07:12:27
426,error,error,error,error,error,error,2024-08-15 07:13:27
427,error,error,error,error,error,error,2024-08-15 07:14:27
428,error,error,error,error,error,error,2024-08-15 07:15:27
429,error,error,error,error,error,error,2024-08-15 07:16:27
430,error,error,error,error,error,error,2024-08-15 07:17:27
431,error,error,error,error,error,error,2024-08-15 07:18:27
432,error,error,error,error,error,error,2024-08-15 07:19:27
433,error,error,error,error,error,error,2024-08-15 07:20:28
434,error,error,error,error,error,error,2024-08-15 07:21:27
435,error,error,error,error,error,error,2024-08-15 07:22:27
436,error,error,error,error,error,error,2024-08-15 07:23:27
437,error,error,error,error,error,error,2024-08-15 07:24:27
438,error,error,error,error,error,error,2024-08-15 07:25:27
439,error,error,error,error,error,error,2024-08-15 07:26:27
440,error,error,error,error,error,error,2024-08-15 07:27:27
441,error,error,error,error,error,error,2024-08-15 07:28:27
442,error,error,error,error,error,error,2024-08-15 07:29:27
443,error,error,error,error,error,error,2024-08-15 07:30:27
444,error,error,error,error,error,error,2024-08-15 07:31:27
445,error,error,error,error,error,error,2024-08-15 07:32:27
446,error,error,error,error,error,error,2024-08-15 07:33:27
447,error,error,error,error,error,error,2024-08-15 07:34:27
448,error,error,error,error,error,error,2024-08-15 07:35:27
449,error,error,error,error,error,error,2024-08-15 07:36:28
450,error,error,error,error,error,error,2024-08-15 07:37:27
451,error,error,error,error,error,error,2024-08-15 07:38:27
452,error,error,error,error,error,error,2024-08-15 07:39:27
453,error,error,error,error,error,error,2024-08-15 07:40:27
454,error,error,error,error,error,error,2024-08-15 07:41:27
455,error,error,error,error,error,error,2024-08-15 07:42:27
456,error,error,error,error,error,error,2024-08-15 07:43:27
457,error,error,error,error,error,error,2024-08-15 07:44:27
