,PLC_point0_value,PLC_point1_value,PLC_point7_value,PLC_point5_value,PLC_point8_value,PLC_point4_value,PLC_point3_value,PLC_point2_value,PLC_point6_value,csvTime
0,error,error,error,error,error,error,error,error,error,2024-08-15 00:00:15
1,error,error,error,error,error,error,error,error,error,2024-08-15 00:01:15
2,error,error,error,error,error,error,error,error,error,2024-08-15 00:02:14
3,error,error,error,error,error,error,error,error,error,2024-08-15 00:03:15
4,error,error,error,error,error,error,error,error,error,2024-08-15 00:04:15
5,error,error,error,error,error,error,error,error,error,2024-08-15 00:05:14
6,error,error,error,error,error,error,error,error,error,2024-08-15 00:06:15
7,error,error,error,error,error,error,error,error,error,2024-08-15 00:07:15
8,error,error,error,error,error,error,error,error,error,2024-08-15 00:08:15
9,error,error,error,error,error,error,error,error,error,2024-08-15 00:09:15
10,error,error,error,error,error,error,error,error,error,2024-08-15 00:10:15
11,error,error,error,error,error,error,error,error,error,2024-08-15 00:11:15
12,error,error,error,error,error,error,error,error,error,2024-08-15 00:12:14
13,error,error,error,error,error,error,error,error,error,2024-08-15 00:13:15
14,error,error,error,error,error,error,error,error,error,2024-08-15 00:14:14
15,error,error,error,error,error,error,error,error,error,2024-08-15 00:15:15
16,error,error,error,error,error,error,error,error,error,2024-08-15 00:16:15
17,error,error,error,error,error,error,error,error,error,2024-08-15 00:17:14
18,error,error,error,error,error,error,error,error,error,2024-08-15 00:18:15
19,error,error,error,error,error,error,error,error,error,2024-08-15 00:19:14
20,error,error,error,error,error,error,error,error,error,2024-08-15 00:20:15
21,error,error,error,error,error,error,error,error,error,2024-08-15 00:21:15
22,error,error,error,error,error,error,error,error,error,2024-08-15 00:22:15
23,error,error,error,error,error,error,error,error,error,2024-08-15 00:23:15
24,error,error,error,error,error,error,error,error,error,2024-08-15 00:24:15
25,error,error,error,error,error,error,error,error,error,2024-08-15 00:25:15
26,error,error,error,error,error,error,error,error,error,2024-08-15 00:26:15
27,error,error,error,error,error,error,error,error,error,2024-08-15 00:27:15
28,error,error,error,error,error,error,error,error,error,2024-08-15 00:28:15
29,error,error,error,error,error,error,error,error,error,2024-08-15 00:29:15
30,error,error,error,error,error,error,error,error,error,2024-08-15 00:30:15
31,error,error,error,error,error,error,error,error,error,2024-08-15 00:31:14
32,error,error,error,error,error,error,error,error,error,2024-08-15 00:32:14
33,error,error,error,error,error,error,error,error,error,2024-08-15 00:33:15
34,error,error,error,error,error,error,error,error,error,2024-08-15 00:34:15
35,error,error,error,error,error,error,error,error,error,2024-08-15 00:35:15
36,error,error,error,error,error,error,error,error,error,2024-08-15 00:36:14
37,error,error,error,error,error,error,error,error,error,2024-08-15 00:37:15
38,error,error,error,error,error,error,error,error,error,2024-08-15 00:38:15
39,error,error,error,error,error,error,error,error,error,2024-08-15 00:39:15
40,error,error,error,error,error,error,error,error,error,2024-08-15 00:40:15
41,error,error,error,error,error,error,error,error,error,2024-08-15 00:41:15
42,error,error,error,error,error,error,error,error,error,2024-08-15 00:42:15
43,error,error,error,error,error,error,error,error,error,2024-08-15 00:43:15
44,error,error,error,error,error,error,error,error,error,2024-08-15 00:44:15
45,error,error,error,error,error,error,error,error,error,2024-08-15 00:45:15
46,error,error,error,error,error,error,error,error,error,2024-08-15 00:46:15
47,error,error,error,error,error,error,error,error,error,2024-08-15 00:47:14
48,error,error,error,error,error,error,error,error,error,2024-08-15 00:48:15
49,error,error,error,error,error,error,error,error,error,2024-08-15 00:49:15
50,error,error,error,error,error,error,error,error,error,2024-08-15 00:50:14
51,error,error,error,error,error,error,error,error,error,2024-08-15 00:51:15
52,error,error,error,error,error,error,error,error,error,2024-08-15 00:52:15
53,error,error,error,error,error,error,error,error,error,2024-08-15 00:53:15
54,error,error,error,error,error,error,error,error,error,2024-08-15 00:54:15
55,error,error,error,error,error,error,error,error,error,2024-08-15 00:55:15
56,error,error,error,error,error,error,error,error,error,2024-08-15 00:56:15
57,error,error,error,error,error,error,error,error,error,2024-08-15 00:57:14
58,error,error,error,error,error,error,error,error,error,2024-08-15 00:58:14
59,error,error,error,error,error,error,error,error,error,2024-08-15 01:00:15
60,error,error,error,error,error,error,error,error,error,2024-08-15 01:01:15
61,error,error,error,error,error,error,error,error,error,2024-08-15 01:02:15
62,error,error,error,error,error,error,error,error,error,2024-08-15 01:03:14
63,error,error,error,error,error,error,error,error,error,2024-08-15 01:04:15
64,error,error,error,error,error,error,error,error,error,2024-08-15 01:05:15
65,error,error,error,error,error,error,error,error,error,2024-08-15 01:06:15
66,error,error,error,error,error,error,error,error,error,2024-08-15 01:07:15
67,error,error,error,error,error,error,error,error,error,2024-08-15 01:08:15
68,error,error,error,error,error,error,error,error,error,2024-08-15 01:09:14
69,error,error,error,error,error,error,error,error,error,2024-08-15 01:10:14
70,error,error,error,error,error,error,error,error,error,2024-08-15 01:11:15
71,error,error,error,error,error,error,error,error,error,2024-08-15 01:12:15
72,error,error,error,error,error,error,error,error,error,2024-08-15 01:13:15
73,error,error,error,error,error,error,error,error,error,2024-08-15 01:14:14
74,error,error,error,error,error,error,error,error,error,2024-08-15 01:15:15
75,error,error,error,error,error,error,error,error,error,2024-08-15 01:16:15
76,error,error,error,error,error,error,error,error,error,2024-08-15 01:17:15
77,error,error,error,error,error,error,error,error,error,2024-08-15 01:18:15
78,error,error,error,error,error,error,error,error,error,2024-08-15 01:19:15
79,error,error,error,error,error,error,error,error,error,2024-08-15 01:20:15
80,error,error,error,error,error,error,error,error,error,2024-08-15 01:21:15
81,error,error,error,error,error,error,error,error,error,2024-08-15 01:22:15
82,error,error,error,error,error,error,error,error,error,2024-08-15 01:23:15
83,error,error,error,error,error,error,error,error,error,2024-08-15 01:24:15
84,error,error,error,error,error,error,error,error,error,2024-08-15 01:25:15
85,error,error,error,error,error,error,error,error,error,2024-08-15 01:26:14
86,error,error,error,error,error,error,error,error,error,2024-08-15 01:27:15
87,error,error,error,error,error,error,error,error,error,2024-08-15 01:28:15
88,error,error,error,error,error,error,error,error,error,2024-08-15 01:29:15
89,error,error,error,error,error,error,error,error,error,2024-08-15 01:30:14
90,error,error,error,error,error,error,error,error,error,2024-08-15 01:31:14
91,error,error,error,error,error,error,error,error,error,2024-08-15 01:32:14
92,error,error,error,error,error,error,error,error,error,2024-08-15 01:33:15
93,error,error,error,error,error,error,error,error,error,2024-08-15 01:34:15
94,error,error,error,error,error,error,error,error,error,2024-08-15 01:35:15
95,error,error,error,error,error,error,error,error,error,2024-08-15 01:36:14
96,error,error,error,error,error,error,error,error,error,2024-08-15 01:37:15
97,error,error,error,error,error,error,error,error,error,2024-08-15 01:38:15
98,error,error,error,error,error,error,error,error,error,2024-08-15 01:39:14
99,error,error,error,error,error,error,error,error,error,2024-08-15 01:40:15
100,error,error,error,error,error,error,error,error,error,2024-08-15 01:41:15
101,error,error,error,error,error,error,error,error,error,2024-08-15 01:42:14
102,error,error,error,error,error,error,error,error,error,2024-08-15 01:43:14
103,error,error,error,error,error,error,error,error,error,2024-08-15 01:44:15
104,error,error,error,error,error,error,error,error,error,2024-08-15 01:45:15
105,error,error,error,error,error,error,error,error,error,2024-08-15 01:46:15
106,error,error,error,error,error,error,error,error,error,2024-08-15 01:47:14
107,error,error,error,error,error,error,error,error,error,2024-08-15 01:48:14
108,error,error,error,error,error,error,error,error,error,2024-08-15 01:49:14
109,error,error,error,error,error,error,error,error,error,2024-08-15 01:50:15
110,error,error,error,error,error,error,error,error,error,2024-08-15 01:51:15
111,error,error,error,error,error,error,error,error,error,2024-08-15 01:52:15
112,error,error,error,error,error,error,error,error,error,2024-08-15 01:53:15
113,error,error,error,error,error,error,error,error,error,2024-08-15 01:54:15
114,error,error,error,error,error,error,error,error,error,2024-08-15 01:55:15
115,error,error,error,error,error,error,error,error,error,2024-08-15 01:56:14
116,error,error,error,error,error,error,error,error,error,2024-08-15 01:57:15
117,error,error,error,error,error,error,error,error,error,2024-08-15 01:58:15
118,error,error,error,error,error,error,error,error,error,2024-08-15 02:00:15
119,error,error,error,error,error,error,error,error,error,2024-08-15 02:01:14
120,error,error,error,error,error,error,error,error,error,2024-08-15 02:02:15
121,error,error,error,error,error,error,error,error,error,2024-08-15 02:03:14
122,error,error,error,error,error,error,error,error,error,2024-08-15 02:04:15
123,error,error,error,error,error,error,error,error,error,2024-08-15 02:05:15
124,error,error,error,error,error,error,error,error,error,2024-08-15 02:06:15
125,error,error,error,error,error,error,error,error,error,2024-08-15 02:07:14
126,error,error,error,error,error,error,error,error,error,2024-08-15 02:08:14
127,error,error,error,error,error,error,error,error,error,2024-08-15 02:09:14
128,error,error,error,error,error,error,error,error,error,2024-08-15 02:10:14
129,error,error,error,error,error,error,error,error,error,2024-08-15 02:11:15
130,error,error,error,error,error,error,error,error,error,2024-08-15 02:12:15
131,error,error,error,error,error,error,error,error,error,2024-08-15 02:13:14
132,error,error,error,error,error,error,error,error,error,2024-08-15 02:14:15
133,error,error,error,error,error,error,error,error,error,2024-08-15 02:15:14
134,error,error,error,error,error,error,error,error,error,2024-08-15 02:16:15
135,error,error,error,error,error,error,error,error,error,2024-08-15 02:17:14
136,error,error,error,error,error,error,error,error,error,2024-08-15 02:18:15
137,error,error,error,error,error,error,error,error,error,2024-08-15 02:19:15
138,error,error,error,error,error,error,error,error,error,2024-08-15 02:20:14
139,error,error,error,error,error,error,error,error,error,2024-08-15 02:21:14
140,error,error,error,error,error,error,error,error,error,2024-08-15 02:22:15
141,error,error,error,error,error,error,error,error,error,2024-08-15 02:23:14
142,error,error,error,error,error,error,error,error,error,2024-08-15 02:24:14
143,error,error,error,error,error,error,error,error,error,2024-08-15 02:25:15
144,error,error,error,error,error,error,error,error,error,2024-08-15 02:26:15
145,error,error,error,error,error,error,error,error,error,2024-08-15 02:27:15
146,error,error,error,error,error,error,error,error,error,2024-08-15 02:28:15
147,error,error,error,error,error,error,error,error,error,2024-08-15 02:29:14
148,error,error,error,error,error,error,error,error,error,2024-08-15 02:30:14
149,error,error,error,error,error,error,error,error,error,2024-08-15 02:31:15
150,error,error,error,error,error,error,error,error,error,2024-08-15 02:32:15
151,error,error,error,error,error,error,error,error,error,2024-08-15 02:33:14
152,error,error,error,error,error,error,error,error,error,2024-08-15 02:34:15
153,error,error,error,error,error,error,error,error,error,2024-08-15 02:35:14
154,error,error,error,error,error,error,error,error,error,2024-08-15 02:36:14
155,error,error,error,error,error,error,error,error,error,2024-08-15 02:37:15
156,error,error,error,error,error,error,error,error,error,2024-08-15 02:38:15
157,error,error,error,error,error,error,error,error,error,2024-08-15 02:39:14
158,error,error,error,error,error,error,error,error,error,2024-08-15 02:40:15
159,error,error,error,error,error,error,error,error,error,2024-08-15 02:41:15
160,error,error,error,error,error,error,error,error,error,2024-08-15 02:42:14
161,error,error,error,error,error,error,error,error,error,2024-08-15 02:43:15
162,error,error,error,error,error,error,error,error,error,2024-08-15 02:44:14
163,error,error,error,error,error,error,error,error,error,2024-08-15 02:45:14
164,error,error,error,error,error,error,error,error,error,2024-08-15 02:46:15
165,error,error,error,error,error,error,error,error,error,2024-08-15 02:47:14
166,error,error,error,error,error,error,error,error,error,2024-08-15 02:48:15
167,error,error,error,error,error,error,error,error,error,2024-08-15 02:49:14
168,error,error,error,error,error,error,error,error,error,2024-08-15 02:50:15
169,error,error,error,error,error,error,error,error,error,2024-08-15 02:51:14
170,error,error,error,error,error,error,error,error,error,2024-08-15 02:52:14
171,error,error,error,error,error,error,error,error,error,2024-08-15 02:53:15
172,error,error,error,error,error,error,error,error,error,2024-08-15 02:54:14
173,error,error,error,error,error,error,error,error,error,2024-08-15 02:55:15
174,error,error,error,error,error,error,error,error,error,2024-08-15 02:56:15
175,error,error,error,error,error,error,error,error,error,2024-08-15 02:57:15
176,error,error,error,error,error,error,error,error,error,2024-08-15 02:58:14
177,error,error,error,error,error,error,error,error,error,2024-08-15 03:00:14
178,error,error,error,error,error,error,error,error,error,2024-08-15 03:01:14
179,error,error,error,error,error,error,error,error,error,2024-08-15 03:02:15
180,error,error,error,error,error,error,error,error,error,2024-08-15 03:03:15
181,error,error,error,error,error,error,error,error,error,2024-08-15 03:04:14
182,error,error,error,error,error,error,error,error,error,2024-08-15 03:05:14
183,error,error,error,error,error,error,error,error,error,2024-08-15 03:06:14
184,error,error,error,error,error,error,error,error,error,2024-08-15 03:07:14
185,error,error,error,error,error,error,error,error,error,2024-08-15 03:08:14
186,error,error,error,error,error,error,error,error,error,2024-08-15 03:09:14
187,error,error,error,error,error,error,error,error,error,2024-08-15 03:10:14
188,error,error,error,error,error,error,error,error,error,2024-08-15 03:11:15
189,error,error,error,error,error,error,error,error,error,2024-08-15 03:12:14
190,error,error,error,error,error,error,error,error,error,2024-08-15 03:13:15
191,error,error,error,error,error,error,error,error,error,2024-08-15 03:14:14
192,error,error,error,error,error,error,error,error,error,2024-08-15 03:15:15
193,error,error,error,error,error,error,error,error,error,2024-08-15 03:16:14
194,error,error,error,error,error,error,error,error,error,2024-08-15 03:17:14
195,error,error,error,error,error,error,error,error,error,2024-08-15 03:18:15
196,error,error,error,error,error,error,error,error,error,2024-08-15 03:19:15
197,error,error,error,error,error,error,error,error,error,2024-08-15 03:20:15
198,error,error,error,error,error,error,error,error,error,2024-08-15 03:21:15
199,error,error,error,error,error,error,error,error,error,2024-08-15 03:22:15
200,error,error,error,error,error,error,error,error,error,2024-08-15 03:23:14
201,error,error,error,error,error,error,error,error,error,2024-08-15 03:24:14
202,error,error,error,error,error,error,error,error,error,2024-08-15 03:25:14
203,error,error,error,error,error,error,error,error,error,2024-08-15 03:26:14
204,error,error,error,error,error,error,error,error,error,2024-08-15 03:27:14
205,error,error,error,error,error,error,error,error,error,2024-08-15 03:28:14
206,error,error,error,error,error,error,error,error,error,2024-08-15 03:29:15
207,error,error,error,error,error,error,error,error,error,2024-08-15 03:30:14
208,error,error,error,error,error,error,error,error,error,2024-08-15 03:31:15
209,error,error,error,error,error,error,error,error,error,2024-08-15 03:32:14
210,error,error,error,error,error,error,error,error,error,2024-08-15 03:33:15
211,error,error,error,error,error,error,error,error,error,2024-08-15 03:34:14
212,error,error,error,error,error,error,error,error,error,2024-08-15 03:35:14
213,error,error,error,error,error,error,error,error,error,2024-08-15 03:36:14
