,P1_75,csvTime,P1_66
0,384,2024-05-16 16:00:00,0
1,389,2024-05-16 16:00:59,0
2,403,2024-05-16 16:01:59,0
3,433,2024-05-16 16:02:59,0
4,409,2024-05-16 16:03:59,0
5,533,2024-05-16 16:04:59,0
6,575,2024-05-16 16:05:59,0
7,507,2024-05-16 16:06:59,0
8,535,2024-05-16 16:08:00,0
9,563,2024-05-16 16:09:00,0
10,376,2024-05-16 16:09:59,0
11,378,2024-05-16 16:10:59,0
12,388,2024-05-16 16:11:59,0
13,381,2024-05-16 16:13:00,0
14,397,2024-05-16 16:13:59,0
15,428,2024-05-16 16:14:59,0
16,445,2024-05-16 16:15:59,0
17,420,2024-05-16 16:16:59,0
18,324,2024-05-16 16:17:59,0
19,370,2024-05-16 16:18:59,0
20,319,2024-05-16 16:19:59,0
21,251,2024-05-16 16:20:59,0
22,324,2024-05-16 16:21:59,0
23,301,2024-05-16 16:23:00,0
24,295,2024-05-16 16:24:00,0
25,291,2024-05-16 16:24:59,0
26,230,2024-05-16 16:26:00,0
27,285,2024-05-16 16:26:59,0
28,290,2024-05-16 16:28:00,0
29,298,2024-05-16 16:28:59,0
30,326,2024-05-16 16:29:59,0
31,335,2024-05-16 16:30:59,0
32,351,2024-05-16 16:31:59,0
33,395,2024-05-16 16:32:59,0
34,354,2024-05-16 16:33:59,0
35,319,2024-05-16 16:34:59,0
36,308,2024-05-16 16:35:59,0
37,312,2024-05-16 16:36:59,0
38,279,2024-05-16 16:37:59,0
39,318,2024-05-16 16:38:59,0
40,299,2024-05-16 16:39:59,0
41,262,2024-05-16 16:40:59,0
42,241,2024-05-16 16:41:59,0
43,235,2024-05-16 16:42:59,0
44,245,2024-05-16 16:43:59,0
45,241,2024-05-16 16:44:59,0
46,233,2024-05-16 16:45:59,0
47,246,2024-05-16 16:46:59,0
48,315,2024-05-16 16:48:00,0
49,285,2024-05-16 16:48:59,0
50,232,2024-05-16 16:49:59,0
51,418,2024-05-16 16:51:00,0
52,304,2024-05-16 16:51:59,0
53,439,2024-05-16 16:52:59,0
54,290,2024-05-16 16:53:59,0
55,279,2024-05-16 16:54:59,0
