,csvTime,P2_2,P2_3,P2_25,P2_24
0,2024-05-16 16:00:49,0,0,126,1802
1,2024-05-16 16:01:49,0,0,139,1800
2,2024-05-16 16:02:49,8,0,152,1799
3,2024-05-16 16:03:49,0,0,158,1796
4,2024-05-16 16:04:49,0,0,144,1799
5,2024-05-16 16:05:48,0,0,162,1799
6,2024-05-16 16:06:49,0,0,233,1793
7,2024-05-16 16:07:49,0,0,132,1798
8,2024-05-16 16:08:49,0,0,156,1807
9,2024-05-16 16:09:49,0,0,129,1804
10,2024-05-16 16:10:49,0,0,142,1803
11,2024-05-16 16:11:49,0,0,135,1800
12,2024-05-16 16:12:49,8,0,137,1805
13,2024-05-16 16:13:49,0,0,178,1802
14,2024-05-16 16:14:49,0,0,141,1802
15,2024-05-16 16:15:48,0,0,146,1802
16,2024-05-16 16:16:49,0,0,136,1802
17,2024-05-16 16:17:49,0,0,113,1802
18,2024-05-16 16:18:49,0,0,122,1803
19,2024-05-16 16:19:49,0,0,106,1804
20,2024-05-16 16:20:49,0,0,103,1804
21,2024-05-16 16:21:49,8,0,114,1801
22,2024-05-16 16:22:49,8,0,102,1804
23,2024-05-16 16:23:48,8,0,108,1802
24,2024-05-16 16:24:48,0,0,106,1804
25,2024-05-16 16:25:49,0,0,102,1805
26,2024-05-16 16:26:49,0,0,111,1802
27,2024-05-16 16:27:49,0,0,106,1803
28,2024-05-16 16:28:49,0,0,110,1802
29,2024-05-16 16:29:49,0,0,111,1802
30,2024-05-16 16:30:49,0,0,103,1800
31,2024-05-16 16:31:49,8,0,121,1801
32,2024-05-16 16:32:49,0,0,137,1797
33,2024-05-16 16:33:49,0,0,117,1802
34,2024-05-16 16:34:49,0,0,109,1803
35,2024-05-16 16:35:49,0,0,140,1799
36,2024-05-16 16:36:49,0,0,114,1802
37,2024-05-16 16:37:49,0,0,114,1802
38,2024-05-16 16:38:49,0,0,111,1802
39,2024-05-16 16:39:49,0,0,111,1804
40,2024-05-16 16:40:49,0,0,108,1800
41,2024-05-16 16:41:49,8,0,104,1804
42,2024-05-16 16:42:49,0,0,106,1803
43,2024-05-16 16:43:49,0,0,106,1802
44,2024-05-16 16:44:48,0,0,102,1804
45,2024-05-16 16:45:49,0,0,106,1802
46,2024-05-16 16:46:49,0,0,106,1803
47,2024-05-16 16:47:49,0,0,126,1800
48,2024-05-16 16:48:49,0,0,102,1803
49,2024-05-16 16:49:49,0,0,102,1804
50,2024-05-16 16:50:49,0,0,112,1800
51,2024-05-16 16:51:49,8,0,168,1800
52,2024-05-16 16:52:49,0,0,145,1800
53,2024-05-16 16:53:49,0,0,106,1805
54,2024-05-16 16:54:49,0,0,110,1803
55,2024-05-16 16:55:48,0,0,104,1804
56,2024-05-16 16:56:49,0,0,101,1804
57,2024-05-16 16:57:49,0,0,102,1804
58,2024-05-16 16:58:49,0,0,100,1804
59,2024-05-16 17:00:49,0,0,110,1800
60,2024-05-16 17:01:49,8,0,108,1804
61,2024-05-16 17:02:48,8,0,109,1804
62,2024-05-16 17:03:49,0,0,104,1804
63,2024-05-16 17:04:49,0,0,107,1804
64,2024-05-16 17:05:49,0,0,151,1798
65,2024-05-16 17:06:49,0,0,104,1803
66,2024-05-16 17:07:49,0,0,107,1802
67,2024-05-16 17:08:48,0,0,167,1799
68,2024-05-16 17:09:49,0,0,130,1800
69,2024-05-16 17:10:49,8,0,108,1800
70,2024-05-16 17:11:49,0,0,110,1804
71,2024-05-16 17:12:49,0,0,108,1806
72,2024-05-16 17:13:49,0,0,110,1802
73,2024-05-16 17:14:49,0,0,110,1801
74,2024-05-16 17:15:49,0,0,109,1804
75,2024-05-16 17:16:49,0,0,108,1803
76,2024-05-16 17:17:49,0,0,109,1803
77,2024-05-16 17:18:49,0,0,109,1802
78,2024-05-16 17:19:49,8,0,106,1803
79,2024-05-16 17:20:48,0,0,107,1804
80,2024-05-16 17:21:48,0,0,101,1803
81,2024-05-16 17:22:49,0,0,119,1800
82,2024-05-16 17:23:49,0,0,104,1806
83,2024-05-16 17:24:49,0,0,102,1803
84,2024-05-16 17:25:49,0,0,104,1803
85,2024-05-16 17:26:48,0,0,104,1803
86,2024-05-16 17:27:49,0,0,111,1802
87,2024-05-16 17:28:48,0,0,122,1799
88,2024-05-16 17:29:49,8,0,139,1802
89,2024-05-16 17:30:49,8,0,120,1802
90,2024-05-16 17:31:49,0,0,107,1803
91,2024-05-16 17:32:49,0,0,102,1806
92,2024-05-16 17:33:49,0,0,102,1803
93,2024-05-16 17:34:49,0,0,108,1805
94,2024-05-16 17:35:49,0,0,108,1803
95,2024-05-16 17:36:49,0,0,113,1802
96,2024-05-16 17:37:49,0,0,110,1804
97,2024-05-16 17:38:49,0,0,107,1800
98,2024-05-16 17:39:49,8,0,104,1800
99,2024-05-16 17:40:49,8,0,100,1804
100,2024-05-16 17:41:49,8,0,123,1803
101,2024-05-16 17:42:48,0,0,144,1802
102,2024-05-16 17:43:49,0,0,123,1799
103,2024-05-16 17:44:49,0,0,180,1790
104,2024-05-16 17:45:49,0,0,124,1800
105,2024-05-16 17:46:48,0,0,130,1800
106,2024-05-16 17:47:49,0,0,116,1800
107,2024-05-16 17:48:49,0,0,113,1802
108,2024-05-16 17:49:49,8,0,111,1804
109,2024-05-16 17:50:49,0,0,107,1802
110,2024-05-16 17:51:49,0,0,107,1804
111,2024-05-16 17:52:49,0,0,105,1802
112,2024-05-16 17:53:48,0,0,107,1803
113,2024-05-16 17:54:49,0,0,105,1804
114,2024-05-16 17:55:49,0,0,129,1802
115,2024-05-16 17:56:49,0,0,104,1803
116,2024-05-16 17:57:49,0,0,101,1804
117,2024-05-16 17:58:49,0,0,106,1802
118,2024-05-16 18:00:49,0,0,108,1803
119,2024-05-16 18:01:48,0,0,107,1803
120,2024-05-16 18:02:49,0,0,106,1802
121,2024-05-16 18:03:49,0,0,107,1802
122,2024-05-16 18:04:49,0,0,107,1803
123,2024-05-16 18:05:49,0,0,98,1804
124,2024-05-16 18:06:49,0,0,107,1806
125,2024-05-16 18:07:49,0,0,113,1800
126,2024-05-16 18:08:49,0,0,106,1804
127,2024-05-16 18:09:49,0,0,110,1802
128,2024-05-16 18:10:49,0,0,109,1802
129,2024-05-16 18:11:49,0,0,101,1804
130,2024-05-16 18:12:49,0,0,147,1798
131,2024-05-16 18:13:49,0,0,115,1801
132,2024-05-16 18:14:49,0,0,112,1802
133,2024-05-16 18:15:49,0,0,102,1805
134,2024-05-16 18:16:49,0,0,114,1800
