,csvTime,P2_60
0,2024-05-16 16:00:49,357
1,2024-05-16 16:01:49,426
2,2024-05-16 16:02:48,442
3,2024-05-16 16:03:48,544
4,2024-05-16 16:04:48,435
5,2024-05-16 16:05:49,483
6,2024-05-16 16:06:49,781
7,2024-05-16 16:07:49,420
8,2024-05-16 16:08:49,451
9,2024-05-16 16:09:48,384
10,2024-05-16 16:10:48,417
11,2024-05-16 16:11:48,409
12,2024-05-16 16:12:48,395
13,2024-05-16 16:13:49,580
14,2024-05-16 16:14:48,437
15,2024-05-16 16:15:49,472
16,2024-05-16 16:16:49,450
17,2024-05-16 16:17:49,310
18,2024-05-16 16:18:49,368
19,2024-05-16 16:19:49,271
20,2024-05-16 16:20:49,250
21,2024-05-16 16:21:49,329
22,2024-05-16 16:22:48,244
23,2024-05-16 16:23:49,295
24,2024-05-16 16:24:49,293
25,2024-05-16 16:25:49,252
26,2024-05-16 16:26:49,274
27,2024-05-16 16:27:49,271
28,2024-05-16 16:28:49,319
29,2024-05-16 16:29:48,326
30,2024-05-16 16:30:48,230
31,2024-05-16 16:31:49,348
32,2024-05-16 16:32:48,393
33,2024-05-16 16:33:49,357
34,2024-05-16 16:34:48,299
35,2024-05-16 16:35:49,414
36,2024-05-16 16:36:49,332
37,2024-05-16 16:37:49,315
38,2024-05-16 16:38:48,293
39,2024-05-16 16:39:49,288
40,2024-05-16 16:40:48,271
41,2024-05-16 16:41:49,247
42,2024-05-16 16:42:48,260
43,2024-05-16 16:43:49,241
44,2024-05-16 16:44:49,239
45,2024-05-16 16:45:49,238
46,2024-05-16 16:46:49,250
47,2024-05-16 16:47:49,373
48,2024-05-16 16:48:48,241
49,2024-05-16 16:49:48,222
50,2024-05-16 16:50:49,360
51,2024-05-16 16:51:49,542
52,2024-05-16 16:52:49,453
53,2024-05-16 16:53:48,280
54,2024-05-16 16:54:49,277
55,2024-05-16 16:55:49,255
56,2024-05-16 16:56:49,238
57,2024-05-16 16:57:48,231
58,2024-05-16 16:58:49,226
59,2024-05-16 16:59:48,241
60,2024-05-16 17:00:49,305
61,2024-05-16 17:01:48,269
62,2024-05-16 17:02:49,285
63,2024-05-16 17:03:49,250
64,2024-05-16 17:04:48,268
65,2024-05-16 17:05:49,461
66,2024-05-16 17:06:49,271
67,2024-05-16 17:07:48,291
68,2024-05-16 17:08:49,536
69,2024-05-16 17:09:49,390
70,2024-05-16 17:10:49,260
71,2024-05-16 17:11:49,296
72,2024-05-16 17:12:49,288
73,2024-05-16 17:13:49,285
74,2024-05-16 17:14:49,277
75,2024-05-16 17:15:49,282
76,2024-05-16 17:16:48,277
77,2024-05-16 17:17:48,288
78,2024-05-16 17:18:48,293
79,2024-05-16 17:19:48,297
80,2024-05-16 17:20:49,282
81,2024-05-16 17:21:49,222
82,2024-05-16 17:22:49,346
83,2024-05-16 17:23:48,238
84,2024-05-16 17:24:49,233
85,2024-05-16 17:25:49,238
86,2024-05-16 17:26:49,276
87,2024-05-16 17:27:48,340
88,2024-05-16 17:28:49,369
89,2024-05-16 17:29:48,365
90,2024-05-16 17:30:49,361
91,2024-05-16 17:31:49,255
92,2024-05-16 17:32:49,238
93,2024-05-16 17:33:48,233
94,2024-05-16 17:34:48,282
95,2024-05-16 17:35:48,280
96,2024-05-16 17:36:48,313
97,2024-05-16 17:37:49,315
98,2024-05-16 17:38:48,263
99,2024-05-16 17:39:49,249
100,2024-05-16 17:40:49,238
101,2024-05-16 17:41:49,354
102,2024-05-16 17:42:49,379
103,2024-05-16 17:43:48,404
104,2024-05-16 17:44:48,558
105,2024-05-16 17:45:48,372
106,2024-05-16 17:46:49,387
107,2024-05-16 17:47:48,344
108,2024-05-16 17:48:49,309
109,2024-05-16 17:49:48,271
110,2024-05-16 17:50:48,285
111,2024-05-16 17:51:48,285
112,2024-05-16 17:52:49,274
113,2024-05-16 17:53:49,272
114,2024-05-16 17:54:48,264
115,2024-05-16 17:55:48,368
116,2024-05-16 17:56:48,274
117,2024-05-16 17:57:49,228
118,2024-05-16 17:58:48,252
119,2024-05-16 17:59:49,277
120,2024-05-16 18:00:49,277
121,2024-05-16 18:01:49,272
122,2024-05-16 18:02:49,269
123,2024-05-16 18:03:49,274
124,2024-05-16 18:04:48,285
125,2024-05-16 18:05:48,219
126,2024-05-16 18:06:48,246
127,2024-05-16 18:07:49,313
128,2024-05-16 18:08:49,258
129,2024-05-16 18:09:48,288
