,13-11-1_v,13-11-2_v,13-11-0_v,13-11-5_v,13-11-6_v,13-11-3_v,13-11-4_v,13-11-9_v,13-11-11_v,13-11-10_v,13-11-7_v,13-11-13_v,csvTime,13-11-8_v,13-11-12_v
0,6957,6950,6964,0,0,0,0,100,13,6002,0,0.0,2024-08-15 00:00:22,0,0
1,6957,6950,6964,0,0,0,0,100,15,6001,0,0.0,2024-08-15 00:01:22,0,0
2,6956,6950,6962,0,0,0,0,100,5,6001,0,0.0,2024-08-15 00:02:22,0,0
3,6953,6946,6961,0,0,0,0,100,8,6000,0,0.0,2024-08-15 00:03:22,0,0
4,6954,6947,6962,0,0,0,0,100,12,5998,0,0.0,2024-08-15 00:04:23,0,0
5,6954,6947,6961,0,0,0,0,100,8,5999,0,0.0,2024-08-15 00:05:22,0,0
6,6955,6948,6962,0,0,0,0,100,9,5998,0,0.0,2024-08-15 00:06:22,0,0
7,6954,6947,6962,0,0,0,0,100,17,5997,0,0.0,2024-08-15 00:07:23,0,0
8,6953,6946,6960,0,0,0,0,100,12,5997,0,0.0,2024-08-15 00:08:23,0,0
9,6953,6945,6960,0,0,0,0,100,17,5999,0,0.0,2024-08-15 00:09:23,0,0
10,6954,6947,6961,0,0,0,0,100,10,5998,0,0.0,2024-08-15 00:10:23,0,0
11,6954,6947,6961,0,0,0,0,100,10,5999,0,0.0,2024-08-15 00:11:23,0,0
12,6955,6948,6960,0,0,0,0,100,11,5998,0,0.0,2024-08-15 00:12:23,0,0
13,6954,6947,6961,0,0,0,0,100,15,5999,0,0.0,2024-08-15 00:13:23,0,0
14,6953,6946,6960,0,0,0,0,100,15,5997,0,0.0,2024-08-15 00:14:22,0,0
15,6954,6947,6961,0,0,0,0,100,14,5998,0,0.0,2024-08-15 00:15:23,0,0
16,6953,6946,6960,0,0,0,0,100,12,5997,0,0.0,2024-08-15 00:16:24,0,0
17,6955,6948,6962,0,0,0,0,100,16,5997,0,0.0,2024-08-15 00:17:24,0,0
18,6954,6947,6962,0,0,0,0,100,9,5998,0,0.0,2024-08-15 00:18:25,0,0
19,6955,6948,6962,0,0,0,0,100,6,5999,0,0.0,2024-08-15 00:19:25,0,0
20,6953,6946,6961,0,0,0,0,100,15,5998,0,0.0,2024-08-15 00:20:25,0,0
