,1-5-8_v,1-5-7_v,1-5-6_v,1-5-5_v,1-5-9_v,1-5-0_v,1-5-4_v,1-5-3_v,1-5-2_v,1-5-1_v,1-5-12_v,1-5-13_v,1-5-10_v,csvTime,1-5-11_v
0,0,0,0,0,100,6965,0,0,6957,6961,0,0.0,6003,2024-08-15 00:00:18,8
1,0,0,0,0,100,6966,0,0,6958,6962,0,0.0,6003,2024-08-15 00:01:18,8
2,0,0,0,0,100,6964,0,0,6957,6961,0,0.0,6001,2024-08-15 00:02:18,3
3,0,0,0,0,100,6963,0,0,6954,6958,0,0.0,6000,2024-08-15 00:03:18,10
4,0,0,0,0,100,6962,0,0,6953,6958,0,0.0,6001,2024-08-15 00:04:18,11
5,0,0,0,0,100,6962,0,0,6953,6958,0,0.0,6000,2024-08-15 00:05:18,11
6,0,0,0,0,100,6964,0,0,6956,6960,0,0.0,5998,2024-08-15 00:06:19,2
7,0,0,0,0,100,6963,0,0,6955,6959,0,0.0,5999,2024-08-15 00:07:19,0
8,0,0,0,0,100,6961,0,0,6953,6957,0,0.0,5998,2024-08-15 00:08:19,8
9,0,0,0,0,100,6961,0,0,6952,6957,0,0.0,5998,2024-08-15 00:09:19,2
10,0,0,0,0,100,6963,0,0,6955,6959,0,0.0,5997,2024-08-15 00:10:19,2
11,0,0,0,0,100,6962,0,0,6953,6958,0,0.0,5999,2024-08-15 00:11:19,4
12,0,0,0,0,100,6964,0,0,6955,6959,0,0.0,5998,2024-08-15 00:12:19,3
13,0,0,0,0,100,6964,0,0,6955,6959,0,0.0,5998,2024-08-15 00:13:19,2
14,0,0,0,0,100,6962,0,0,6954,6958,0,0.0,5998,2024-08-15 00:14:18,10
15,0,0,0,0,100,6962,0,0,6953,6957,0,0.0,5997,2024-08-15 00:15:19,3
16,0,0,0,0,100,6961,0,0,6953,6957,0,0.0,5999,2024-08-15 00:16:18,6
17,0,0,0,0,100,6963,0,0,6955,6959,0,0.0,5998,2024-08-15 00:17:18,6
18,0,0,0,0,100,6964,0,0,6955,6960,0,0.0,5998,2024-08-15 00:18:19,0
19,0,0,0,0,100,6963,0,0,6954,6959,0,0.0,5999,2024-08-15 00:19:19,3
20,0,0,0,0,100,6980,0,0,6971,6976,0,0.0,5979,2024-08-15 00:20:19,0
21,0,0,0,0,100,6963,0,0,6954,6958,0,0.0,5997,2024-08-15 00:21:19,11
22,0,0,0,0,100,6963,0,0,6954,6959,0,0.0,5998,2024-08-15 00:22:19,12
23,0,0,0,0,100,6964,0,0,6956,6960,0,0.0,6000,2024-08-15 00:23:19,2
24,0,0,0,0,100,6965,0,0,6955,6960,0,0.0,5999,2024-08-15 00:24:19,12
25,0,0,0,0,100,6964,0,0,6955,6959,0,0.0,5999,2024-08-15 00:25:19,11
26,0,0,0,0,100,6963,0,0,6954,6958,0,0.0,5999,2024-08-15 00:26:18,11
27,0,0,0,0,100,6963,0,0,6954,6958,0,0.0,5998,2024-08-15 00:27:20,3
28,0,0,0,0,100,6962,0,0,6954,6958,0,0.0,6000,2024-08-15 00:28:20,2
29,0,0,0,0,100,6963,0,0,6954,6959,0,0.0,5999,2024-08-15 00:29:20,10
30,0,0,0,0,100,6963,0,0,6955,6959,0,0.0,5999,2024-08-15 00:30:20,11
31,0,0,0,0,100,6964,0,0,6955,6960,0,0.0,5998,2024-08-15 00:31:21,8
32,0,0,0,0,100,6963,0,0,6955,6959,0,0.0,5998,2024-08-15 00:32:21,4
33,0,0,0,0,100,6962,0,0,6955,6959,0,0.0,5999,2024-08-15 00:33:21,3
