,PLC_point0_value,PLC_point1_value,PLC_point7_value,PLC_point5_value,PLC_point8_value,PLC_point4_value,PLC_point3_value,PLC_point2_value,PLC_point6_value,csvTime
0,error,error,error,error,error,error,error,error,error,2024-09-25 00:00:34
1,error,error,error,error,error,error,error,error,error,2024-09-25 00:01:34
2,error,error,error,error,error,error,error,error,error,2024-09-25 00:02:34
3,error,error,error,error,error,error,error,error,error,2024-09-25 00:03:34
4,error,error,error,error,error,error,error,error,error,2024-09-25 00:04:34
5,error,error,error,error,error,error,error,error,error,2024-09-25 00:05:34
6,error,error,error,error,error,error,error,error,error,2024-09-25 00:06:34
7,error,error,error,error,error,error,error,error,error,2024-09-25 00:07:34
8,error,error,error,error,error,error,error,error,error,2024-09-25 00:08:34
9,error,error,error,error,error,error,error,error,error,2024-09-25 00:09:34
10,error,error,error,error,error,error,error,error,error,2024-09-25 00:10:34
11,error,error,error,error,error,error,error,error,error,2024-09-25 00:11:34
12,error,error,error,error,error,error,error,error,error,2024-09-25 00:12:34
13,error,error,error,error,error,error,error,error,error,2024-09-25 00:13:34
14,error,error,error,error,error,error,error,error,error,2024-09-25 00:14:34
15,error,error,error,error,error,error,error,error,error,2024-09-25 00:15:34
16,error,error,error,error,error,error,error,error,error,2024-09-25 00:16:34
17,error,error,error,error,error,error,error,error,error,2024-09-25 00:17:34
18,error,error,error,error,error,error,error,error,error,2024-09-25 00:18:34
19,error,error,error,error,error,error,error,error,error,2024-09-25 00:19:34
20,error,error,error,error,error,error,error,error,error,2024-09-25 00:20:34
21,error,error,error,error,error,error,error,error,error,2024-09-25 00:21:34
22,error,error,error,error,error,error,error,error,error,2024-09-25 00:22:34
23,error,error,error,error,error,error,error,error,error,2024-09-25 00:23:34
24,error,error,error,error,error,error,error,error,error,2024-09-25 00:24:34
25,error,error,error,error,error,error,error,error,error,2024-09-25 00:25:34
26,error,error,error,error,error,error,error,error,error,2024-09-25 00:26:34
27,error,error,error,error,error,error,error,error,error,2024-09-25 00:27:34
28,error,error,error,error,error,error,error,error,error,2024-09-25 00:28:34
29,error,error,error,error,error,error,error,error,error,2024-09-25 00:29:34
30,error,error,error,error,error,error,error,error,error,2024-09-25 00:30:34
31,error,error,error,error,error,error,error,error,error,2024-09-25 00:31:34
32,error,error,error,error,error,error,error,error,error,2024-09-25 00:32:34
33,error,error,error,error,error,error,error,error,error,2024-09-25 00:33:34
34,error,error,error,error,error,error,error,error,error,2024-09-25 00:34:34
35,error,error,error,error,error,error,error,error,error,2024-09-25 00:35:34
36,error,error,error,error,error,error,error,error,error,2024-09-25 00:36:34
37,error,error,error,error,error,error,error,error,error,2024-09-25 00:37:34
38,error,error,error,error,error,error,error,error,error,2024-09-25 00:38:34
39,error,error,error,error,error,error,error,error,error,2024-09-25 00:39:34
40,error,error,error,error,error,error,error,error,error,2024-09-25 00:40:34
41,error,error,error,error,error,error,error,error,error,2024-09-25 00:41:34
42,error,error,error,error,error,error,error,error,error,2024-09-25 00:42:34
43,error,error,error,error,error,error,error,error,error,2024-09-25 00:43:34
44,error,error,error,error,error,error,error,error,error,2024-09-25 00:44:34
45,error,error,error,error,error,error,error,error,error,2024-09-25 00:45:34
46,error,error,error,error,error,error,error,error,error,2024-09-25 00:46:34
47,error,error,error,error,error,error,error,error,error,2024-09-25 00:47:34
48,error,error,error,error,error,error,error,error,error,2024-09-25 00:48:34
49,error,error,error,error,error,error,error,error,error,2024-09-25 00:49:34
50,error,error,error,error,error,error,error,error,error,2024-09-25 00:50:34
51,error,error,error,error,error,error,error,error,error,2024-09-25 00:51:34
52,error,error,error,error,error,error,error,error,error,2024-09-25 00:52:34
53,error,error,error,error,error,error,error,error,error,2024-09-25 00:53:34
54,error,error,error,error,error,error,error,error,error,2024-09-25 00:54:34
55,error,error,error,error,error,error,error,error,error,2024-09-25 00:55:34
56,error,error,error,error,error,error,error,error,error,2024-09-25 00:56:34
57,error,error,error,error,error,error,error,error,error,2024-09-25 00:57:34
58,error,error,error,error,error,error,error,error,error,2024-09-25 00:58:34
59,error,error,error,error,error,error,error,error,error,2024-09-25 01:00:34
60,error,error,error,error,error,error,error,error,error,2024-09-25 01:01:34
61,error,error,error,error,error,error,error,error,error,2024-09-25 01:02:34
62,error,error,error,error,error,error,error,error,error,2024-09-25 01:03:34
63,error,error,error,error,error,error,error,error,error,2024-09-25 01:04:34
64,error,error,error,error,error,error,error,error,error,2024-09-25 01:05:34
65,error,error,error,error,error,error,error,error,error,2024-09-25 01:06:34
66,error,error,error,error,error,error,error,error,error,2024-09-25 01:07:34
67,error,error,error,error,error,error,error,error,error,2024-09-25 01:08:34
68,error,error,error,error,error,error,error,error,error,2024-09-25 01:09:34
69,error,error,error,error,error,error,error,error,error,2024-09-25 01:10:34
