,_id,P1_88.5,P1_88.4,P1_77,P1_88.7,P1_76,P1_88.6,P1_75,P1_88.1,P1_74,P1_88.0,P1_73,P1_88.3,P1_72,groupId,P1_88.2,P1_71,P1_70,P1_88.9,P1_88.8,P1_69,csvTime,P1_68,P1_67,P1_66,P1_65,P1_64,P1_63,P1_62,P1_61,P1_60,nodeName,P1_89.4,P1_89.3,P1_89.5,P1_89.0,P1_89.2,P1_89.1,P1_88.14,P1_88.13,P1_88.12,P1_88.11,P1_89.8,P1_89.7,P1_88.15,P1_89.9,P1_88.10,timestamp,P1_89.12,P1_89.11,P1_89.10
0,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:00:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727193638288,1,0,0
1,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:01:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727193698640,1,0,0
2,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:02:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727193757995,1,0,0
3,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:03:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727193818377,1,0,0
4,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:04:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727193877884,1,0,0
5,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:05:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727193938283,1,0,0
6,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:06:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727193997609,1,0,0
7,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:07:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727194057954,1,0,0
8,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:08:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727194118338,1,0,0
9,,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2024-09-25 00:09:29,-24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1727194177692,1,0,0
