,_id,P1_78,groupId,P1_91.10,P1_91.5,P1_91.4,P1_91.15,P1_91.7,P1_91.6,P1_91.1,P1_91.12,P1_91.0,P1_91.11,P1_91.3,P1_91.14,csvTime,P1_91.2,P1_91.13,P1_90.9,P1_92.7,P1_90.15,P1_90.14,P1_90.11,P1_90.10,P1_90.12,nodeName,P1_90.0,P1_90.6,P1_92.4,P1_90.5,P1_92.3,P1_90.8,P1_92.6,P1_90.7,P1_92.5,P1_90.2,P1_92.0,P1_90.1,P1_90.4,P1_92.2,timestamp,P1_90.3,P1_92.1,P1_91.9,P1_91.8,P1_89.15,P1_89.14,P1_80,P1_89.13,P1_79
0,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:00:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727193664951,0,1,0,0,0,1,0,1,0
1,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:01:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727193725228,0,1,0,0,0,1,0,1,0
2,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:02:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727193784622,0,1,0,0,0,1,0,1,0
3,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:03:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727193845112,0,1,0,0,0,1,0,1,0
4,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:04:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727193905508,0,1,0,0,0,1,0,1,0
5,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:05:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727193964915,0,1,0,0,0,1,0,1,0
6,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:06:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194025277,0,1,0,0,0,1,0,1,0
7,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:07:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194084565,0,1,0,0,0,1,0,1,0
8,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:08:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194144912,0,1,0,0,0,1,0,1,0
9,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:09:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194205261,0,1,0,0,0,1,0,1,0
10,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:10:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194264687,0,1,0,0,0,1,0,1,0
11,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:11:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194325144,0,1,0,0,0,1,0,1,0
12,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:12:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194385451,0,1,0,0,0,1,0,1,0
13,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:13:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194444889,0,1,0,0,0,1,0,1,0
14,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:14:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194505348,0,1,0,0,0,1,0,1,0
15,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:15:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194564681,0,1,0,0,0,1,0,1,0
16,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:16:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194625114,0,1,0,0,0,1,0,1,0
17,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:17:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194684547,0,1,0,0,0,1,0,1,0
18,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:18:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194744866,0,1,0,0,0,1,0,1,0
19,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:19:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194805293,0,1,0,0,0,1,0,1,0
20,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:20:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194865672,0,1,0,0,0,1,0,1,0
21,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:21:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194925069,0,1,0,0,0,1,0,1,0
22,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:22:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727194985484,0,1,0,0,0,1,0,1,0
23,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:23:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195044841,0,1,0,0,0,1,0,1,0
24,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:24:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195105211,0,1,0,0,0,1,0,1,0
25,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:25:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195165530,0,1,0,0,0,1,0,1,0
26,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:26:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195224909,0,1,0,0,0,1,0,1,0
27,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:27:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195285261,0,1,0,0,0,1,0,1,0
28,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:28:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195345495,0,1,0,0,0,1,0,1,0
29,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:29:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195404895,0,1,0,0,0,1,0,1,0
30,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:30:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195465180,0,1,0,0,0,1,0,1,0
31,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:31:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195524584,0,1,0,0,0,1,0,1,0
32,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:32:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195584944,0,1,0,0,0,1,0,1,0
33,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:33:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195645340,0,1,0,0,0,1,0,1,0
34,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:34:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195705727,0,1,0,0,0,1,0,1,0
35,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:35:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195764976,0,1,0,0,0,1,0,1,0
36,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:36:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195825409,0,1,0,0,0,1,0,1,0
37,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:37:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195884739,0,1,0,0,0,1,0,1,0
38,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:38:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727195945177,0,1,0,0,0,1,0,1,0
39,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:39:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727196005549,0,1,0,0,0,1,0,1,0
40,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:40:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727196064989,0,1,0,0,0,1,0,1,0
41,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:41:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727196125317,0,1,0,0,0,1,0,1,0
42,,0,4,1,1,0,0,0,1,0,0,0,0,0,0,2024-09-25 00:42:56,0,0,0,1,0,0,0,0,0,,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1727196184724,0,1,0,0,0,1,0,1,0
