,13-11-1_v,13-11-2_v,13-11-0_v,13-11-5_v,13-11-6_v,13-11-3_v,13-11-4_v,13-11-9_v,13-11-11_v,13-11-10_v,13-11-7_v,13-11-13_v,csvTime,13-11-8_v,13-11-12_v
0,6964,6956,6971,0,0,0,0,100,8,5998,0,,2024-09-25 00:01:00,0,0
1,6963,6956,6971,0,0,0,0,100,11,5998,0,,2024-09-25 00:02:00,0,0
2,6963,6955,6971,0,0,0,0,100,12,5998,0,,2024-09-25 00:02:59,0,0
3,6962,6954,6970,0,0,0,0,100,17,5998,0,,2024-09-25 00:04:01,0,0
4,6964,6956,6971,0,0,0,0,100,8,5999,0,,2024-09-25 00:05:01,0,0
5,6963,6955,6971,0,0,0,0,100,11,5998,0,,2024-09-25 00:06:01,0,0
6,6963,6955,6971,0,0,0,0,100,17,5998,0,,2024-09-25 00:07:00,0,0
7,6963,6954,6973,0,0,0,0,100,20,5999,0,,2024-09-25 00:08:02,0,0
8,6962,6952,6971,0,0,0,0,100,14,6000,0,,2024-09-25 00:09:02,0,0
9,6964,6954,6973,0,0,0,0,100,10,5998,0,,2024-09-25 00:10:01,0,0
10,6963,6953,6972,0,0,0,0,100,11,5998,0,,2024-09-25 00:11:01,0,0
11,6964,6955,6973,0,0,0,0,100,10,6000,0,,2024-09-25 00:12:01,0,0
12,6963,6954,6972,0,0,0,0,100,20,5999,0,,2024-09-25 00:13:03,0,0
13,6964,6954,6973,0,0,0,0,100,15,5999,0,,2024-09-25 00:14:02,0,0
14,6963,6954,6973,0,0,0,0,100,15,5999,0,,2024-09-25 00:15:02,0,0
15,6963,6953,6972,0,0,0,0,100,14,6001,0,,2024-09-25 00:16:04,0,0
16,6963,6953,6973,0,0,0,0,100,20,6001,0,,2024-09-25 00:17:04,0,0
17,6963,6953,6973,0,0,0,0,100,14,6002,0,,2024-09-25 00:18:04,0,0
18,6964,6954,6974,0,0,0,0,100,11,6001,0,,2024-09-25 00:19:04,0,0
19,6962,6953,6971,0,0,0,0,100,10,6001,0,,2024-09-25 00:20:04,0,0
20,6962,6953,6970,0,0,0,0,100,10,6000,0,,2024-09-25 00:21:03,0,0
21,6962,6953,6970,0,0,0,0,100,14,6001,0,,2024-09-25 00:22:03,0,0
22,6962,6953,6971,0,0,0,0,100,13,6001,0,,2024-09-25 00:23:03,0,0
23,6962,6954,6971,0,0,0,0,100,9,5999,0,,2024-09-25 00:24:05,0,0
24,6960,6952,6968,0,0,0,0,100,14,5999,0,,2024-09-25 00:25:05,0,0
25,6960,6952,6969,0,0,0,0,100,17,6000,0,,2024-09-25 00:26:05,0,0
26,6962,6954,6970,0,0,0,0,100,9,5999,0,,2024-09-25 00:27:04,0,0
27,6963,6956,6970,0,0,0,0,100,9,6000,0,,2024-09-25 00:28:04,0,0
28,6962,6955,6970,0,0,0,0,100,10,6002,0,,2024-09-25 00:29:04,0,0
29,6964,6956,6971,0,0,0,0,100,16,6002,0,,2024-09-25 00:30:04,0,0
30,6963,6955,6970,0,0,0,0,100,16,6000,0,,2024-09-25 00:31:04,0,0
31,6963,6955,6970,0,0,0,0,100,15,6000,0,,2024-09-25 00:32:04,0,0
32,6963,6956,6971,0,0,0,0,100,14,6001,0,,2024-09-25 00:33:04,0,0
33,6965,6958,6972,0,0,0,0,100,6,6002,0,,2024-09-25 00:34:06,0,0
34,6963,6956,6970,0,0,0,0,100,6,6001,0,,2024-09-25 00:35:06,0,0
35,6962,6955,6969,0,0,0,0,100,6,6001,0,,2024-09-25 00:36:06,0,0
36,6963,6956,6970,0,0,0,0,100,7,6001,0,,2024-09-25 00:37:06,0,0
37,6963,6956,6970,0,0,0,0,100,8,6001,0,,2024-09-25 00:38:06,0,0
38,6959,6952,6967,0,0,0,0,100,17,6000,0,,2024-09-25 00:39:06,0,0
39,6960,6953,6967,0,0,0,0,100,11,5999,0,,2024-09-25 00:40:06,0,0
40,6962,6954,6970,0,0,0,0,100,17,5999,0,,2024-09-25 00:41:06,0,0
41,6961,6953,6969,0,0,0,0,100,16,5998,0,,2024-09-25 00:42:06,0,0
42,6960,6953,6967,0,0,0,0,100,8,5998,0,,2024-09-25 00:43:05,0,0
43,6960,6953,6968,0,0,0,0,100,10,5998,0,,2024-09-25 00:44:05,0,0
44,6960,6953,6968,0,0,0,0,100,8,5996,0,,2024-09-25 00:45:06,0,0
45,6960,6952,6968,0,0,0,0,100,8,5998,0,,2024-09-25 00:46:06,0,0
46,6960,6952,6968,0,0,0,0,100,8,5998,0,,2024-09-25 00:47:06,0,0
47,6962,6953,6972,0,0,0,0,100,19,6003,0,,2024-09-25 00:48:07,0,0
48,6963,6954,6972,0,0,0,0,100,10,6001,0,,2024-09-25 00:49:08,0,0
49,6965,6956,6974,0,0,0,0,100,18,6001,0,,2024-09-25 00:50:08,0,0
50,6964,6954,6973,0,0,0,0,100,19,6001,0,,2024-09-25 00:51:08,0,0
51,6963,6954,6972,0,0,0,0,100,11,6001,0,,2024-09-25 00:52:08,0,0
52,6963,6953,6972,0,0,0,0,100,19,6002,0,,2024-09-25 00:53:08,0,0
53,6962,6953,6971,0,0,0,0,100,10,6002,0,,2024-09-25 00:54:08,0,0
54,6963,6954,6972,0,0,0,0,100,19,6001,0,,2024-09-25 00:55:08,0,0
55,6963,6954,6972,0,0,0,0,100,10,6003,0,,2024-09-25 00:56:10,0,0
56,6963,6954,6971,0,0,0,0,100,9,6003,0,,2024-09-25 00:57:10,0,0
57,6963,6954,6971,0,0,0,0,100,13,6004,0,,2024-09-25 00:58:10,0,0
58,6966,6957,6975,0,0,0,0,100,17,6004,0,,2024-09-25 01:00:10,0,0
59,6965,6957,6974,0,0,0,0,100,16,6005,0,,2024-09-25 01:01:09,0,0
60,6965,6956,6974,0,0,0,0,100,18,6004,0,,2024-09-25 01:02:09,0,0
61,6963,6955,6971,0,0,0,0,100,13,6003,0,,2024-09-25 01:03:09,0,0
62,6964,6956,6972,0,0,0,0,100,8,6003,0,,2024-09-25 01:04:11,0,0
63,6964,6956,6973,0,0,0,0,100,17,6004,0,,2024-09-25 01:05:11,0,0
64,6965,6956,6973,0,0,0,0,100,15,6002,0,,2024-09-25 01:06:11,0,0
65,6963,6954,6972,0,0,0,0,100,18,6002,0,,2024-09-25 01:07:11,0,0
66,6964,6955,6972,0,0,0,0,100,17,6002,0,,2024-09-25 01:08:11,0,0
67,6963,6954,6971,0,0,0,0,100,18,6002,0,,2024-09-25 01:09:11,0,0
68,6960,6951,6968,0,0,0,0,100,14,6000,0,,2024-09-25 01:10:11,0,0
69,6961,6953,6969,0,0,0,0,100,17,6000,0,,2024-09-25 01:11:10,0,0
70,6961,6953,6969,0,0,0,0,100,9,5998,0,,2024-09-25 01:12:10,0,0
71,6962,6953,6970,0,0,0,0,100,11,5998,0,,2024-09-25 01:13:12,0,0
72,6961,6952,6969,0,0,0,0,100,10,5998,0,,2024-09-25 01:14:12,0,0
73,6960,6951,6968,0,0,0,0,100,18,5999,0,,2024-09-25 01:15:12,0,0
74,6962,6954,6971,0,0,0,0,100,9,5997,0,,2024-09-25 01:16:11,0,0
75,6961,6953,6969,0,0,0,0,100,13,5999,0,,2024-09-25 01:17:11,0,0
76,6961,6953,6969,0,0,0,0,100,18,5999,0,,2024-09-25 01:18:13,0,0
77,6961,6953,6970,0,0,0,0,100,9,5999,0,,2024-09-25 01:19:13,0,0
78,6960,6952,6969,0,0,0,0,100,16,5998,0,,2024-09-25 01:20:13,0,0
79,6960,6952,6968,0,0,0,0,100,16,5998,0,,2024-09-25 01:21:13,0,0
80,6960,6951,6968,0,0,0,0,100,10,5998,0,,2024-09-25 01:22:13,0,0
81,6960,6952,6968,0,0,0,0,100,15,5999,0,,2024-09-25 01:23:12,0,0
82,6961,6953,6969,0,0,0,0,100,8,5998,0,,2024-09-25 01:24:12,0,0
83,6960,6952,6968,0,0,0,0,100,9,5999,0,,2024-09-25 01:25:12,0,0
84,6959,6951,6967,0,0,0,0,100,8,5999,0,,2024-09-25 01:26:14,0,0
85,6960,6952,6968,0,0,0,0,100,13,5999,0,,2024-09-25 01:27:14,0,0
86,6963,6955,6971,0,0,0,0,100,16,6000,0,,2024-09-25 01:28:14,0,0
87,6963,6955,6970,0,0,0,0,100,14,6001,0,,2024-09-25 01:29:14,0,0
88,6964,6956,6972,0,0,0,0,100,15,6002,0,,2024-09-25 01:30:14,0,0
89,6964,6957,6971,0,0,0,0,100,9,6002,0,,2024-09-25 01:31:14,0,0
90,6962,6954,6970,0,0,0,0,100,17,6001,0,,2024-09-25 01:32:14,0,0
91,6963,6955,6970,0,0,0,0,100,13,6000,0,,2024-09-25 01:33:13,0,0
92,6966,6957,6975,0,0,0,0,100,18,6004,0,,2024-09-25 01:34:13,0,0
93,6966,6957,6975,0,0,0,0,100,13,6004,0,,2024-09-25 01:35:13,0,0
94,6967,6958,6975,0,0,0,0,100,14,6005,0,,2024-09-25 01:36:13,0,0
95,6966,6957,6975,0,0,0,0,100,19,6004,0,,2024-09-25 01:37:13,0,0
96,6965,6956,6974,0,0,0,0,100,17,6006,0,,2024-09-25 01:38:13,0,0
97,6966,6957,6975,0,0,0,0,100,10,6005,0,,2024-09-25 01:39:13,0,0
98,6963,6953,6972,0,0,0,0,100,10,6004,0,,2024-09-25 01:40:15,0,0
99,6963,6954,6972,0,0,0,0,100,10,6002,0,,2024-09-25 01:41:15,0,0
100,6963,6954,6972,0,0,0,0,100,18,6003,0,,2024-09-25 01:42:15,0,0
101,6962,6953,6971,0,0,0,0,100,11,6002,0,,2024-09-25 01:43:14,0,0
102,6964,6955,6973,0,0,0,0,100,12,6003,0,,2024-09-25 01:44:14,0,0
103,6963,6953,6972,0,0,0,0,100,15,6002,0,,2024-09-25 01:45:14,0,0
104,6962,6953,6971,0,0,0,0,100,16,6002,0,,2024-09-25 01:46:14,0,0
105,6963,6954,6972,0,0,0,0,100,17,6004,0,,2024-09-25 01:47:16,0,0
106,6962,6953,6970,0,0,0,0,100,12,6001,0,,2024-09-25 01:48:16,0,0
107,6962,6954,6970,0,0,0,0,100,14,6000,0,,2024-09-25 01:49:16,0,0
108,6961,6954,6969,0,0,0,0,100,8,6000,0,,2024-09-25 01:50:18,0,0
109,6962,6954,6969,0,0,0,0,100,16,6000,0,,2024-09-25 01:51:18,0,0
110,6962,6954,6969,0,0,0,0,100,8,5997,0,,2024-09-25 01:52:18,0,0
111,6961,6953,6968,0,0,0,0,100,7,5997,0,,2024-09-25 01:53:17,0,0
112,6962,6954,6969,0,0,0,0,100,9,5997,0,,2024-09-25 01:54:18,0,0
113,6961,6953,6968,0,0,0,0,100,17,5996,0,,2024-09-25 01:55:17,0,0
114,6961,6954,6968,0,0,0,0,100,17,5996,0,,2024-09-25 01:56:17,0,0
115,6961,6953,6968,0,0,0,0,100,13,5997,0,,2024-09-25 01:57:19,0,0
116,6962,6954,6969,0,0,0,0,100,7,5996,0,,2024-09-25 01:58:18,0,0
117,6961,6953,6969,0,0,0,0,100,17,5996,0,,2024-09-25 02:00:20,0,0
118,6963,6955,6970,0,0,0,0,100,7,5996,0,,2024-09-25 02:01:20,0,0
119,6962,6954,6969,0,0,0,0,100,9,5999,0,,2024-09-25 02:02:19,0,0
120,6962,6955,6970,0,0,0,0,100,17,5999,0,,2024-09-25 02:03:19,0,0
121,6961,6953,6968,0,0,0,0,100,13,5998,0,,2024-09-25 02:04:19,0,0
122,6962,6954,6969,0,0,0,0,100,6,6000,0,,2024-09-25 02:05:21,0,0
123,6961,6953,6969,0,0,0,0,100,17,5999,0,,2024-09-25 02:06:21,0,0
124,6961,6954,6968,0,0,0,0,100,6,5999,0,,2024-09-25 02:07:20,0,0
125,6963,6955,6970,0,0,0,0,100,17,5998,0,,2024-09-25 02:08:20,0,0
126,6964,6957,6971,0,0,0,0,100,7,6001,0,,2024-09-25 02:09:20,0,0
127,6963,6956,6971,0,0,0,0,100,11,6002,0,,2024-09-25 02:10:20,0,0
128,6965,6957,6972,0,0,0,0,100,13,6002,0,,2024-09-25 02:11:20,0,0
129,6964,6956,6971,0,0,0,0,100,16,6001,0,,2024-09-25 02:12:20,0,0
130,6963,6956,6971,0,0,0,0,100,11,6002,0,,2024-09-25 02:13:22,0,0
131,6964,6957,6972,0,0,0,0,100,15,6002,0,,2024-09-25 02:14:22,0,0
132,6964,6956,6972,0,0,0,0,100,9,6001,0,,2024-09-25 02:15:22,0,0
133,6963,6955,6971,0,0,0,0,100,17,6002,0,,2024-09-25 02:16:22,0,0
134,6964,6957,6972,0,0,0,0,100,8,6001,0,,2024-09-25 02:17:22,0,0
135,6963,6955,6971,0,0,0,0,100,13,6002,0,,2024-09-25 02:18:22,0,0
136,6962,6954,6970,0,0,0,0,100,16,6002,0,,2024-09-25 02:19:24,0,0
137,6962,6954,6970,0,0,0,0,100,16,6001,0,,2024-09-25 02:20:24,0,0
138,6961,6953,6969,0,0,0,0,100,10,5999,0,,2024-09-25 02:21:24,0,0
139,6960,6952,6967,0,0,0,0,100,8,6000,0,,2024-09-25 02:22:24,0,0
140,6961,6953,6970,0,0,0,0,100,12,5998,0,,2024-09-25 02:23:26,0,0
141,6960,6952,6968,0,0,0,0,100,10,5999,0,,2024-09-25 02:24:25,0,0
