,1-3-12_v,1-3-9_v,1-3-13_v,1-3-8_v,1-3-10_v,1-3-7_v,1-3-11_v,1-3-6_v,1-3-5_v,1-3-4_v,1-3-3_v,1-3-2_v,1-3-1_v,1-3-0_v,csvTime
0,0,100,,2,5998,1,9,2,0,0,0,6958,6965,6972,2024-09-25 00:00:26
1,0,100,,2,5998,1,9,2,0,0,0,6959,6966,6973,2024-09-25 00:01:26
2,0,100,,2,5998,1,13,2,0,0,0,6957,6965,6972,2024-09-25 00:02:26
3,0,100,,2,5999,1,6,2,0,0,0,6956,6964,6971,2024-09-25 00:03:25
4,0,100,,2,5997,1,17,2,0,0,0,6957,6965,6973,2024-09-25 00:04:25
5,0,100,,2,5999,1,13,2,0,0,0,6958,6966,6973,2024-09-25 00:05:25
6,0,100,,2,5998,1,10,2,0,0,0,6958,6965,6973,2024-09-25 00:06:27
7,0,100,,2,5999,1,10,2,0,0,0,6957,6965,6974,2024-09-25 00:07:26
8,0,100,,2,6001,1,15,2,0,0,0,6955,6964,6973,2024-09-25 00:08:28
9,0,100,,2,5999,1,16,2,0,0,0,6955,6964,6973,2024-09-25 00:09:28
10,0,100,,2,5999,1,19,2,0,0,0,6955,6964,6973,2024-09-25 00:10:28
11,0,100,,2,5999,1,16,2,0,0,0,6957,6965,6974,2024-09-25 00:11:27
12,0,100,,2,5999,1,10,2,0,0,0,6956,6965,6974,2024-09-25 00:12:27
13,0,100,,2,5999,1,18,2,0,0,0,6955,6964,6973,2024-09-25 00:13:29
14,0,100,,2,5999,1,19,2,0,0,0,6958,6966,6975,2024-09-25 00:14:28
15,0,100,,2,6002,1,11,2,0,0,0,6956,6965,6974,2024-09-25 00:15:28
16,0,100,,2,6002,1,13,2,0,0,0,6955,6964,6973,2024-09-25 00:16:28
17,0,100,,2,6001,1,16,2,0,0,0,6955,6964,6973,2024-09-25 00:17:28
18,0,100,,2,6002,1,19,2,0,0,0,6955,6965,6974,2024-09-25 00:18:28
19,0,100,,2,6004,1,15,2,0,0,0,6954,6963,6971,2024-09-25 00:19:30
20,1616,92,,15,6000,5,12,14,11,13,14,6956,6965,6973,2024-09-25 00:20:30
21,1814,95,,9,6000,2,18,8,6,8,9,6956,6964,6973,2024-09-25 00:21:30
22,1841,95,,9,5999,2,16,8,6,8,9,6956,6965,6973,2024-09-25 00:22:29
23,1802,95,,9,6001,2,10,8,6,8,9,6956,6965,6973,2024-09-25 00:23:29
24,1820,95,,9,5999,2,8,8,6,8,9,6956,6964,6972,2024-09-25 00:24:29
25,10000,100,,3,5999,1,7,3,0,0,4,6954,6962,6969,2024-09-25 00:25:31
26,0,100,,3,6000,1,17,2,0,0,0,6954,6962,6970,2024-09-25 00:26:30
