,1-5-8_v,1-5-7_v,1-5-6_v,1-5-5_v,1-5-9_v,1-5-0_v,1-5-4_v,1-5-3_v,1-5-2_v,1-5-1_v,1-5-12_v,1-5-13_v,1-5-10_v,csvTime,1-5-11_v
0,0,0,0,0,100,6972,0,0,6964,6968,0,,5999,2024-09-25 00:00:18,2
1,0,0,0,0,100,6973,0,0,6964,6968,0,,5999,2024-09-25 00:01:18,4
2,0,0,0,0,100,6973,0,0,6963,6968,0,,5999,2024-09-25 00:02:18,10
3,0,0,0,0,100,6970,0,0,6961,6965,0,,5999,2024-09-25 00:03:20,6
4,0,0,0,0,100,6972,0,0,6962,6967,0,,5999,2024-09-25 00:04:19,9
5,0,0,0,0,100,6972,0,0,6962,6967,0,,5999,2024-09-25 00:05:19,4
6,0,0,0,0,100,6974,0,0,6964,6969,0,,5999,2024-09-25 00:06:19,2
7,0,0,0,0,100,6969,0,0,6959,6964,0,,5998,2024-09-25 00:07:21,9
8,0,0,0,0,100,6973,0,0,6961,6967,0,,6000,2024-09-25 00:08:20,9
9,0,0,0,0,100,6973,0,0,6960,6967,0,,5999,2024-09-25 00:09:20,15
10,0,0,0,0,100,6972,0,0,6959,6966,0,,6000,2024-09-25 00:10:20,15
11,0,0,0,0,100,6973,0,0,6960,6966,0,,5999,2024-09-25 00:11:22,5
12,0,0,0,0,100,6974,0,0,6961,6967,0,,5999,2024-09-25 00:12:21,11
13,0,0,0,0,100,6974,0,0,6961,6967,0,,6000,2024-09-25 00:13:21,15
14,0,0,0,0,100,6973,0,0,6961,6967,0,,5999,2024-09-25 00:14:21,10
15,0,0,0,0,100,6973,0,0,6961,6967,0,,6002,2024-09-25 00:15:22,6
16,0,0,0,0,100,6973,0,0,6960,6966,0,,6004,2024-09-25 00:16:22,8
17,0,0,0,0,100,6974,0,0,6960,6967,0,,6002,2024-09-25 00:17:23,11
18,0,0,0,0,100,6974,0,0,6960,6967,0,,6002,2024-09-25 00:18:22,12
19,0,0,0,0,100,6974,0,0,6961,6968,0,,6002,2024-09-25 00:19:22,14
20,0,0,0,0,100,6971,0,0,6959,6965,0,,6001,2024-09-25 00:20:22,9
21,0,0,0,0,100,6972,0,0,6961,6967,0,,6000,2024-09-25 00:21:22,9
22,0,0,0,0,100,6971,0,0,6960,6965,0,,6000,2024-09-25 00:22:24,4
23,0,0,0,0,100,6973,0,0,6961,6967,0,,6000,2024-09-25 00:23:24,7
24,0,0,0,0,100,6971,0,0,6960,6965,0,,5999,2024-09-25 00:24:23,12
25,0,0,0,0,100,6970,0,0,6960,6965,0,,5998,2024-09-25 00:25:23,3
26,0,0,0,0,100,6972,0,0,6962,6967,0,,5999,2024-09-25 00:26:23,6
27,0,0,0,0,100,6972,0,0,6963,6967,0,,6001,2024-09-25 00:27:25,10
28,0,0,0,0,100,6971,0,0,6962,6967,0,,6002,2024-09-25 00:28:25,2
29,0,0,0,0,100,6972,0,0,6963,6968,0,,6001,2024-09-25 00:29:25,2
30,0,0,0,0,100,6971,0,0,6963,6967,0,,6002,2024-09-25 00:30:25,6
31,0,0,0,0,100,6971,0,0,6962,6967,0,,6002,2024-09-25 00:31:24,8
32,0,0,0,0,100,6972,0,0,6963,6967,0,,6002,2024-09-25 00:32:25,10
33,0,0,0,0,100,6970,0,0,6962,6966,0,,6002,2024-09-25 00:33:25,2
34,0,0,0,0,100,6973,0,0,6964,6968,0,,6002,2024-09-25 00:34:24,6
35,0,0,0,0,100,6972,0,0,6964,6968,0,,6001,2024-09-25 00:35:24,10
36,0,0,0,0,100,6971,0,0,6963,6967,0,,6001,2024-09-25 00:36:24,2
37,0,0,0,0,100,6972,0,0,6963,6967,0,,6002,2024-09-25 00:37:24,11
38,0,0,0,0,100,6970,0,0,6962,6966,0,,6002,2024-09-25 00:38:24,4
39,0,0,0,0,100,6969,0,0,6960,6964,0,,6000,2024-09-25 00:39:24,0
40,0,0,0,0,100,6967,0,0,6958,6963,0,,6000,2024-09-25 00:40:24,4
41,0,0,0,0,100,6970,0,0,6961,6966,0,,5999,2024-09-25 00:41:24,4
42,0,0,0,0,100,6970,0,0,6960,6965,0,,5999,2024-09-25 00:42:24,10
43,0,0,0,0,100,6969,0,0,6960,6965,0,,5997,2024-09-25 00:43:24,3
44,0,0,0,0,100,6969,0,0,6959,6964,0,,5998,2024-09-25 00:44:25,2
45,0,0,0,0,100,6969,0,0,6959,6964,0,,5998,2024-09-25 00:45:25,3
46,0,0,0,0,100,6969,0,0,6959,6964,0,,5998,2024-09-25 00:46:25,11
47,0,0,0,0,100,6969,0,0,6959,6964,0,,5998,2024-09-25 00:47:26,8
48,0,0,0,0,100,6974,0,0,6962,6968,0,,6002,2024-09-25 00:48:26,6
49,0,0,0,0,100,6974,0,0,6961,6967,0,,6002,2024-09-25 00:49:26,8
50,0,0,0,0,100,6975,0,0,6963,6969,0,,6002,2024-09-25 00:50:26,9
51,0,0,0,0,100,6972,0,0,6959,6965,0,,6001,2024-09-25 00:51:26,15
52,0,0,0,0,100,6974,0,0,6961,6967,0,,6002,2024-09-25 00:52:26,13
53,0,0,0,0,100,6973,0,0,6961,6967,0,,6002,2024-09-25 00:53:26,14
54,0,0,0,0,100,6973,0,0,6961,6967,0,,6002,2024-09-25 00:54:26,13
55,0,0,0,0,100,6972,0,0,6961,6967,0,,6002,2024-09-25 00:55:27,8
56,0,0,0,0,100,6971,0,0,6960,6966,0,,6002,2024-09-25 00:56:27,7
57,0,0,0,0,100,6973,0,0,6960,6967,0,,6002,2024-09-25 00:57:26,12
58,0,0,0,0,100,6977,0,0,6965,6971,0,,6004,2024-09-25 00:58:26,11
59,0,0,0,0,100,6976,0,0,6964,6970,0,,6005,2024-09-25 01:00:26,6
60,0,0,0,0,100,6975,0,0,6964,6970,0,,6005,2024-09-25 01:01:28,11
61,0,0,0,0,100,6974,0,0,6963,6968,0,,6003,2024-09-25 01:02:28,8
62,0,0,0,0,100,6973,0,0,6963,6968,0,,6003,2024-09-25 01:03:28,3
63,0,0,0,0,100,6973,0,0,6962,6968,0,,6003,2024-09-25 01:04:28,13
64,0,0,0,0,100,6974,0,0,6964,6969,0,,6004,2024-09-25 01:05:27,13
65,0,0,0,0,100,6973,0,0,6962,6967,0,,6004,2024-09-25 01:06:27,9
66,0,0,0,0,100,6973,0,0,6962,6967,0,,6003,2024-09-25 01:07:27,4
67,0,0,0,0,100,6973,0,0,6963,6968,0,,6002,2024-09-25 01:08:27,12
68,0,0,0,0,100,6970,0,0,6961,6965,0,,6001,2024-09-25 01:09:28,5
69,0,0,0,0,100,6970,0,0,6960,6965,0,,6000,2024-09-25 01:10:27,5
