,Ajia-0_v,Ajia-2_v,Ajia-1_v,Ajia-4_v,Ajia-3_v,Ajia-5_v,csvTime
0,error,error,error,error,error,error,2024-05-17 00:00:50
1,error,error,error,error,error,error,2024-05-17 00:01:50
2,error,error,error,error,error,error,2024-05-17 00:02:50
3,error,error,error,error,error,error,2024-05-17 00:03:50
4,error,error,error,error,error,error,2024-05-17 00:04:50
5,error,error,error,error,error,error,2024-05-17 00:05:50
6,error,error,error,error,error,error,2024-05-17 00:06:50
7,error,error,error,error,error,error,2024-05-17 00:07:50
8,error,error,error,error,error,error,2024-05-17 00:08:50
9,error,error,error,error,error,error,2024-05-17 00:09:50
10,error,error,error,error,error,error,2024-05-17 00:10:50
11,error,error,error,error,error,error,2024-05-17 00:11:50
12,error,error,error,error,error,error,2024-05-17 00:12:50
13,error,error,error,error,error,error,2024-05-17 00:13:50
14,error,error,error,error,error,error,2024-05-17 00:14:50
15,error,error,error,error,error,error,2024-05-17 00:15:50
16,error,error,error,error,error,error,2024-05-17 00:16:50
17,error,error,error,error,error,error,2024-05-17 00:17:50
18,error,error,error,error,error,error,2024-05-17 00:18:50
19,error,error,error,error,error,error,2024-05-17 00:19:50
20,error,error,error,error,error,error,2024-05-17 00:20:50
21,error,error,error,error,error,error,2024-05-17 00:21:50
22,error,error,error,error,error,error,2024-05-17 00:22:50
23,error,error,error,error,error,error,2024-05-17 00:23:50
24,error,error,error,error,error,error,2024-05-17 00:24:50
25,error,error,error,error,error,error,2024-05-17 00:25:50
26,error,error,error,error,error,error,2024-05-17 00:26:50
27,error,error,error,error,error,error,2024-05-17 00:27:50
28,error,error,error,error,error,error,2024-05-17 00:28:50
29,error,error,error,error,error,error,2024-05-17 00:29:50
30,error,error,error,error,error,error,2024-05-17 00:30:50
31,error,error,error,error,error,error,2024-05-17 00:31:50
32,error,error,error,error,error,error,2024-05-17 00:32:50
33,error,error,error,error,error,error,2024-05-17 00:33:50
34,error,error,error,error,error,error,2024-05-17 00:34:50
35,error,error,error,error,error,error,2024-05-17 00:35:50
36,error,error,error,error,error,error,2024-05-17 00:36:50
37,error,error,error,error,error,error,2024-05-17 00:37:50
38,error,error,error,error,error,error,2024-05-17 00:38:50
39,error,error,error,error,error,error,2024-05-17 00:39:50
40,error,error,error,error,error,error,2024-05-17 00:40:50
41,error,error,error,error,error,error,2024-05-17 00:41:50
42,error,error,error,error,error,error,2024-05-17 00:42:50
43,error,error,error,error,error,error,2024-05-17 00:43:50
44,error,error,error,error,error,error,2024-05-17 00:44:50
45,error,error,error,error,error,error,2024-05-17 00:45:50
46,error,error,error,error,error,error,2024-05-17 00:46:50
47,error,error,error,error,error,error,2024-05-17 00:47:50
48,error,error,error,error,error,error,2024-05-17 00:48:50
49,error,error,error,error,error,error,2024-05-17 00:49:50
50,error,error,error,error,error,error,2024-05-17 00:50:50
51,error,error,error,error,error,error,2024-05-17 00:51:50
52,error,error,error,error,error,error,2024-05-17 00:52:50
53,error,error,error,error,error,error,2024-05-17 00:53:50
54,error,error,error,error,error,error,2024-05-17 00:54:50
55,error,error,error,error,error,error,2024-05-17 00:55:50
56,error,error,error,error,error,error,2024-05-17 00:56:50
57,error,error,error,error,error,error,2024-05-17 00:57:50
58,error,error,error,error,error,error,2024-05-17 00:58:50
59,error,error,error,error,error,error,2024-05-17 02:00:50
60,error,error,error,error,error,error,2024-05-17 02:01:50
61,error,error,error,error,error,error,2024-05-17 02:02:50
62,error,error,error,error,error,error,2024-05-17 02:03:50
63,error,error,error,error,error,error,2024-05-17 02:04:50
64,error,error,error,error,error,error,2024-05-17 02:05:50
65,error,error,error,error,error,error,2024-05-17 02:06:50
66,error,error,error,error,error,error,2024-05-17 02:07:50
67,error,error,error,error,error,error,2024-05-17 02:08:50
68,error,error,error,error,error,error,2024-05-17 02:09:50
69,error,error,error,error,error,error,2024-05-17 02:10:50
70,error,error,error,error,error,error,2024-05-17 02:11:50
71,error,error,error,error,error,error,2024-05-17 02:12:50
72,error,error,error,error,error,error,2024-05-17 02:13:50
73,error,error,error,error,error,error,2024-05-17 02:14:50
74,error,error,error,error,error,error,2024-05-17 02:15:50
75,error,error,error,error,error,error,2024-05-17 02:16:50
76,error,error,error,error,error,error,2024-05-17 02:17:50
77,error,error,error,error,error,error,2024-05-17 02:18:50
78,error,error,error,error,error,error,2024-05-17 02:19:50
79,error,error,error,error,error,error,2024-05-17 02:20:50
80,error,error,error,error,error,error,2024-05-17 02:21:50
81,error,error,error,error,error,error,2024-05-17 02:22:50
82,error,error,error,error,error,error,2024-05-17 02:23:50
83,error,error,error,error,error,error,2024-05-17 02:24:50
84,error,error,error,error,error,error,2024-05-17 02:25:50
85,error,error,error,error,error,error,2024-05-17 02:26:50
86,error,error,error,error,error,error,2024-05-17 02:27:50
87,error,error,error,error,error,error,2024-05-17 02:28:50
88,error,error,error,error,error,error,2024-05-17 02:29:50
89,error,error,error,error,error,error,2024-05-17 02:30:50
90,error,error,error,error,error,error,2024-05-17 02:31:50
91,error,error,error,error,error,error,2024-05-17 02:32:50
92,error,error,error,error,error,error,2024-05-17 02:33:50
93,error,error,error,error,error,error,2024-05-17 02:34:50
94,error,error,error,error,error,error,2024-05-17 02:35:50
95,error,error,error,error,error,error,2024-05-17 02:36:50
96,error,error,error,error,error,error,2024-05-17 02:37:50
97,error,error,error,error,error,error,2024-05-17 02:38:50
98,error,error,error,error,error,error,2024-05-17 02:39:50
99,error,error,error,error,error,error,2024-05-17 02:40:50
100,error,error,error,error,error,error,2024-05-17 02:41:50
101,error,error,error,error,error,error,2024-05-17 02:42:50
102,error,error,error,error,error,error,2024-05-17 02:43:50
103,error,error,error,error,error,error,2024-05-17 02:44:50
104,error,error,error,error,error,error,2024-05-17 02:45:50
105,error,error,error,error,error,error,2024-05-17 02:46:50
106,error,error,error,error,error,error,2024-05-17 02:47:50
107,error,error,error,error,error,error,2024-05-17 02:48:50
108,error,error,error,error,error,error,2024-05-17 02:49:50
109,error,error,error,error,error,error,2024-05-17 02:50:50
110,error,error,error,error,error,error,2024-05-17 02:51:50
111,error,error,error,error,error,error,2024-05-17 02:52:50
112,error,error,error,error,error,error,2024-05-17 02:53:50
113,error,error,error,error,error,error,2024-05-17 02:54:50
114,error,error,error,error,error,error,2024-05-17 02:55:50
115,error,error,error,error,error,error,2024-05-17 02:56:50
116,error,error,error,error,error,error,2024-05-17 02:57:50
117,error,error,error,error,error,error,2024-05-17 02:58:50
118,error,error,error,error,error,error,2024-05-17 03:00:50
119,error,error,error,error,error,error,2024-05-17 03:01:50
120,error,error,error,error,error,error,2024-05-17 03:02:50
121,error,error,error,error,error,error,2024-05-17 03:03:50
122,error,error,error,error,error,error,2024-05-17 03:04:50
123,error,error,error,error,error,error,2024-05-17 03:05:50
124,error,error,error,error,error,error,2024-05-17 03:06:50
125,error,error,error,error,error,error,2024-05-17 03:07:50
126,error,error,error,error,error,error,2024-05-17 03:08:50
127,error,error,error,error,error,error,2024-05-17 03:09:50
128,error,error,error,error,error,error,2024-05-17 03:10:50
129,error,error,error,error,error,error,2024-05-17 03:11:50
130,error,error,error,error,error,error,2024-05-17 03:12:50
131,error,error,error,error,error,error,2024-05-17 03:13:50
132,error,error,error,error,error,error,2024-05-17 03:14:50
133,error,error,error,error,error,error,2024-05-17 03:15:50
134,error,error,error,error,error,error,2024-05-17 03:16:50
135,error,error,error,error,error,error,2024-05-17 03:17:50
136,error,error,error,error,error,error,2024-05-17 03:18:50
137,error,error,error,error,error,error,2024-05-17 03:19:50
138,error,error,error,error,error,error,2024-05-17 03:20:50
139,error,error,error,error,error,error,2024-05-17 03:21:50
140,error,error,error,error,error,error,2024-05-17 03:22:50
141,error,error,error,error,error,error,2024-05-17 03:23:50
142,error,error,error,error,error,error,2024-05-17 03:24:50
143,error,error,error,error,error,error,2024-05-17 03:25:50
144,error,error,error,error,error,error,2024-05-17 03:26:50
145,error,error,error,error,error,error,2024-05-17 03:27:50
146,error,error,error,error,error,error,2024-05-17 03:28:50
147,error,error,error,error,error,error,2024-05-17 03:29:50
148,error,error,error,error,error,error,2024-05-17 03:30:50
149,error,error,error,error,error,error,2024-05-17 03:31:50
150,error,error,error,error,error,error,2024-05-17 03:32:50
151,error,error,error,error,error,error,2024-05-17 03:33:50
152,error,error,error,error,error,error,2024-05-17 03:34:50
153,error,error,error,error,error,error,2024-05-17 03:35:50
154,error,error,error,error,error,error,2024-05-17 03:36:50
155,error,error,error,error,error,error,2024-05-17 03:37:50
156,error,error,error,error,error,error,2024-05-17 03:38:50
157,error,error,error,error,error,error,2024-05-17 03:39:50
158,error,error,error,error,error,error,2024-05-17 03:40:50
159,error,error,error,error,error,error,2024-05-17 03:41:50
160,error,error,error,error,error,error,2024-05-17 03:42:50
161,error,error,error,error,error,error,2024-05-17 03:43:50
162,error,error,error,error,error,error,2024-05-17 03:44:50
163,error,error,error,error,error,error,2024-05-17 03:45:50
164,error,error,error,error,error,error,2024-05-17 03:46:50
165,error,error,error,error,error,error,2024-05-17 03:47:50
166,error,error,error,error,error,error,2024-05-17 03:48:50
167,error,error,error,error,error,error,2024-05-17 03:49:50
168,error,error,error,error,error,error,2024-05-17 03:50:50
169,error,error,error,error,error,error,2024-05-17 03:51:50
170,error,error,error,error,error,error,2024-05-17 03:52:50
171,error,error,error,error,error,error,2024-05-17 03:53:50
172,error,error,error,error,error,error,2024-05-17 03:54:50
173,error,error,error,error,error,error,2024-05-17 03:55:50
174,error,error,error,error,error,error,2024-05-17 03:56:50
175,error,error,error,error,error,error,2024-05-17 03:57:50
176,error,error,error,error,error,error,2024-05-17 03:58:50
177,error,error,error,error,error,error,2024-05-17 04:00:50
178,error,error,error,error,error,error,2024-05-17 04:01:50
179,error,error,error,error,error,error,2024-05-17 04:02:50
180,error,error,error,error,error,error,2024-05-17 04:03:50
181,error,error,error,error,error,error,2024-05-17 04:04:50
182,error,error,error,error,error,error,2024-05-17 04:05:50
183,error,error,error,error,error,error,2024-05-17 04:06:50
184,error,error,error,error,error,error,2024-05-17 04:07:50
185,error,error,error,error,error,error,2024-05-17 04:08:50
186,error,error,error,error,error,error,2024-05-17 04:09:50
187,error,error,error,error,error,error,2024-05-17 04:10:50
188,error,error,error,error,error,error,2024-05-17 04:11:50
189,error,error,error,error,error,error,2024-05-17 04:12:50
190,error,error,error,error,error,error,2024-05-17 04:13:50
191,error,error,error,error,error,error,2024-05-17 04:14:50
192,error,error,error,error,error,error,2024-05-17 04:15:50
193,error,error,error,error,error,error,2024-05-17 04:16:50
194,error,error,error,error,error,error,2024-05-17 04:17:50
195,error,error,error,error,error,error,2024-05-17 04:18:50
196,error,error,error,error,error,error,2024-05-17 04:19:50
197,error,error,error,error,error,error,2024-05-17 04:20:50
198,error,error,error,error,error,error,2024-05-17 04:21:50
199,error,error,error,error,error,error,2024-05-17 04:22:50
200,error,error,error,error,error,error,2024-05-17 04:23:50
201,error,error,error,error,error,error,2024-05-17 04:24:50
202,error,error,error,error,error,error,2024-05-17 04:25:50
203,error,error,error,error,error,error,2024-05-17 04:26:50
204,error,error,error,error,error,error,2024-05-17 04:27:50
205,error,error,error,error,error,error,2024-05-17 04:28:50
206,error,error,error,error,error,error,2024-05-17 04:29:50
207,error,error,error,error,error,error,2024-05-17 04:30:50
208,error,error,error,error,error,error,2024-05-17 04:31:50
209,error,error,error,error,error,error,2024-05-17 04:32:50
210,error,error,error,error,error,error,2024-05-17 04:33:50
211,error,error,error,error,error,error,2024-05-17 04:34:50
212,error,error,error,error,error,error,2024-05-17 04:35:50
213,error,error,error,error,error,error,2024-05-17 04:36:50
214,error,error,error,error,error,error,2024-05-17 04:37:50
215,error,error,error,error,error,error,2024-05-17 04:38:50
216,error,error,error,error,error,error,2024-05-17 04:39:50
217,error,error,error,error,error,error,2024-05-17 04:40:50
