,PLC_point0_value,PLC_point1_value,PLC_point7_value,PLC_point5_value,PLC_point8_value,PLC_point4_value,PLC_point3_value,PLC_point2_value,PLC_point6_value,csvTime
0,error,error,error,error,error,error,error,error,error,2024-05-17 00:00:53
1,error,error,error,error,error,error,error,error,error,2024-05-17 00:01:53
2,error,error,error,error,error,error,error,error,error,2024-05-17 00:02:54
3,error,error,error,error,error,error,error,error,error,2024-05-17 00:03:54
4,error,error,error,error,error,error,error,error,error,2024-05-17 00:04:54
5,error,error,error,error,error,error,error,error,error,2024-05-17 00:05:53
6,error,error,error,error,error,error,error,error,error,2024-05-17 00:06:53
7,error,error,error,error,error,error,error,error,error,2024-05-17 00:07:54
8,error,error,error,error,error,error,error,error,error,2024-05-17 00:08:53
9,error,error,error,error,error,error,error,error,error,2024-05-17 00:09:53
10,error,error,error,error,error,error,error,error,error,2024-05-17 00:10:54
11,error,error,error,error,error,error,error,error,error,2024-05-17 00:11:53
12,error,error,error,error,error,error,error,error,error,2024-05-17 00:12:53
13,error,error,error,error,error,error,error,error,error,2024-05-17 00:13:53
14,error,error,error,error,error,error,error,error,error,2024-05-17 00:14:53
15,error,error,error,error,error,error,error,error,error,2024-05-17 00:15:53
16,error,error,error,error,error,error,error,error,error,2024-05-17 00:16:53
17,error,error,error,error,error,error,error,error,error,2024-05-17 00:17:53
18,error,error,error,error,error,error,error,error,error,2024-05-17 00:18:53
19,error,error,error,error,error,error,error,error,error,2024-05-17 00:19:53
20,error,error,error,error,error,error,error,error,error,2024-05-17 00:20:53
21,error,error,error,error,error,error,error,error,error,2024-05-17 00:21:53
22,error,error,error,error,error,error,error,error,error,2024-05-17 00:22:53
23,error,error,error,error,error,error,error,error,error,2024-05-17 00:23:53
24,error,error,error,error,error,error,error,error,error,2024-05-17 00:24:53
25,error,error,error,error,error,error,error,error,error,2024-05-17 00:25:53
26,error,error,error,error,error,error,error,error,error,2024-05-17 00:26:53
27,error,error,error,error,error,error,error,error,error,2024-05-17 00:27:53
28,error,error,error,error,error,error,error,error,error,2024-05-17 00:28:54
29,error,error,error,error,error,error,error,error,error,2024-05-17 00:29:53
30,error,error,error,error,error,error,error,error,error,2024-05-17 00:30:53
31,error,error,error,error,error,error,error,error,error,2024-05-17 00:31:53
32,error,error,error,error,error,error,error,error,error,2024-05-17 00:32:54
33,error,error,error,error,error,error,error,error,error,2024-05-17 00:33:53
34,error,error,error,error,error,error,error,error,error,2024-05-17 00:34:53
35,error,error,error,error,error,error,error,error,error,2024-05-17 00:35:54
36,error,error,error,error,error,error,error,error,error,2024-05-17 00:36:53
37,error,error,error,error,error,error,error,error,error,2024-05-17 00:37:53
38,error,error,error,error,error,error,error,error,error,2024-05-17 00:38:53
39,error,error,error,error,error,error,error,error,error,2024-05-17 00:39:53
40,error,error,error,error,error,error,error,error,error,2024-05-17 00:40:53
41,error,error,error,error,error,error,error,error,error,2024-05-17 00:41:53
42,error,error,error,error,error,error,error,error,error,2024-05-17 00:42:54
43,error,error,error,error,error,error,error,error,error,2024-05-17 00:43:53
44,error,error,error,error,error,error,error,error,error,2024-05-17 00:44:53
45,error,error,error,error,error,error,error,error,error,2024-05-17 00:45:53
46,error,error,error,error,error,error,error,error,error,2024-05-17 00:46:54
47,error,error,error,error,error,error,error,error,error,2024-05-17 00:47:54
48,error,error,error,error,error,error,error,error,error,2024-05-17 00:48:53
49,error,error,error,error,error,error,error,error,error,2024-05-17 00:49:53
50,error,error,error,error,error,error,error,error,error,2024-05-17 00:50:53
51,error,error,error,error,error,error,error,error,error,2024-05-17 00:51:53
52,error,error,error,error,error,error,error,error,error,2024-05-17 00:52:53
53,error,error,error,error,error,error,error,error,error,2024-05-17 00:53:53
54,error,error,error,error,error,error,error,error,error,2024-05-17 00:54:53
55,error,error,error,error,error,error,error,error,error,2024-05-17 00:55:53
56,error,error,error,error,error,error,error,error,error,2024-05-17 00:56:53
57,error,error,error,error,error,error,error,error,error,2024-05-17 00:57:53
58,error,error,error,error,error,error,error,error,error,2024-05-17 00:58:53
59,error,error,error,error,error,error,error,error,error,2024-05-17 02:00:53
60,error,error,error,error,error,error,error,error,error,2024-05-17 02:01:53
61,error,error,error,error,error,error,error,error,error,2024-05-17 02:02:53
62,error,error,error,error,error,error,error,error,error,2024-05-17 02:03:53
63,error,error,error,error,error,error,error,error,error,2024-05-17 02:04:53
64,error,error,error,error,error,error,error,error,error,2024-05-17 02:05:53
65,error,error,error,error,error,error,error,error,error,2024-05-17 02:06:53
66,error,error,error,error,error,error,error,error,error,2024-05-17 02:07:53
67,error,error,error,error,error,error,error,error,error,2024-05-17 02:08:53
68,error,error,error,error,error,error,error,error,error,2024-05-17 02:09:54
69,error,error,error,error,error,error,error,error,error,2024-05-17 02:10:53
70,error,error,error,error,error,error,error,error,error,2024-05-17 02:11:53
71,error,error,error,error,error,error,error,error,error,2024-05-17 02:12:53
72,error,error,error,error,error,error,error,error,error,2024-05-17 02:13:53
73,error,error,error,error,error,error,error,error,error,2024-05-17 02:14:53
74,error,error,error,error,error,error,error,error,error,2024-05-17 02:15:53
75,error,error,error,error,error,error,error,error,error,2024-05-17 02:16:54
76,error,error,error,error,error,error,error,error,error,2024-05-17 02:17:54
77,error,error,error,error,error,error,error,error,error,2024-05-17 02:18:53
78,error,error,error,error,error,error,error,error,error,2024-05-17 02:19:53
79,error,error,error,error,error,error,error,error,error,2024-05-17 02:20:53
80,error,error,error,error,error,error,error,error,error,2024-05-17 02:21:53
81,error,error,error,error,error,error,error,error,error,2024-05-17 02:22:53
82,error,error,error,error,error,error,error,error,error,2024-05-17 02:23:53
83,error,error,error,error,error,error,error,error,error,2024-05-17 02:24:53
84,error,error,error,error,error,error,error,error,error,2024-05-17 02:25:53
85,error,error,error,error,error,error,error,error,error,2024-05-17 02:26:53
86,error,error,error,error,error,error,error,error,error,2024-05-17 02:27:53
87,error,error,error,error,error,error,error,error,error,2024-05-17 02:28:53
88,error,error,error,error,error,error,error,error,error,2024-05-17 02:29:53
89,error,error,error,error,error,error,error,error,error,2024-05-17 02:30:53
90,error,error,error,error,error,error,error,error,error,2024-05-17 02:31:53
91,error,error,error,error,error,error,error,error,error,2024-05-17 02:32:53
92,error,error,error,error,error,error,error,error,error,2024-05-17 02:33:53
93,error,error,error,error,error,error,error,error,error,2024-05-17 02:34:53
94,error,error,error,error,error,error,error,error,error,2024-05-17 02:35:53
95,error,error,error,error,error,error,error,error,error,2024-05-17 02:36:53
96,error,error,error,error,error,error,error,error,error,2024-05-17 02:37:53
97,error,error,error,error,error,error,error,error,error,2024-05-17 02:38:53
98,error,error,error,error,error,error,error,error,error,2024-05-17 02:39:53
99,error,error,error,error,error,error,error,error,error,2024-05-17 02:40:53
100,error,error,error,error,error,error,error,error,error,2024-05-17 02:41:53
101,error,error,error,error,error,error,error,error,error,2024-05-17 02:42:53
102,error,error,error,error,error,error,error,error,error,2024-05-17 02:43:53
103,error,error,error,error,error,error,error,error,error,2024-05-17 02:44:53
104,error,error,error,error,error,error,error,error,error,2024-05-17 02:45:53
105,error,error,error,error,error,error,error,error,error,2024-05-17 02:46:53
106,error,error,error,error,error,error,error,error,error,2024-05-17 02:47:53
107,error,error,error,error,error,error,error,error,error,2024-05-17 02:48:53
108,error,error,error,error,error,error,error,error,error,2024-05-17 02:49:53
109,error,error,error,error,error,error,error,error,error,2024-05-17 02:50:53
110,error,error,error,error,error,error,error,error,error,2024-05-17 02:51:53
111,error,error,error,error,error,error,error,error,error,2024-05-17 02:52:53
112,error,error,error,error,error,error,error,error,error,2024-05-17 02:53:53
113,error,error,error,error,error,error,error,error,error,2024-05-17 02:54:53
114,error,error,error,error,error,error,error,error,error,2024-05-17 02:55:53
115,error,error,error,error,error,error,error,error,error,2024-05-17 02:56:53
116,error,error,error,error,error,error,error,error,error,2024-05-17 02:57:53
117,error,error,error,error,error,error,error,error,error,2024-05-17 02:58:53
118,error,error,error,error,error,error,error,error,error,2024-05-17 03:00:53
119,error,error,error,error,error,error,error,error,error,2024-05-17 03:01:53
120,error,error,error,error,error,error,error,error,error,2024-05-17 03:02:53
121,error,error,error,error,error,error,error,error,error,2024-05-17 03:03:53
122,error,error,error,error,error,error,error,error,error,2024-05-17 03:04:53
123,error,error,error,error,error,error,error,error,error,2024-05-17 03:05:53
124,error,error,error,error,error,error,error,error,error,2024-05-17 03:06:53
125,error,error,error,error,error,error,error,error,error,2024-05-17 03:07:53
126,error,error,error,error,error,error,error,error,error,2024-05-17 03:08:53
127,error,error,error,error,error,error,error,error,error,2024-05-17 03:09:53
128,error,error,error,error,error,error,error,error,error,2024-05-17 03:10:53
129,error,error,error,error,error,error,error,error,error,2024-05-17 03:11:53
130,error,error,error,error,error,error,error,error,error,2024-05-17 03:12:53
131,error,error,error,error,error,error,error,error,error,2024-05-17 03:13:53
132,error,error,error,error,error,error,error,error,error,2024-05-17 03:14:53
133,error,error,error,error,error,error,error,error,error,2024-05-17 03:15:53
134,error,error,error,error,error,error,error,error,error,2024-05-17 03:16:53
135,error,error,error,error,error,error,error,error,error,2024-05-17 03:17:53
136,error,error,error,error,error,error,error,error,error,2024-05-17 03:18:53
137,error,error,error,error,error,error,error,error,error,2024-05-17 03:19:53
138,error,error,error,error,error,error,error,error,error,2024-05-17 03:20:53
139,error,error,error,error,error,error,error,error,error,2024-05-17 03:21:53
140,error,error,error,error,error,error,error,error,error,2024-05-17 03:22:53
141,error,error,error,error,error,error,error,error,error,2024-05-17 03:23:53
142,error,error,error,error,error,error,error,error,error,2024-05-17 03:24:53
143,error,error,error,error,error,error,error,error,error,2024-05-17 03:25:53
144,error,error,error,error,error,error,error,error,error,2024-05-17 03:26:53
145,error,error,error,error,error,error,error,error,error,2024-05-17 03:27:53
146,error,error,error,error,error,error,error,error,error,2024-05-17 03:28:53
147,error,error,error,error,error,error,error,error,error,2024-05-17 03:29:53
148,error,error,error,error,error,error,error,error,error,2024-05-17 03:30:53
149,error,error,error,error,error,error,error,error,error,2024-05-17 03:31:53
150,error,error,error,error,error,error,error,error,error,2024-05-17 03:32:53
151,error,error,error,error,error,error,error,error,error,2024-05-17 03:33:53
152,error,error,error,error,error,error,error,error,error,2024-05-17 03:34:53
153,error,error,error,error,error,error,error,error,error,2024-05-17 03:35:53
154,error,error,error,error,error,error,error,error,error,2024-05-17 03:36:53
155,error,error,error,error,error,error,error,error,error,2024-05-17 03:37:53
156,error,error,error,error,error,error,error,error,error,2024-05-17 03:38:53
157,error,error,error,error,error,error,error,error,error,2024-05-17 03:39:53
158,error,error,error,error,error,error,error,error,error,2024-05-17 03:40:53
159,error,error,error,error,error,error,error,error,error,2024-05-17 03:41:53
160,error,error,error,error,error,error,error,error,error,2024-05-17 03:42:53
161,error,error,error,error,error,error,error,error,error,2024-05-17 03:43:53
162,error,error,error,error,error,error,error,error,error,2024-05-17 03:44:53
163,error,error,error,error,error,error,error,error,error,2024-05-17 03:45:53
164,error,error,error,error,error,error,error,error,error,2024-05-17 03:46:53
165,error,error,error,error,error,error,error,error,error,2024-05-17 03:47:53
166,error,error,error,error,error,error,error,error,error,2024-05-17 03:48:53
167,error,error,error,error,error,error,error,error,error,2024-05-17 03:49:53
168,error,error,error,error,error,error,error,error,error,2024-05-17 03:50:53
169,error,error,error,error,error,error,error,error,error,2024-05-17 03:51:53
170,error,error,error,error,error,error,error,error,error,2024-05-17 03:52:53
171,error,error,error,error,error,error,error,error,error,2024-05-17 03:53:53
172,error,error,error,error,error,error,error,error,error,2024-05-17 03:54:53
173,error,error,error,error,error,error,error,error,error,2024-05-17 03:55:53
174,error,error,error,error,error,error,error,error,error,2024-05-17 03:56:53
175,error,error,error,error,error,error,error,error,error,2024-05-17 03:57:53
176,error,error,error,error,error,error,error,error,error,2024-05-17 03:58:53
177,error,error,error,error,error,error,error,error,error,2024-05-17 04:00:53
178,error,error,error,error,error,error,error,error,error,2024-05-17 04:01:53
179,error,error,error,error,error,error,error,error,error,2024-05-17 04:02:53
180,error,error,error,error,error,error,error,error,error,2024-05-17 04:03:53
181,error,error,error,error,error,error,error,error,error,2024-05-17 04:04:53
182,error,error,error,error,error,error,error,error,error,2024-05-17 04:05:53
183,error,error,error,error,error,error,error,error,error,2024-05-17 04:06:53
184,error,error,error,error,error,error,error,error,error,2024-05-17 04:07:53
185,error,error,error,error,error,error,error,error,error,2024-05-17 04:08:53
186,error,error,error,error,error,error,error,error,error,2024-05-17 04:09:53
187,error,error,error,error,error,error,error,error,error,2024-05-17 04:10:53
188,error,error,error,error,error,error,error,error,error,2024-05-17 04:11:53
189,error,error,error,error,error,error,error,error,error,2024-05-17 04:12:53
190,error,error,error,error,error,error,error,error,error,2024-05-17 04:13:53
191,error,error,error,error,error,error,error,error,error,2024-05-17 04:14:53
192,error,error,error,error,error,error,error,error,error,2024-05-17 04:15:53
193,error,error,error,error,error,error,error,error,error,2024-05-17 04:16:53
194,error,error,error,error,error,error,error,error,error,2024-05-17 04:17:53
195,error,error,error,error,error,error,error,error,error,2024-05-17 04:18:53
196,error,error,error,error,error,error,error,error,error,2024-05-17 04:19:53
197,error,error,error,error,error,error,error,error,error,2024-05-17 04:20:53
198,error,error,error,error,error,error,error,error,error,2024-05-17 04:21:53
199,error,error,error,error,error,error,error,error,error,2024-05-17 04:22:53
200,error,error,error,error,error,error,error,error,error,2024-05-17 04:23:53
201,error,error,error,error,error,error,error,error,error,2024-05-17 04:24:53
202,error,error,error,error,error,error,error,error,error,2024-05-17 04:25:53
203,error,error,error,error,error,error,error,error,error,2024-05-17 04:26:53
204,error,error,error,error,error,error,error,error,error,2024-05-17 04:27:53
205,error,error,error,error,error,error,error,error,error,2024-05-17 04:28:53
206,error,error,error,error,error,error,error,error,error,2024-05-17 04:29:53
207,error,error,error,error,error,error,error,error,error,2024-05-17 04:30:53
208,error,error,error,error,error,error,error,error,error,2024-05-17 04:31:53
209,error,error,error,error,error,error,error,error,error,2024-05-17 04:32:53
210,error,error,error,error,error,error,error,error,error,2024-05-17 04:33:53
211,error,error,error,error,error,error,error,error,error,2024-05-17 04:34:53
212,error,error,error,error,error,error,error,error,error,2024-05-17 04:35:53
213,error,error,error,error,error,error,error,error,error,2024-05-17 04:36:53
214,error,error,error,error,error,error,error,error,error,2024-05-17 04:37:53
215,error,error,error,error,error,error,error,error,error,2024-05-17 04:38:53
216,error,error,error,error,error,error,error,error,error,2024-05-17 04:39:53
217,error,error,error,error,error,error,error,error,error,2024-05-17 04:40:53
218,error,error,error,error,error,error,error,error,error,2024-05-17 04:41:53
219,error,error,error,error,error,error,error,error,error,2024-05-17 04:42:53
220,error,error,error,error,error,error,error,error,error,2024-05-17 04:43:53
221,error,error,error,error,error,error,error,error,error,2024-05-17 04:44:53
222,error,error,error,error,error,error,error,error,error,2024-05-17 04:45:53
223,error,error,error,error,error,error,error,error,error,2024-05-17 04:46:53
224,error,error,error,error,error,error,error,error,error,2024-05-17 04:47:53
225,error,error,error,error,error,error,error,error,error,2024-05-17 04:48:53
226,error,error,error,error,error,error,error,error,error,2024-05-17 04:49:53
227,error,error,error,error,error,error,error,error,error,2024-05-17 04:50:53
228,error,error,error,error,error,error,error,error,error,2024-05-17 04:51:53
229,error,error,error,error,error,error,error,error,error,2024-05-17 04:52:53
230,error,error,error,error,error,error,error,error,error,2024-05-17 04:53:53
231,error,error,error,error,error,error,error,error,error,2024-05-17 04:54:53
232,error,error,error,error,error,error,error,error,error,2024-05-17 04:55:53
233,error,error,error,error,error,error,error,error,error,2024-05-17 04:56:53
234,error,error,error,error,error,error,error,error,error,2024-05-17 04:57:53
235,error,error,error,error,error,error,error,error,error,2024-05-17 04:58:53
236,error,error,error,error,error,error,error,error,error,2024-05-17 05:00:53
237,error,error,error,error,error,error,error,error,error,2024-05-17 05:01:53
238,error,error,error,error,error,error,error,error,error,2024-05-17 05:02:53
239,error,error,error,error,error,error,error,error,error,2024-05-17 05:03:53
240,error,error,error,error,error,error,error,error,error,2024-05-17 05:04:53
241,error,error,error,error,error,error,error,error,error,2024-05-17 05:05:53
242,error,error,error,error,error,error,error,error,error,2024-05-17 05:06:53
243,error,error,error,error,error,error,error,error,error,2024-05-17 05:07:53
244,error,error,error,error,error,error,error,error,error,2024-05-17 05:08:53
245,error,error,error,error,error,error,error,error,error,2024-05-17 05:09:53
246,error,error,error,error,error,error,error,error,error,2024-05-17 05:10:53
247,error,error,error,error,error,error,error,error,error,2024-05-17 05:11:53
248,error,error,error,error,error,error,error,error,error,2024-05-17 05:12:53
249,error,error,error,error,error,error,error,error,error,2024-05-17 05:13:53
250,error,error,error,error,error,error,error,error,error,2024-05-17 05:14:53
251,error,error,error,error,error,error,error,error,error,2024-05-17 05:15:53
252,error,error,error,error,error,error,error,error,error,2024-05-17 05:16:53
253,error,error,error,error,error,error,error,error,error,2024-05-17 05:17:53
254,error,error,error,error,error,error,error,error,error,2024-05-17 05:18:53
255,error,error,error,error,error,error,error,error,error,2024-05-17 05:19:53
256,error,error,error,error,error,error,error,error,error,2024-05-17 05:20:53
257,error,error,error,error,error,error,error,error,error,2024-05-17 05:21:53
258,error,error,error,error,error,error,error,error,error,2024-05-17 05:22:53
259,error,error,error,error,error,error,error,error,error,2024-05-17 05:23:53
260,error,error,error,error,error,error,error,error,error,2024-05-17 05:24:53
261,error,error,error,error,error,error,error,error,error,2024-05-17 05:25:53
262,error,error,error,error,error,error,error,error,error,2024-05-17 05:26:53
263,error,error,error,error,error,error,error,error,error,2024-05-17 05:27:53
