,csvTime,P3_33,P3_18,P3_17,P3_16
0,2024-05-17 00:00:20,0,0,0,0
1,2024-05-17 00:01:20,0,0,0,0
2,2024-05-17 00:02:20,0,0,0,0
3,2024-05-17 00:03:20,0,0,0,0
4,2024-05-17 00:04:20,0,0,0,0
5,2024-05-17 00:05:20,0,0,0,0
6,2024-05-17 00:06:20,0,0,0,0
7,2024-05-17 00:07:20,0,0,0,0
8,2024-05-17 00:08:20,0,0,0,0
9,2024-05-17 00:09:20,0,0,0,0
10,2024-05-17 00:10:20,0,0,0,0
11,2024-05-17 00:11:20,0,0,0,0
12,2024-05-17 00:12:20,0,0,0,0
13,2024-05-17 00:13:20,0,0,0,0
14,2024-05-17 00:14:20,0,0,0,0
15,2024-05-17 00:15:20,0,0,0,0
16,2024-05-17 00:16:20,0,0,0,0
17,2024-05-17 00:17:20,0,0,0,0
18,2024-05-17 00:18:20,0,0,0,0
19,2024-05-17 00:19:20,0,0,0,0
20,2024-05-17 00:20:20,0,0,0,0
21,2024-05-17 00:21:20,0,0,0,0
22,2024-05-17 00:22:20,0,0,0,0
23,2024-05-17 00:23:20,0,0,0,0
24,2024-05-17 00:24:20,0,0,0,0
25,2024-05-17 00:25:20,0,0,0,0
26,2024-05-17 00:26:20,0,0,0,0
27,2024-05-17 00:27:20,0,0,0,0
28,2024-05-17 00:28:20,0,0,0,0
29,2024-05-17 00:29:20,0,0,0,0
30,2024-05-17 00:30:20,0,0,0,0
31,2024-05-17 00:31:20,0,0,0,0
32,2024-05-17 00:32:20,0,0,0,0
33,2024-05-17 00:33:20,0,0,0,0
34,2024-05-17 00:34:20,0,0,0,0
35,2024-05-17 00:35:20,0,0,0,0
36,2024-05-17 00:36:20,0,0,0,0
37,2024-05-17 00:37:20,0,0,0,0
38,2024-05-17 00:38:20,0,0,0,0
39,2024-05-17 00:39:20,0,0,0,0
40,2024-05-17 00:40:20,0,0,0,0
41,2024-05-17 00:41:20,0,0,0,0
42,2024-05-17 00:42:20,0,0,0,0
43,2024-05-17 00:43:20,0,0,0,0
44,2024-05-17 00:44:20,0,0,0,0
45,2024-05-17 00:45:20,0,0,0,0
46,2024-05-17 00:46:20,0,0,0,0
47,2024-05-17 00:47:20,0,0,0,0
48,2024-05-17 00:48:20,0,0,0,0
49,2024-05-17 00:49:20,0,0,0,0
50,2024-05-17 00:50:20,0,0,0,0
