,csvTime,P4_15,P4_16
0,2024-05-17 00:00:46,1065,23
1,2024-05-17 00:01:47,1057,17
2,2024-05-17 00:02:47,1049,17
3,2024-05-17 00:03:46,1059,13
4,2024-05-17 00:04:47,1047,21
5,2024-05-17 00:05:46,1053,25
6,2024-05-17 00:06:47,1040,23
7,2024-05-17 00:07:46,1041,13
8,2024-05-17 00:08:47,1044,19
9,2024-05-17 00:09:46,1037,15
10,2024-05-17 00:10:46,1052,23
11,2024-05-17 00:11:47,1041,19
12,2024-05-17 00:12:47,1035,21
13,2024-05-17 00:13:46,1034,17
14,2024-05-17 00:14:46,1027,16
15,2024-05-17 00:15:46,1049,16
16,2024-05-17 00:16:47,1035,16
17,2024-05-17 00:17:47,1033,15
18,2024-05-17 00:18:46,1027,9
19,2024-05-17 00:19:47,1011,6
20,2024-05-17 00:20:46,1012,11
21,2024-05-17 00:21:46,1015,15
22,2024-05-17 00:22:46,1017,17
23,2024-05-17 00:23:46,1009,14
24,2024-05-17 00:24:46,1014,19
25,2024-05-17 00:25:46,1011,9
26,2024-05-17 00:26:46,1017,9
27,2024-05-17 00:27:46,1011,15
28,2024-05-17 00:28:46,1024,15
29,2024-05-17 00:29:46,1019,19
30,2024-05-17 00:30:46,1043,13
31,2024-05-17 00:31:47,1054,13
32,2024-05-17 00:32:46,1042,11
33,2024-05-17 00:33:46,1055,20
34,2024-05-17 00:34:46,1059,19
35,2024-05-17 00:35:47,1060,19
36,2024-05-17 00:36:46,1054,25
37,2024-05-17 00:37:46,1056,26
38,2024-05-17 00:38:46,1060,25
39,2024-05-17 00:39:46,1037,24
40,2024-05-17 00:40:46,1043,26
41,2024-05-17 00:41:46,1044,19
42,2024-05-17 00:42:46,1040,19
43,2024-05-17 00:43:46,1041,24
44,2024-05-17 00:44:46,1038,25
45,2024-05-17 00:45:46,1028,17
46,2024-05-17 00:46:46,1040,31
47,2024-05-17 00:47:46,1042,25
48,2024-05-17 00:48:47,1031,19
49,2024-05-17 00:49:46,1038,19
50,2024-05-17 00:50:46,1038,19
51,2024-05-17 00:51:47,1035,15
52,2024-05-17 00:52:46,1047,19
53,2024-05-17 00:53:46,1035,17
54,2024-05-17 00:54:46,1031,13
55,2024-05-17 00:55:46,1030,17
56,2024-05-17 00:56:46,1036,17
57,2024-05-17 00:57:46,1034,15
58,2024-05-17 00:58:47,1037,25
59,2024-05-17 02:00:46,1032,10
60,2024-05-17 02:01:46,1047,15
61,2024-05-17 02:02:46,1045,10
62,2024-05-17 02:03:46,1035,13
63,2024-05-17 02:04:46,1030,11
64,2024-05-17 02:05:46,1029,9
65,2024-05-17 02:06:46,1019,3
66,2024-05-17 02:07:47,1027,11
67,2024-05-17 02:08:46,1021,5
68,2024-05-17 02:09:47,1023,9
69,2024-05-17 02:10:46,1027,9
70,2024-05-17 02:11:46,1030,15
71,2024-05-17 02:12:46,1024,13
72,2024-05-17 02:13:46,1035,19
73,2024-05-17 02:14:46,1039,20
74,2024-05-17 02:15:46,1047,25
75,2024-05-17 02:16:46,1046,6
76,2024-05-17 02:17:46,1051,7
77,2024-05-17 02:18:46,1041,3
78,2024-05-17 02:19:46,1048,7
79,2024-05-17 02:20:46,1054,14
80,2024-05-17 02:21:46,1049,11
81,2024-05-17 02:22:46,1049,13
82,2024-05-17 02:23:47,1043,13
83,2024-05-17 02:24:46,1043,15
84,2024-05-17 02:25:46,1036,19
85,2024-05-17 02:26:46,1042,20
86,2024-05-17 02:27:46,1035,13
87,2024-05-17 02:28:47,1033,11
88,2024-05-17 02:29:46,1042,21
89,2024-05-17 02:30:47,1028,13
90,2024-05-17 02:31:46,1033,19
91,2024-05-17 02:32:46,1044,7
92,2024-05-17 02:33:46,1049,15
93,2024-05-17 02:34:47,1045,5
94,2024-05-17 02:35:46,1040,11
95,2024-05-17 02:36:46,1043,12
96,2024-05-17 02:37:46,1046,11
97,2024-05-17 02:38:46,1033,11
98,2024-05-17 02:39:46,1035,1
99,2024-05-17 02:40:47,1032,13
100,2024-05-17 02:41:46,1030,10
101,2024-05-17 02:42:46,1030,9
102,2024-05-17 02:43:46,1028,9
103,2024-05-17 02:44:46,1024,7
104,2024-05-17 02:45:46,1028,9
105,2024-05-17 02:46:46,1027,10
106,2024-05-17 02:47:46,1026,9
107,2024-05-17 02:48:46,1030,7
108,2024-05-17 02:49:47,1030,11
109,2024-05-17 02:50:47,1033,7
110,2024-05-17 02:51:46,1028,5
111,2024-05-17 02:52:46,1046,13
112,2024-05-17 02:53:46,1042,15
113,2024-05-17 02:54:46,1039,13
114,2024-05-17 02:55:46,1040,9
115,2024-05-17 02:56:46,1043,13
116,2024-05-17 02:57:46,1041,15
117,2024-05-17 02:58:46,1039,7
118,2024-05-17 03:00:46,1047,9
119,2024-05-17 03:01:46,1028,15
120,2024-05-17 03:02:46,1035,16
121,2024-05-17 03:03:46,1043,13
122,2024-05-17 03:04:46,1029,11
123,2024-05-17 03:05:46,1027,14
124,2024-05-17 03:06:46,1026,13
125,2024-05-17 03:07:46,1032,13
126,2024-05-17 03:08:46,1027,8
127,2024-05-17 03:09:46,1036,17
128,2024-05-17 03:10:46,1041,19
129,2024-05-17 03:11:46,1037,13
130,2024-05-17 03:12:46,1034,13
131,2024-05-17 03:13:46,1038,13
132,2024-05-17 03:14:46,1041,17
133,2024-05-17 03:15:46,1041,13
134,2024-05-17 03:16:46,1045,17
135,2024-05-17 03:17:47,1040,13
136,2024-05-17 03:18:46,1039,9
137,2024-05-17 03:19:46,1040,9
138,2024-05-17 03:20:46,1039,13
139,2024-05-17 03:21:46,1032,13
140,2024-05-17 03:22:46,1038,7
141,2024-05-17 03:23:46,1033,6
142,2024-05-17 03:24:46,1045,11
143,2024-05-17 03:25:46,1035,10
144,2024-05-17 03:26:47,1041,17
145,2024-05-17 03:27:46,1045,6
146,2024-05-17 03:28:46,1046,17
147,2024-05-17 03:29:46,1057,7
148,2024-05-17 03:30:46,1052,14
149,2024-05-17 03:31:46,1053,11
150,2024-05-17 03:32:46,1055,13
151,2024-05-17 03:33:46,1055,18
152,2024-05-17 03:34:47,1047,17
153,2024-05-17 03:35:46,1058,16
154,2024-05-17 03:36:46,1046,7
155,2024-05-17 03:37:46,1050,3
156,2024-05-17 03:38:47,1044,9
157,2024-05-17 03:39:46,1045,9
158,2024-05-17 03:40:46,1036,9
159,2024-05-17 03:41:46,1034,9
160,2024-05-17 03:42:46,1036,11
161,2024-05-17 03:43:46,1037,5
162,2024-05-17 03:44:46,1038,11
163,2024-05-17 03:45:46,1038,3
164,2024-05-17 03:46:46,1034,9
165,2024-05-17 03:47:46,1033,11
166,2024-05-17 03:48:46,1032,13
167,2024-05-17 03:49:46,1036,12
168,2024-05-17 03:50:46,1043,13
169,2024-05-17 03:51:46,1038,6
170,2024-05-17 03:52:46,1040,13
171,2024-05-17 03:53:46,1038,13
172,2024-05-17 03:54:46,1044,15
173,2024-05-17 03:55:46,1042,8
174,2024-05-17 03:56:46,1041,5
175,2024-05-17 03:57:46,1039,13
176,2024-05-17 03:58:46,1037,5
177,2024-05-17 04:00:47,1043,11
178,2024-05-17 04:01:46,1037,9
179,2024-05-17 04:02:46,1063,9
180,2024-05-17 04:03:46,1073,11
181,2024-05-17 04:04:46,1078,13
182,2024-05-17 04:05:46,1082,13
183,2024-05-17 04:06:46,1069,7
