,csvTime,P4_15,P4_16
0,2024-09-25 00:00:38,0,0
1,2024-09-25 00:01:38,0,0
2,2024-09-25 00:02:38,0,0
3,2024-09-25 00:03:38,0,0
4,2024-09-25 00:04:38,0,0
5,2024-09-25 00:05:38,0,0
6,2024-09-25 00:06:38,0,0
7,2024-09-25 00:07:38,0,0
8,2024-09-25 00:08:38,0,0
9,2024-09-25 00:09:38,0,0
10,2024-09-25 00:10:38,0,0
11,2024-09-25 00:11:38,0,0
12,2024-09-25 00:12:38,0,0
13,2024-09-25 00:13:38,0,0
14,2024-09-25 00:14:38,0,0
15,2024-09-25 00:15:38,0,0
16,2024-09-25 00:16:38,0,0
17,2024-09-25 00:17:38,0,0
18,2024-09-25 00:18:38,0,0
19,2024-09-25 00:19:38,0,0
20,2024-09-25 00:20:38,0,0
21,2024-09-25 00:21:38,0,0
22,2024-09-25 00:22:38,0,0
23,2024-09-25 00:23:38,0,0
24,2024-09-25 00:24:38,0,0
25,2024-09-25 00:25:38,0,0
26,2024-09-25 00:26:38,0,0
27,2024-09-25 00:27:38,0,0
28,2024-09-25 00:28:38,0,0
29,2024-09-25 00:29:38,0,0
30,2024-09-25 00:30:38,0,0
31,2024-09-25 00:31:38,0,0
32,2024-09-25 00:32:38,0,0
33,2024-09-25 00:33:38,0,0
34,2024-09-25 00:34:38,0,0
35,2024-09-25 00:35:38,0,0
36,2024-09-25 00:36:38,0,0
37,2024-09-25 00:37:38,0,0
38,2024-09-25 00:38:38,0,0
39,2024-09-25 00:39:38,0,0
40,2024-09-25 00:40:38,0,0
41,2024-09-25 00:41:38,0,0
42,2024-09-25 00:42:38,0,0
43,2024-09-25 00:43:38,0,0
44,2024-09-25 00:44:38,0,0
45,2024-09-25 00:45:38,0,0
46,2024-09-25 00:46:38,0,0
47,2024-09-25 00:47:38,0,0
48,2024-09-25 00:48:38,0,0
49,2024-09-25 00:49:38,0,0
50,2024-09-25 00:50:38,0,0
51,2024-09-25 00:51:38,0,0
52,2024-09-25 00:52:38,0,0
53,2024-09-25 00:53:38,0,0
54,2024-09-25 00:54:38,0,0
55,2024-09-25 00:55:38,0,0
56,2024-09-25 00:56:38,0,0
57,2024-09-25 00:57:38,0,0
58,2024-09-25 00:58:38,0,0
59,2024-09-25 01:00:38,0,0
60,2024-09-25 01:01:38,0,0
61,2024-09-25 01:02:38,0,0
62,2024-09-25 01:03:38,0,0
63,2024-09-25 01:04:38,0,0
64,2024-09-25 01:05:38,0,0
