,csvTime,P4_23,P4_24,P4_25,P4_26
0,2024-09-25 00:00:36,-901,-901,0,0
1,2024-09-25 00:01:36,-901,-901,0,0
2,2024-09-25 00:02:36,-901,-903,0,0
3,2024-09-25 00:03:36,-901,-901,0,0
4,2024-09-25 00:04:36,-901,-901,0,0
5,2024-09-25 00:05:36,-901,-903,0,0
6,2024-09-25 00:06:36,-901,-901,0,0
7,2024-09-25 00:07:36,-901,-903,0,0
8,2024-09-25 00:08:36,-904,-901,0,0
9,2024-09-25 00:09:36,-901,-901,0,0
10,2024-09-25 00:10:36,-904,-901,0,0
11,2024-09-25 00:11:36,-901,-903,0,0
12,2024-09-25 00:12:36,-901,-903,0,0
13,2024-09-25 00:13:36,-901,-901,0,0
14,2024-09-25 00:14:36,-904,-901,0,0
15,2024-09-25 00:15:36,-901,-901,0,0
16,2024-09-25 00:16:36,-901,-901,0,0
17,2024-09-25 00:17:36,-901,-901,0,0
18,2024-09-25 00:18:36,-901,-901,0,0
19,2024-09-25 00:19:36,-901,-901,0,0
20,2024-09-25 00:20:36,-901,-901,0,0
21,2024-09-25 00:21:36,-901,-903,0,0
22,2024-09-25 00:22:36,-901,-901,0,0
23,2024-09-25 00:23:36,-904,-903,0,0
24,2024-09-25 00:24:36,-901,-901,0,0
25,2024-09-25 00:25:36,-904,-901,0,0
26,2024-09-25 00:26:36,-901,-903,0,0
27,2024-09-25 00:27:36,-901,-901,0,0
28,2024-09-25 00:28:36,-901,-903,0,0
29,2024-09-25 00:29:36,-901,-901,0,0
30,2024-09-25 00:30:36,-901,-901,0,0
31,2024-09-25 00:31:36,-901,-901,0,0
32,2024-09-25 00:32:36,-901,-901,0,0
33,2024-09-25 00:33:36,-901,-901,0,0
34,2024-09-25 00:34:36,-901,-901,0,0
35,2024-09-25 00:35:36,-901,-901,0,0
36,2024-09-25 00:36:36,-904,-901,0,0
37,2024-09-25 00:37:36,-901,-901,0,0
38,2024-09-25 00:38:36,-901,-903,0,0
39,2024-09-25 00:39:36,-901,-903,0,0
40,2024-09-25 00:40:36,-901,-903,0,0
41,2024-09-25 00:41:36,-901,-901,0,0
42,2024-09-25 00:42:36,-901,-903,0,0
43,2024-09-25 00:43:36,-904,-903,0,0
44,2024-09-25 00:44:36,-901,-901,0,0
45,2024-09-25 00:45:36,-901,-901,0,0
46,2024-09-25 00:46:36,-901,-901,0,0
47,2024-09-25 00:47:36,-901,-901,0,0
48,2024-09-25 00:48:36,-901,-903,0,0
49,2024-09-25 00:49:36,-901,-903,0,0
50,2024-09-25 00:50:36,-901,-901,0,0
51,2024-09-25 00:51:36,-901,-901,0,0
52,2024-09-25 00:52:36,-901,-901,0,0
53,2024-09-25 00:53:36,-904,-903,0,0
54,2024-09-25 00:54:36,-904,-901,0,0
55,2024-09-25 00:55:36,-901,-901,0,0
56,2024-09-25 00:56:36,-901,-901,0,0
57,2024-09-25 00:57:36,-901,-903,0,0
58,2024-09-25 00:58:36,-901,-901,0,0
59,2024-09-25 00:59:36,-901,-901,0,0
60,2024-09-25 01:00:36,-901,-901,0,0
61,2024-09-25 01:01:36,-901,-901,0,0
62,2024-09-25 01:02:36,-901,-901,0,0
63,2024-09-25 01:03:36,-901,-901,0,0
64,2024-09-25 01:04:36,-901,-901,0,0
65,2024-09-25 01:05:36,-901,-903,0,0
66,2024-09-25 01:06:36,-901,-901,0,0
67,2024-09-25 01:07:36,-901,-901,0,0
68,2024-09-25 01:08:36,-901,-901,0,0
69,2024-09-25 01:09:36,-901,-901,0,0
70,2024-09-25 01:10:36,-901,-903,0,0
71,2024-09-25 01:11:36,-901,-901,0,0
72,2024-09-25 01:12:36,-901,-901,0,0
73,2024-09-25 01:13:36,-901,-901,0,0
74,2024-09-25 01:14:36,-901,-901,0,0
75,2024-09-25 01:15:36,-901,-901,0,0
76,2024-09-25 01:16:36,-901,-901,0,0
77,2024-09-25 01:17:36,-901,-901,0,0
78,2024-09-25 01:18:36,-901,-901,0,0
79,2024-09-25 01:19:36,-901,-901,0,0
80,2024-09-25 01:20:36,-901,-903,0,0
81,2024-09-25 01:21:36,-901,-901,0,0
82,2024-09-25 01:22:36,-901,-901,0,0
83,2024-09-25 01:23:36,-901,-901,0,0
84,2024-09-25 01:24:36,-901,-901,0,0
85,2024-09-25 01:25:36,-901,-903,0,0
86,2024-09-25 01:26:36,-901,-901,0,0
87,2024-09-25 01:27:36,-901,-903,0,0
88,2024-09-25 01:28:36,-904,-901,0,0
89,2024-09-25 01:29:36,-901,-901,0,0
90,2024-09-25 01:30:36,-901,-901,0,0
91,2024-09-25 01:31:36,-901,-901,0,0
92,2024-09-25 01:32:36,-901,-901,0,0
93,2024-09-25 01:33:36,-904,-901,0,0
94,2024-09-25 01:34:36,-901,-903,0,0
95,2024-09-25 01:35:36,-901,-901,0,0
96,2024-09-25 01:36:36,-901,-901,0,0
97,2024-09-25 01:37:36,-904,-901,0,0
98,2024-09-25 01:38:36,-904,-901,0,0
99,2024-09-25 01:39:36,-901,-901,0,0
100,2024-09-25 01:40:36,-901,-901,0,0
101,2024-09-25 01:41:36,-901,-901,0,0
102,2024-09-25 01:42:36,-901,-901,0,0
103,2024-09-25 01:43:36,-901,-903,0,0
104,2024-09-25 01:44:36,-901,-901,0,0
105,2024-09-25 01:45:36,-901,-901,0,0
106,2024-09-25 01:46:36,-904,-901,0,0
107,2024-09-25 01:47:36,-901,-901,0,0
108,2024-09-25 01:48:36,-901,-901,0,0
109,2024-09-25 01:49:36,-901,-903,0,0
110,2024-09-25 01:50:36,-901,-901,0,0
111,2024-09-25 01:51:36,-901,-903,0,0
112,2024-09-25 01:52:36,-901,-901,0,0
113,2024-09-25 01:53:36,-901,-901,0,0
114,2024-09-25 01:54:36,-901,-901,0,0
115,2024-09-25 01:55:36,-901,-901,0,0
116,2024-09-25 01:56:36,-901,-903,0,0
117,2024-09-25 01:57:36,-901,-901,0,0
118,2024-09-25 01:58:36,-901,-901,0,0
119,2024-09-25 01:59:36,-901,-901,0,0
120,2024-09-25 02:00:36,-904,-901,0,0
121,2024-09-25 02:01:36,-901,-901,0,0
122,2024-09-25 02:02:36,-901,-901,0,0
123,2024-09-25 02:03:36,-901,-901,0,0
124,2024-09-25 02:04:36,-901,-901,0,0
125,2024-09-25 02:05:36,-904,-901,0,0
126,2024-09-25 02:06:36,-901,-901,0,0
127,2024-09-25 02:07:36,-901,-903,0,0
128,2024-09-25 02:08:36,-901,-901,0,0
129,2024-09-25 02:09:36,-901,-901,0,0
130,2024-09-25 02:10:36,-901,-901,0,0
131,2024-09-25 02:11:36,-901,-901,0,0
132,2024-09-25 02:12:36,-901,-901,0,0
133,2024-09-25 02:13:36,-901,-903,0,0
134,2024-09-25 02:14:36,-901,-901,0,0
135,2024-09-25 02:15:36,-901,-901,0,0
136,2024-09-25 02:16:36,-901,-903,0,0
137,2024-09-25 02:17:36,-901,-903,0,0
138,2024-09-25 02:18:36,-901,-901,0,0
139,2024-09-25 02:19:36,-901,-901,0,0
140,2024-09-25 02:20:36,-904,-901,0,0
141,2024-09-25 02:21:36,-901,-901,0,0
142,2024-09-25 02:22:36,-901,-901,0,0
143,2024-09-25 02:23:36,-904,-901,0,0
144,2024-09-25 02:24:36,-901,-903,0,0
145,2024-09-25 02:25:36,-901,-903,0,0
146,2024-09-25 02:26:36,-901,-901,0,0
147,2024-09-25 02:27:36,-904,-901,0,0
148,2024-09-25 02:28:36,-901,-901,0,0
149,2024-09-25 02:29:36,-901,-901,0,0
150,2024-09-25 02:30:36,-901,-901,0,0
151,2024-09-25 02:31:36,-901,-901,0,0
152,2024-09-25 02:32:36,-901,-901,0,0
153,2024-09-25 02:33:36,-901,-901,0,0
154,2024-09-25 02:34:36,-901,-901,0,0
155,2024-09-25 02:35:36,-901,-901,0,0
156,2024-09-25 02:36:36,-901,-901,0,0
157,2024-09-25 02:37:36,-901,-901,0,0
158,2024-09-25 02:38:36,-901,-901,0,0
159,2024-09-25 02:39:36,-901,-901,0,0
160,2024-09-25 02:40:36,-901,-901,0,0
161,2024-09-25 02:41:36,-901,-903,0,0
162,2024-09-25 02:42:36,-901,-901,0,0
163,2024-09-25 02:43:36,-904,-901,0,0
164,2024-09-25 02:44:36,-901,-901,0,0
165,2024-09-25 02:45:36,-901,-901,0,0
166,2024-09-25 02:46:36,-901,-901,0,0
167,2024-09-25 02:47:36,-901,-903,0,0
168,2024-09-25 02:48:36,-901,-901,0,0
169,2024-09-25 02:49:36,-901,-901,0,0
170,2024-09-25 02:50:36,-901,-901,0,0
171,2024-09-25 02:51:36,-901,-903,0,0
172,2024-09-25 02:52:36,-901,-901,0,0
173,2024-09-25 02:53:36,-901,-901,0,0
174,2024-09-25 02:54:36,-901,-903,0,0
175,2024-09-25 02:55:36,-901,-901,0,0
176,2024-09-25 02:56:36,-901,-903,0,0
177,2024-09-25 02:57:36,-901,-903,0,0
178,2024-09-25 02:58:36,-901,-901,0,0
179,2024-09-25 02:59:36,-901,-901,0,0
180,2024-09-25 03:00:36,-901,-901,0,0
181,2024-09-25 03:01:36,-901,-903,0,0
182,2024-09-25 03:02:36,-901,-901,0,0
