,P1_25,csvTime,P1_24,P1_3,P1_2
0,108,2024-05-17 00:00:01,1803,0,0
1,110,2024-05-17 00:01:02,1805,0,0
2,109,2024-05-17 00:02:01,1803,0,0
3,106,2024-05-17 00:03:01,1802,0,0
4,109,2024-05-17 00:04:01,1802,0,0
5,108,2024-05-17 00:05:01,1802,0,0
6,112,2024-05-17 00:06:01,1804,0,0
7,114,2024-05-17 00:07:01,1803,0,0
8,112,2024-05-17 00:08:01,1802,0,8
9,111,2024-05-17 00:09:01,1804,0,0
10,108,2024-05-17 00:10:01,1802,0,0
11,111,2024-05-17 00:11:01,1801,0,0
12,110,2024-05-17 00:12:01,1805,0,0
13,113,2024-05-17 00:13:01,1800,0,0
14,112,2024-05-17 00:14:01,1802,0,0
15,110,2024-05-17 00:15:01,1803,0,0
16,116,2024-05-17 00:16:01,1802,0,0
17,110,2024-05-17 00:17:01,1805,0,8
18,116,2024-05-17 00:18:01,1803,0,0
19,115,2024-05-17 00:19:01,1802,0,0
20,117,2024-05-17 00:20:01,1804,0,0
21,118,2024-05-17 00:21:01,1804,0,0
22,117,2024-05-17 00:22:01,1802,0,0
23,117,2024-05-17 00:23:01,1802,0,0
24,115,2024-05-17 00:24:01,1802,0,0
25,116,2024-05-17 00:25:01,1802,0,0
26,117,2024-05-17 00:26:01,1802,0,8
27,112,2024-05-17 00:27:01,1802,0,0
28,116,2024-05-17 00:28:01,1802,0,0
29,115,2024-05-17 00:29:01,1804,0,0
30,114,2024-05-17 00:30:01,1802,0,0
31,110,2024-05-17 00:31:01,1802,0,0
32,109,2024-05-17 00:32:01,1800,0,0
33,107,2024-05-17 00:33:01,1804,0,0
34,110,2024-05-17 00:34:01,1803,0,0
35,112,2024-05-17 00:35:01,1805,0,8
36,108,2024-05-17 00:36:01,1804,0,0
37,112,2024-05-17 00:37:01,1803,0,0
38,112,2024-05-17 00:38:01,1804,0,0
39,111,2024-05-17 00:39:01,1803,0,0
40,108,2024-05-17 00:40:01,1803,0,0
41,114,2024-05-17 00:41:01,1805,0,0
42,112,2024-05-17 00:42:01,1800,0,0
43,114,2024-05-17 00:43:01,1806,0,0
44,111,2024-05-17 00:44:01,1803,0,8
45,115,2024-05-17 00:45:01,1802,0,0
46,109,2024-05-17 00:46:01,1806,0,0
47,114,2024-05-17 00:47:01,1802,0,0
48,114,2024-05-17 00:48:01,1805,0,0
49,112,2024-05-17 00:49:01,1805,0,0
50,116,2024-05-17 00:50:01,1806,0,0
51,110,2024-05-17 00:51:01,1803,0,0
52,115,2024-05-17 00:52:01,1803,0,0
53,113,2024-05-17 00:53:01,1803,0,0
54,113,2024-05-17 00:54:01,1805,0,0
55,113,2024-05-17 00:55:01,1802,0,0
56,114,2024-05-17 00:56:01,1803,0,0
57,112,2024-05-17 00:57:01,1802,0,0
58,112,2024-05-17 00:58:01,1802,0,0
59,114,2024-05-17 00:59:01,1806,0,0
60,112,2024-05-17 02:00:01,1805,0,8
61,114,2024-05-17 02:01:01,1805,0,0
62,112,2024-05-17 02:02:02,1807,0,0
63,108,2024-05-17 02:03:01,1800,0,0
64,113,2024-05-17 02:04:01,1805,0,0
65,109,2024-05-17 02:05:01,1801,0,0
66,113,2024-05-17 02:06:01,1802,0,0
67,116,2024-05-17 02:07:01,1801,0,0
68,110,2024-05-17 02:08:01,1804,0,0
69,112,2024-05-17 02:09:01,1802,0,8
70,114,2024-05-17 02:10:01,1802,0,0
71,112,2024-05-17 02:11:01,1806,0,0
72,114,2024-05-17 02:12:01,1800,0,0
73,111,2024-05-17 02:13:01,1803,0,0
74,115,2024-05-17 02:14:01,1802,0,0
