,csvTime,P1_81
0,2024-05-17 00:00:01,86
1,2024-05-17 00:01:01,91
2,2024-05-17 00:02:01,94
3,2024-05-17 00:03:01,90
4,2024-05-17 00:04:01,87
5,2024-05-17 00:05:01,88
6,2024-05-17 00:06:02,95
7,2024-05-17 00:07:01,91
8,2024-05-17 00:08:01,91
9,2024-05-17 00:09:01,92
10,2024-05-17 00:10:01,87
11,2024-05-17 00:11:02,91
12,2024-05-17 00:12:01,90
13,2024-05-17 00:13:02,87
14,2024-05-17 00:14:01,92
15,2024-05-17 00:15:01,91
16,2024-05-17 00:16:01,88
17,2024-05-17 00:17:01,88
18,2024-05-17 00:18:01,89
19,2024-05-17 00:19:01,86
20,2024-05-17 00:20:01,91
21,2024-05-17 00:21:01,92
22,2024-05-17 00:22:01,90
23,2024-05-17 00:23:01,88
24,2024-05-17 00:24:01,89
25,2024-05-17 00:25:01,91
26,2024-05-17 00:26:01,89
27,2024-05-17 00:27:01,93
28,2024-05-17 00:28:01,93
29,2024-05-17 00:29:01,93
30,2024-05-17 00:30:01,93
31,2024-05-17 00:31:02,89
32,2024-05-17 00:32:01,89
33,2024-05-17 00:33:01,89
34,2024-05-17 00:34:02,92
35,2024-05-17 00:35:01,91
36,2024-05-17 00:36:01,93
37,2024-05-17 00:37:01,93
38,2024-05-17 00:38:01,92
39,2024-05-17 00:39:01,91
40,2024-05-17 00:40:02,93
41,2024-05-17 00:41:01,88
42,2024-05-17 00:42:01,92
43,2024-05-17 00:43:02,94
44,2024-05-17 00:44:01,85
45,2024-05-17 00:45:01,96
46,2024-05-17 00:46:01,89
47,2024-05-17 00:47:01,90
48,2024-05-17 00:48:01,88
49,2024-05-17 00:49:01,93
50,2024-05-17 00:50:01,87
51,2024-05-17 00:51:01,87
52,2024-05-17 00:52:01,88
53,2024-05-17 00:53:01,89
54,2024-05-17 00:54:02,87
55,2024-05-17 00:55:01,94
56,2024-05-17 00:56:01,92
57,2024-05-17 00:57:01,88
58,2024-05-17 00:58:02,93
59,2024-05-17 00:59:01,91
60,2024-05-17 02:00:01,88
61,2024-05-17 02:01:01,94
62,2024-05-17 02:02:01,84
63,2024-05-17 02:03:02,85
64,2024-05-17 02:04:01,92
65,2024-05-17 02:05:01,93
66,2024-05-17 02:06:01,94
67,2024-05-17 02:07:01,90
68,2024-05-17 02:08:01,90
69,2024-05-17 02:09:01,95
70,2024-05-17 02:10:01,85
71,2024-05-17 02:11:02,90
72,2024-05-17 02:12:01,94
73,2024-05-17 02:13:02,88
74,2024-05-17 02:14:01,92
75,2024-05-17 02:15:01,92
76,2024-05-17 02:16:01,94
77,2024-05-17 02:17:01,91
78,2024-05-17 02:18:01,88
79,2024-05-17 02:19:01,93
80,2024-05-17 02:20:01,91
81,2024-05-17 02:21:01,92
82,2024-05-17 02:22:01,92
83,2024-05-17 02:23:01,92
84,2024-05-17 02:24:01,92
85,2024-05-17 02:25:01,91
86,2024-05-17 02:26:01,95
87,2024-05-17 02:27:01,93
88,2024-05-17 02:28:01,86
89,2024-05-17 02:29:01,90
90,2024-05-17 02:30:01,91
91,2024-05-17 02:31:01,94
92,2024-05-17 02:32:02,91
93,2024-05-17 02:33:01,97
94,2024-05-17 02:34:01,89
95,2024-05-17 02:35:01,86
96,2024-05-17 02:36:01,85
97,2024-05-17 02:37:01,84
98,2024-05-17 02:38:01,90
99,2024-05-17 02:39:01,95
100,2024-05-17 02:40:01,91
101,2024-05-17 02:41:01,86
102,2024-05-17 02:42:01,87
103,2024-05-17 02:43:01,86
104,2024-05-17 02:44:01,94
105,2024-05-17 02:45:01,86
106,2024-05-17 02:46:01,87
107,2024-05-17 02:47:01,96
108,2024-05-17 02:48:01,88
109,2024-05-17 02:49:02,87
110,2024-05-17 02:50:01,89
111,2024-05-17 02:51:01,92
112,2024-05-17 02:52:01,89
113,2024-05-17 02:53:01,92
114,2024-05-17 02:54:01,87
115,2024-05-17 02:55:01,89
116,2024-05-17 02:56:01,90
117,2024-05-17 02:57:01,91
118,2024-05-17 02:58:01,91
119,2024-05-17 02:59:01,85
120,2024-05-17 03:00:01,89
121,2024-05-17 03:01:01,93
122,2024-05-17 03:02:01,85
123,2024-05-17 03:03:01,84
124,2024-05-17 03:04:01,91
125,2024-05-17 03:05:01,91
126,2024-05-17 03:06:01,93
127,2024-05-17 03:07:01,90
128,2024-05-17 03:08:01,93
129,2024-05-17 03:09:01,90
130,2024-05-17 03:10:01,88
131,2024-05-17 03:11:01,87
132,2024-05-17 03:12:01,89
133,2024-05-17 03:13:01,89
134,2024-05-17 03:14:01,91
135,2024-05-17 03:15:01,88
136,2024-05-17 03:16:01,90
137,2024-05-17 03:17:01,87
138,2024-05-17 03:18:01,85
139,2024-05-17 03:19:01,90
140,2024-05-17 03:20:01,86
141,2024-05-17 03:21:01,84
142,2024-05-17 03:22:01,91
143,2024-05-17 03:23:01,90
144,2024-05-17 03:24:01,89
145,2024-05-17 03:25:02,89
146,2024-05-17 03:26:01,87
147,2024-05-17 03:27:01,86
148,2024-05-17 03:28:01,82
149,2024-05-17 03:29:01,90
150,2024-05-17 03:30:01,90
151,2024-05-17 03:31:01,91
152,2024-05-17 03:32:01,90
153,2024-05-17 03:33:01,91
154,2024-05-17 03:34:01,90
155,2024-05-17 03:35:01,82
156,2024-05-17 03:36:01,91
157,2024-05-17 03:37:01,89
158,2024-05-17 03:38:01,88
159,2024-05-17 03:39:01,91
160,2024-05-17 03:40:01,89
