index,csvTime,P2_51
0,2024-05-17 00:00:48,0
1,2024-05-17 00:01:49,0
2,2024-05-17 00:02:48,0
3,2024-05-17 00:03:49,0
4,2024-05-17 00:04:49,0
5,2024-05-17 00:05:49,0
6,2024-05-17 00:06:49,0
7,2024-05-17 00:07:48,0
8,2024-05-17 00:08:48,0
9,2024-05-17 00:09:48,0
10,2024-05-17 00:10:49,0
11,2024-05-17 00:11:49,0
12,2024-05-17 00:12:48,0
13,2024-05-17 00:13:49,0
14,2024-05-17 00:14:49,0
15,2024-05-17 00:15:49,0
16,2024-05-17 00:16:49,0
17,2024-05-17 00:17:48,0
18,2024-05-17 00:18:48,0
19,2024-05-17 00:19:48,0
20,2024-05-17 00:20:48,0
21,2024-05-17 00:21:49,0
22,2024-05-17 00:22:49,0
23,2024-05-17 00:23:49,0
24,2024-05-17 00:24:48,0
25,2024-05-17 00:25:48,0
26,2024-05-17 00:26:49,0
27,2024-05-17 00:27:48,0
28,2024-05-17 00:28:48,0
29,2024-05-17 00:29:49,0
30,2024-05-17 00:30:49,0
31,2024-05-17 00:31:49,0
32,2024-05-17 00:32:48,0
33,2024-05-17 00:33:48,0
34,2024-05-17 00:34:49,0
35,2024-05-17 00:35:48,0
36,2024-05-17 00:36:48,0
37,2024-05-17 00:37:49,0
38,2024-05-17 00:38:48,0
39,2024-05-17 00:39:49,0
40,2024-05-17 00:40:49,0
41,2024-05-17 00:41:49,0
42,2024-05-17 00:42:48,0
43,2024-05-17 00:43:49,0
44,2024-05-17 00:44:49,0
45,2024-05-17 00:45:48,0
46,2024-05-17 00:46:49,0
47,2024-05-17 00:47:48,0
48,2024-05-17 00:48:49,0
49,2024-05-17 00:49:49,0
50,2024-05-17 00:50:49,0
51,2024-05-17 00:51:48,0
52,2024-05-17 00:52:49,0
53,2024-05-17 00:53:48,0
54,2024-05-17 00:54:48,0
55,2024-05-17 00:55:49,0
56,2024-05-17 00:56:49,0
57,2024-05-17 00:57:48,0
58,2024-05-17 00:58:48,0
59,2024-05-17 00:59:48,0
145386,2024-05-17 01:00:49,0
145387,2024-05-17 01:01:49,0
145388,2024-05-17 01:02:48,0
145389,2024-05-17 01:03:49,0
145390,2024-05-17 01:04:48,0
145391,2024-05-17 01:05:48,0
145392,2024-05-17 01:06:48,0
145393,2024-05-17 01:07:49,0
145394,2024-05-17 01:08:49,0
145395,2024-05-17 01:09:49,0
145396,2024-05-17 01:10:49,0
145397,2024-05-17 01:11:48,0
145398,2024-05-17 01:12:48,0
145399,2024-05-17 01:13:49,0
145400,2024-05-17 01:14:49,0
145401,2024-05-17 01:15:49,0
145402,2024-05-17 01:16:49,0
145403,2024-05-17 01:17:48,0
145404,2024-05-17 01:18:49,0
145405,2024-05-17 01:19:49,0
145406,2024-05-17 01:20:48,0
145407,2024-05-17 01:21:48,0
145408,2024-05-17 01:22:49,0
145409,2024-05-17 01:23:48,0
145410,2024-05-17 01:24:48,0
145411,2024-05-17 01:25:49,0
145412,2024-05-17 01:26:48,0
145413,2024-05-17 01:27:48,0
145414,2024-05-17 01:28:48,0
145415,2024-05-17 01:29:48,0
145416,2024-05-17 01:30:48,0
145417,2024-05-17 01:31:48,0
145418,2024-05-17 01:32:48,0
145419,2024-05-17 01:33:49,0
145420,2024-05-17 01:34:49,0
145421,2024-05-17 01:35:49,0
145422,2024-05-17 01:36:49,0
145423,2024-05-17 01:37:48,0
145424,2024-05-17 01:38:49,0
145425,2024-05-17 01:39:48,0
145426,2024-05-17 01:40:49,0
145427,2024-05-17 01:41:48,0
145428,2024-05-17 01:42:49,0
145429,2024-05-17 01:43:49,0
145430,2024-05-17 01:44:49,0
145431,2024-05-17 01:45:48,0
145432,2024-05-17 01:46:48,0
145433,2024-05-17 01:47:48,0
145434,2024-05-17 01:48:49,0
145435,2024-05-17 01:49:48,0
145436,2024-05-17 01:50:48,0
145437,2024-05-17 01:51:49,0
145438,2024-05-17 01:52:48,0
145439,2024-05-17 01:53:49,0
145440,2024-05-17 01:54:49,0
145441,2024-05-17 01:55:49,0
145442,2024-05-17 01:56:48,0
145443,2024-05-17 01:57:49,0
145444,2024-05-17 01:58:49,0
60,2024-05-17 02:00:48,0
61,2024-05-17 02:01:48,0
62,2024-05-17 02:02:48,0
63,2024-05-17 02:03:49,0
64,2024-05-17 02:04:48,0
65,2024-05-17 02:05:49,0
66,2024-05-17 02:06:49,0
67,2024-05-17 02:07:49,0
68,2024-05-17 02:08:48,0
69,2024-05-17 02:09:49,0
70,2024-05-17 02:10:49,0
71,2024-05-17 02:11:48,0
72,2024-05-17 02:12:49,0
73,2024-05-17 02:13:48,0
74,2024-05-17 02:14:49,0
75,2024-05-17 02:15:48,0
76,2024-05-17 02:16:48,0
77,2024-05-17 02:17:48,0
78,2024-05-17 02:18:48,0
79,2024-05-17 02:19:48,0
80,2024-05-17 02:20:49,0
81,2024-05-17 02:21:48,0
82,2024-05-17 02:22:49,0
83,2024-05-17 02:23:48,0
84,2024-05-17 02:24:48,0
85,2024-05-17 02:25:49,0
86,2024-05-17 02:26:48,0
87,2024-05-17 02:27:48,0
88,2024-05-17 02:28:48,0
89,2024-05-17 02:29:48,0
90,2024-05-17 02:30:48,0
91,2024-05-17 02:31:48,0
92,2024-05-17 02:32:48,0
93,2024-05-17 02:33:48,0
94,2024-05-17 02:34:49,0
95,2024-05-17 02:35:48,0
96,2024-05-17 02:36:48,0
97,2024-05-17 02:37:48,0
98,2024-05-17 02:38:49,0
99,2024-05-17 02:39:48,0
100,2024-05-17 02:40:48,0
101,2024-05-17 02:41:48,0
102,2024-05-17 02:42:48,0
103,2024-05-17 02:43:49,0
104,2024-05-17 02:44:48,0
105,2024-05-17 02:45:49,0
106,2024-05-17 02:46:49,0
107,2024-05-17 02:47:48,0
108,2024-05-17 02:48:49,0
109,2024-05-17 02:49:48,0
110,2024-05-17 02:50:48,0
111,2024-05-17 02:51:48,0
112,2024-05-17 02:52:48,0
113,2024-05-17 02:53:49,0
114,2024-05-17 02:54:48,0
115,2024-05-17 02:55:48,0
116,2024-05-17 02:56:49,0
117,2024-05-17 02:57:48,0
118,2024-05-17 02:58:48,0
119,2024-05-17 02:59:48,0
120,2024-05-17 03:00:48,0
121,2024-05-17 03:01:49,0
122,2024-05-17 03:02:48,0
123,2024-05-17 03:03:48,0
124,2024-05-17 03:04:48,0
125,2024-05-17 03:05:49,0
126,2024-05-17 03:06:48,0
127,2024-05-17 03:07:49,0
128,2024-05-17 03:08:49,0
129,2024-05-17 03:09:48,0
130,2024-05-17 03:10:49,0
131,2024-05-17 03:11:48,0
132,2024-05-17 03:12:48,0
133,2024-05-17 03:13:48,0
134,2024-05-17 03:14:49,0
135,2024-05-17 03:15:48,0
136,2024-05-17 03:16:49,0
137,2024-05-17 03:17:48,0
138,2024-05-17 03:18:49,0
139,2024-05-17 03:19:48,0
140,2024-05-17 03:20:49,0
141,2024-05-17 03:21:48,0
142,2024-05-17 03:22:49,0
143,2024-05-17 03:23:49,0
144,2024-05-17 03:24:48,0
145,2024-05-17 03:25:48,0
146,2024-05-17 03:26:49,0
147,2024-05-17 03:27:49,0
148,2024-05-17 03:28:49,0
149,2024-05-17 03:29:48,0
150,2024-05-17 03:30:48,0
151,2024-05-17 03:31:48,0
152,2024-05-17 03:32:48,0
153,2024-05-17 03:33:48,0
154,2024-05-17 03:34:48,0
155,2024-05-17 03:35:49,0
156,2024-05-17 03:36:49,0
157,2024-05-17 03:37:48,0
158,2024-05-17 03:38:49,0
159,2024-05-17 03:39:48,0
160,2024-05-17 03:40:48,0
161,2024-05-17 03:41:48,0
162,2024-05-17 03:42:48,0
163,2024-05-17 03:43:49,0
164,2024-05-17 03:44:49,0
165,2024-05-17 03:45:48,0
166,2024-05-17 03:46:48,0
167,2024-05-17 03:47:49,0
168,2024-05-17 03:48:48,0
169,2024-05-17 03:49:48,0
170,2024-05-17 03:50:49,0
171,2024-05-17 03:51:49,0
172,2024-05-17 03:52:49,0
173,2024-05-17 03:53:48,0
174,2024-05-17 03:54:48,0
175,2024-05-17 03:55:48,0
176,2024-05-17 03:56:48,0
177,2024-05-17 03:57:48,0
178,2024-05-17 03:58:49,0
179,2024-05-17 04:00:48,0
180,2024-05-17 04:01:49,0
181,2024-05-17 04:02:49,0
182,2024-05-17 04:03:49,0
183,2024-05-17 04:04:48,0
184,2024-05-17 04:05:48,0
185,2024-05-17 04:06:48,0
186,2024-05-17 04:07:49,0
187,2024-05-17 04:08:48,0
188,2024-05-17 04:09:48,0
189,2024-05-17 04:10:48,0
190,2024-05-17 04:11:48,0
191,2024-05-17 04:12:48,0
192,2024-05-17 04:13:48,0
193,2024-05-17 04:14:48,0
194,2024-05-17 04:15:48,0
195,2024-05-17 04:16:49,0
196,2024-05-17 04:17:48,0
197,2024-05-17 04:18:48,0
198,2024-05-17 04:19:49,0
199,2024-05-17 04:20:49,0
200,2024-05-17 04:21:48,0
201,2024-05-17 04:22:48,0
202,2024-05-17 04:23:48,0
203,2024-05-17 04:24:49,0
204,2024-05-17 04:25:49,0
205,2024-05-17 04:26:48,0
206,2024-05-17 04:27:49,0
207,2024-05-17 04:28:48,0
208,2024-05-17 04:29:49,0
209,2024-05-17 04:30:48,0
210,2024-05-17 04:31:48,0
211,2024-05-17 04:32:49,0
212,2024-05-17 04:33:48,0
213,2024-05-17 04:34:48,0
214,2024-05-17 04:35:48,0
215,2024-05-17 04:36:48,0
216,2024-05-17 04:37:48,0
217,2024-05-17 04:38:48,0
218,2024-05-17 04:39:49,0
219,2024-05-17 04:40:48,0
220,2024-05-17 04:41:48,0
221,2024-05-17 04:42:48,0
222,2024-05-17 04:43:49,0
223,2024-05-17 04:44:48,0
224,2024-05-17 04:45:48,0
225,2024-05-17 04:46:49,0
226,2024-05-17 04:47:48,0
227,2024-05-17 04:48:48,0
228,2024-05-17 04:49:49,0
229,2024-05-17 04:50:48,0
230,2024-05-17 04:51:48,0
231,2024-05-17 04:52:48,0
232,2024-05-17 04:53:48,0
233,2024-05-17 04:54:49,0
234,2024-05-17 04:55:48,0
235,2024-05-17 04:56:48,0
236,2024-05-17 04:57:49,0
237,2024-05-17 04:58:48,0
238,2024-05-17 04:59:49,0
239,2024-05-17 05:00:48,0
240,2024-05-17 05:01:48,0
241,2024-05-17 05:02:48,0
242,2024-05-17 05:03:48,0
243,2024-05-17 05:04:48,0
244,2024-05-17 05:05:49,0
245,2024-05-17 05:06:48,0
246,2024-05-17 05:07:49,0
247,2024-05-17 05:08:48,0
248,2024-05-17 05:09:48,0
249,2024-05-17 05:10:48,0
250,2024-05-17 05:11:49,0
251,2024-05-17 05:12:48,0
252,2024-05-17 05:13:48,0
253,2024-05-17 05:14:48,0
254,2024-05-17 05:15:48,0
255,2024-05-17 05:16:48,0
256,2024-05-17 05:17:48,0
257,2024-05-17 05:18:48,0
258,2024-05-17 05:19:48,0
259,2024-05-17 05:20:48,0
260,2024-05-17 05:21:48,0
261,2024-05-17 05:22:48,0
262,2024-05-17 05:23:48,0
263,2024-05-17 05:24:48,0
264,2024-05-17 05:25:48,0
265,2024-05-17 05:26:48,0
266,2024-05-17 05:27:48,0
267,2024-05-17 05:28:49,0
268,2024-05-17 05:29:48,0
269,2024-05-17 05:30:49,0
270,2024-05-17 05:31:48,0
271,2024-05-17 05:32:48,0
272,2024-05-17 05:33:48,0
273,2024-05-17 05:34:48,0
274,2024-05-17 05:35:48,0
275,2024-05-17 05:36:48,0
276,2024-05-17 05:37:48,0
277,2024-05-17 05:38:48,0
278,2024-05-17 05:39:49,0
279,2024-05-17 05:40:48,0
280,2024-05-17 05:41:48,0
281,2024-05-17 05:42:48,0
282,2024-05-17 05:43:48,0
283,2024-05-17 05:44:48,0
284,2024-05-17 05:45:48,0
285,2024-05-17 05:46:48,0
286,2024-05-17 05:47:48,0
287,2024-05-17 05:48:49,0
288,2024-05-17 05:49:48,0
289,2024-05-17 05:50:48,0
290,2024-05-17 05:51:49,0
291,2024-05-17 05:52:49,0
292,2024-05-17 05:53:49,0
293,2024-05-17 05:54:48,0
294,2024-05-17 05:55:48,0
295,2024-05-17 05:56:48,0
296,2024-05-17 05:57:48,0
297,2024-05-17 05:58:48,0
298,2024-05-17 05:59:48,0
299,2024-05-17 06:00:48,0
300,2024-05-17 06:01:48,0
301,2024-05-17 06:02:48,0
302,2024-05-17 06:03:49,0
303,2024-05-17 06:04:48,0
304,2024-05-17 06:05:48,0
305,2024-05-17 06:06:48,0
306,2024-05-17 06:07:49,0
307,2024-05-17 06:08:48,0
308,2024-05-17 06:09:49,0
309,2024-05-17 06:10:48,0
310,2024-05-17 06:11:48,0
311,2024-05-17 06:12:48,0
312,2024-05-17 06:13:48,0
313,2024-05-17 06:14:48,0
314,2024-05-17 06:15:48,0
315,2024-05-17 06:16:48,0
316,2024-05-17 06:17:48,0
317,2024-05-17 06:18:48,0
318,2024-05-17 06:19:49,0
319,2024-05-17 06:20:48,0
320,2024-05-17 06:21:48,0
321,2024-05-17 06:22:49,0
322,2024-05-17 06:23:48,0
323,2024-05-17 06:24:49,0
324,2024-05-17 06:25:48,0
325,2024-05-17 06:26:49,0
326,2024-05-17 06:27:48,0
327,2024-05-17 06:28:48,0
328,2024-05-17 06:29:48,0
329,2024-05-17 06:30:49,0
330,2024-05-17 06:31:48,0
331,2024-05-17 06:32:48,0
332,2024-05-17 06:33:48,0
333,2024-05-17 06:34:48,0
334,2024-05-17 06:35:48,0
335,2024-05-17 06:36:48,0
336,2024-05-17 06:37:48,0
337,2024-05-17 06:38:49,0
338,2024-05-17 06:39:48,0
339,2024-05-17 06:40:48,0
340,2024-05-17 06:41:49,0
341,2024-05-17 06:42:49,0
342,2024-05-17 06:43:48,0
343,2024-05-17 06:44:48,0
344,2024-05-17 06:45:48,0
345,2024-05-17 06:46:48,0
346,2024-05-17 06:47:48,0
347,2024-05-17 06:48:48,0
348,2024-05-17 06:49:48,0
349,2024-05-17 06:50:49,0
350,2024-05-17 06:51:49,0
351,2024-05-17 06:52:48,0
352,2024-05-17 06:53:48,0
353,2024-05-17 06:54:48,0
354,2024-05-17 06:55:48,0
355,2024-05-17 06:56:48,0
356,2024-05-17 06:57:48,0
357,2024-05-17 06:58:48,0
358,2024-05-17 06:59:48,0
359,2024-05-17 07:00:48,0
360,2024-05-17 07:01:48,0
361,2024-05-17 07:02:48,0
362,2024-05-17 07:03:48,0
363,2024-05-17 07:04:48,0
364,2024-05-17 07:05:48,0
365,2024-05-17 07:06:48,0
366,2024-05-17 07:07:49,0
367,2024-05-17 07:08:48,0
368,2024-05-17 07:09:48,0
369,2024-05-17 07:10:48,0
370,2024-05-17 07:11:48,0
371,2024-05-17 07:12:48,0
372,2024-05-17 07:13:48,0
373,2024-05-17 07:14:48,0
374,2024-05-17 07:15:48,0
375,2024-05-17 07:16:48,0
376,2024-05-17 07:17:48,0
377,2024-05-17 07:18:48,0
378,2024-05-17 07:19:48,0
379,2024-05-17 07:20:48,0
380,2024-05-17 07:21:48,0
381,2024-05-17 07:22:48,0
382,2024-05-17 07:23:48,0
383,2024-05-17 07:24:48,0
384,2024-05-17 07:25:48,0
385,2024-05-17 07:26:49,0
386,2024-05-17 07:27:48,0
387,2024-05-17 07:28:48,0
388,2024-05-17 07:29:48,0
389,2024-05-17 07:30:49,0
390,2024-05-17 07:31:49,0
391,2024-05-17 07:32:48,0
392,2024-05-17 07:33:48,0
393,2024-05-17 07:34:48,0
394,2024-05-17 07:35:48,0
395,2024-05-17 07:36:48,0
396,2024-05-17 07:37:48,0
397,2024-05-17 07:38:48,0
398,2024-05-17 07:39:48,0
399,2024-05-17 07:40:48,0
400,2024-05-17 07:41:48,0
401,2024-05-17 07:42:48,0
402,2024-05-17 07:43:48,0
403,2024-05-17 07:44:48,0
404,2024-05-17 07:45:49,0
405,2024-05-17 07:46:48,0
406,2024-05-17 07:47:48,0
407,2024-05-17 07:48:48,0
408,2024-05-17 07:49:48,0
409,2024-05-17 07:50:48,0
410,2024-05-17 07:51:48,0
411,2024-05-17 07:52:49,0
412,2024-05-17 07:53:48,0
413,2024-05-17 07:54:48,0
414,2024-05-17 07:55:48,0
415,2024-05-17 07:56:48,0
416,2024-05-17 07:57:49,0
417,2024-05-17 07:58:48,0
418,2024-05-17 07:59:49,0
419,2024-05-17 08:00:48,0
420,2024-05-17 08:01:48,0
421,2024-05-17 08:02:48,0
422,2024-05-17 08:03:48,0
423,2024-05-17 08:04:48,0
