,P3_22,P3_21,P3_20,P3_19,csvTime
0,19,20,138,138,2024-05-17 00:00:02
1,19,20,-75,-58,2024-05-17 00:01:02
2,19,20,-201,-252,2024-05-17 00:02:02
3,19,20,-128,-138,2024-05-17 00:03:02
4,19,20,-79,-101,2024-05-17 00:04:02
5,19,20,208,211,2024-05-17 00:05:02
6,20,21,111,106,2024-05-17 00:06:02
7,21,22,-108,-106,2024-05-17 00:07:02
8,20,21,-327,-332,2024-05-17 00:08:02
9,20,20,-342,-344,2024-05-17 00:09:02
10,20,20,-93,-80,2024-05-17 00:10:02
11,20,20,-6,0,2024-05-17 00:11:02
12,20,21,-246,-230,2024-05-17 00:12:02
13,20,20,-105,-96,2024-05-17 00:13:02
14,20,20,45,32,2024-05-17 00:14:02
15,20,20,-212,-220,2024-05-17 00:15:02
16,20,20,-218,-202,2024-05-17 00:16:02
17,20,20,20,-27,2024-05-17 00:17:02
18,18,19,-15,-60,2024-05-17 00:18:02
19,18,19,-344,-344,2024-05-17 00:19:02
20,18,19,-340,-347,2024-05-17 00:20:02
21,18,19,-335,-339,2024-05-17 00:21:02
22,18,19,-302,-312,2024-05-17 00:22:02
23,18,19,-203,-236,2024-05-17 00:23:02
24,18,19,-345,-344,2024-05-17 00:24:02
25,18,19,-344,-344,2024-05-17 00:25:02
26,18,19,-344,-344,2024-05-17 00:26:02
27,18,19,-344,-344,2024-05-17 00:27:02
28,18,19,-344,-344,2024-05-17 00:28:02
29,18,19,-344,-344,2024-05-17 00:29:02
30,18,19,-344,-344,2024-05-17 00:30:02
31,18,19,-345,-344,2024-05-17 00:31:02
32,18,19,-344,-344,2024-05-17 00:32:02
33,19,19,-344,-344,2024-05-17 00:33:02
34,19,20,-344,-344,2024-05-17 00:34:02
35,19,20,-344,-344,2024-05-17 00:35:02
36,20,22,-344,-344,2024-05-17 00:36:02
37,22,23,-344,-344,2024-05-17 00:37:02
38,22,23,-344,-344,2024-05-17 00:38:02
39,22,23,-344,-344,2024-05-17 00:39:02
40,22,23,-237,-220,2024-05-17 00:40:02
41,20,21,54,-12,2024-05-17 00:41:02
42,20,21,-322,-324,2024-05-17 00:42:02
43,21,21,-126,-69,2024-05-17 00:43:02
44,21,22,285,255,2024-05-17 00:44:02
45,21,22,-131,-156,2024-05-17 00:45:02
46,20,21,-324,-344,2024-05-17 00:46:02
47,20,21,-198,-261,2024-05-17 00:47:02
48,20,21,-121,-106,2024-05-17 00:48:02
49,19,19,-105,-103,2024-05-17 00:49:02
50,20,21,162,140,2024-05-17 00:50:02
51,21,21,-187,-192,2024-05-17 00:51:02
52,20,21,-10,-25,2024-05-17 00:52:02
53,19,20,66,45,2024-05-17 00:53:02
54,19,20,-292,-262,2024-05-17 00:54:02
55,19,20,-123,-76,2024-05-17 00:55:02
56,19,20,25,-3,2024-05-17 00:56:02
57,19,20,-240,-225,2024-05-17 00:57:02
58,19,20,-96,-20,2024-05-17 00:58:02
59,19,19,-75,-60,2024-05-17 00:59:02
60,16,17,337,342,2024-05-17 02:00:02
61,16,17,340,342,2024-05-17 02:01:02
62,16,17,340,342,2024-05-17 02:02:02
63,16,17,146,128,2024-05-17 02:03:02
64,16,17,-4,20,2024-05-17 02:04:02
65,16,17,-113,-118,2024-05-17 02:05:02
66,16,17,-177,-155,2024-05-17 02:06:02
67,16,17,128,143,2024-05-17 02:07:02
68,16,17,337,342,2024-05-17 02:08:02
69,16,17,337,342,2024-05-17 02:09:02
70,16,17,337,342,2024-05-17 02:10:02
71,18,18,337,342,2024-05-17 02:11:02
72,18,19,337,342,2024-05-17 02:12:02
73,18,19,337,342,2024-05-17 02:13:02
74,20,21,337,342,2024-05-17 02:14:02
75,22,23,337,342,2024-05-17 02:15:02
76,22,23,337,342,2024-05-17 02:16:02
77,18,19,337,342,2024-05-17 02:17:02
78,18,19,-50,-55,2024-05-17 02:18:02
79,18,19,-111,-49,2024-05-17 02:19:02
80,18,19,50,20,2024-05-17 02:20:02
81,18,19,81,111,2024-05-17 02:21:02
82,18,19,34,50,2024-05-17 02:22:02
83,18,19,-195,-201,2024-05-17 02:23:02
84,18,19,-201,-201,2024-05-17 02:24:02
85,18,19,-220,-212,2024-05-17 02:25:02
86,18,19,-70,-6,2024-05-17 02:26:02
87,19,19,200,252,2024-05-17 02:27:02
88,18,19,246,222,2024-05-17 02:28:02
89,19,19,-6,-40,2024-05-17 02:29:02
90,19,19,-126,-101,2024-05-17 02:30:02
91,18,19,-37,-43,2024-05-17 02:31:02
92,19,19,-54,-25,2024-05-17 02:32:02
93,19,19,-101,-108,2024-05-17 02:33:02
94,18,19,-75,-96,2024-05-17 02:34:02
95,18,18,125,83,2024-05-17 02:35:02
96,17,17,-10,-17,2024-05-17 02:36:02
97,17,17,27,37,2024-05-17 02:37:02
98,16,17,100,30,2024-05-17 02:38:02
99,16,17,-339,-344,2024-05-17 02:39:02
100,17,17,-342,-330,2024-05-17 02:40:02
101,16,17,-123,-54,2024-05-17 02:41:02
102,16,17,125,131,2024-05-17 02:42:02
103,16,17,-65,-12,2024-05-17 02:43:02
104,16,17,-344,-345,2024-05-17 02:44:02
105,16,17,-260,-235,2024-05-17 02:45:02
106,16,17,118,95,2024-05-17 02:46:02
107,16,17,158,167,2024-05-17 02:47:02
108,16,17,25,18,2024-05-17 02:48:02
109,16,17,-291,-237,2024-05-17 02:49:02
110,16,17,-175,-182,2024-05-17 02:50:02
111,16,17,16,-18,2024-05-17 02:51:02
112,16,17,310,325,2024-05-17 02:52:02
113,16,17,1,-69,2024-05-17 02:53:02
114,16,17,-340,-344,2024-05-17 02:54:02
115,16,17,-335,-315,2024-05-17 02:55:02
116,16,17,-283,-253,2024-05-17 02:56:02
117,16,17,0,45,2024-05-17 02:57:02
118,18,19,302,292,2024-05-17 02:58:02
119,18,18,17,-6,2024-05-17 02:59:02
120,18,19,-255,-251,2024-05-17 03:00:02
121,18,19,-308,-344,2024-05-17 03:01:02
122,18,19,-108,-69,2024-05-17 03:02:02
123,18,19,-39,-143,2024-05-17 03:03:02
124,18,19,-123,-69,2024-05-17 03:04:02
125,18,19,30,-16,2024-05-17 03:05:02
126,18,19,176,195,2024-05-17 03:06:02
127,18,19,113,162,2024-05-17 03:07:02
128,18,19,-66,-30,2024-05-17 03:08:02
129,18,19,-271,-266,2024-05-17 03:09:02
130,18,19,-150,-163,2024-05-17 03:10:02
131,18,19,8,4,2024-05-17 03:11:02
132,18,19,116,160,2024-05-17 03:12:02
133,18,19,-93,-71,2024-05-17 03:13:02
134,18,19,-153,-143,2024-05-17 03:14:02
135,18,18,-340,-344,2024-05-17 03:15:02
136,18,18,-175,-118,2024-05-17 03:16:02
137,18,19,-135,-128,2024-05-17 03:17:02
138,18,19,-58,-61,2024-05-17 03:18:02
139,18,19,-163,-150,2024-05-17 03:19:02
140,18,19,-136,-167,2024-05-17 03:20:02
141,18,19,178,160,2024-05-17 03:21:02
142,18,19,173,181,2024-05-17 03:22:02
143,18,19,-213,-177,2024-05-17 03:23:02
144,18,19,-340,-344,2024-05-17 03:24:02
145,18,19,-88,-24,2024-05-17 03:25:02
146,18,18,-22,-40,2024-05-17 03:26:02
147,18,19,-116,-91,2024-05-17 03:27:02
148,18,19,15,66,2024-05-17 03:28:02
149,18,19,64,59,2024-05-17 03:29:02
150,18,19,-3,18,2024-05-17 03:30:02
151,18,19,-25,-32,2024-05-17 03:31:02
152,18,19,-141,-150,2024-05-17 03:32:02
153,18,19,-277,-292,2024-05-17 03:33:02
154,18,19,-50,-45,2024-05-17 03:34:02
155,18,19,141,111,2024-05-17 03:35:02
156,17,18,-221,-217,2024-05-17 03:36:02
157,16,17,-248,-241,2024-05-17 03:37:02
158,16,17,76,79,2024-05-17 03:38:02
159,16,17,193,167,2024-05-17 03:39:02
160,16,17,34,17,2024-05-17 03:40:02
161,16,17,-75,-37,2024-05-17 03:41:02
162,16,17,40,20,2024-05-17 03:42:02
163,16,17,-121,-115,2024-05-17 03:43:02
164,16,17,-213,-261,2024-05-17 03:44:02
165,16,17,86,146,2024-05-17 03:45:02
166,16,17,0,-30,2024-05-17 03:46:02
167,16,17,-340,-344,2024-05-17 03:47:02
168,16,17,-158,-167,2024-05-17 03:48:02
169,16,17,-51,-51,2024-05-17 03:49:02
170,16,17,-90,-40,2024-05-17 03:50:02
171,16,17,163,176,2024-05-17 03:51:02
172,16,17,105,78,2024-05-17 03:52:02
173,16,17,-311,-297,2024-05-17 03:53:02
174,16,17,-332,-329,2024-05-17 03:54:02
175,16,17,-69,-50,2024-05-17 03:55:02
176,18,18,108,61,2024-05-17 03:56:02
177,18,18,-340,-344,2024-05-17 03:57:02
178,18,18,-340,-344,2024-05-17 03:58:02
179,18,18,-340,-344,2024-05-17 03:59:02
180,18,18,-148,-150,2024-05-17 04:00:02
181,18,18,-96,-65,2024-05-17 04:01:02
182,18,18,-197,-198,2024-05-17 04:02:02
183,18,18,-267,-291,2024-05-17 04:03:02
184,17,18,-63,-40,2024-05-17 04:04:02
185,17,18,111,101,2024-05-17 04:05:02
186,18,18,-22,-32,2024-05-17 04:06:02
187,18,18,-40,-70,2024-05-17 04:07:02
188,17,18,-113,-111,2024-05-17 04:08:02
189,18,18,-138,-135,2024-05-17 04:09:02
190,18,18,-143,-172,2024-05-17 04:10:02
191,18,18,-158,-126,2024-05-17 04:11:02
192,18,18,-210,-217,2024-05-17 04:12:02
193,18,18,-186,-161,2024-05-17 04:13:02
194,18,18,22,6,2024-05-17 04:14:02
195,18,18,-91,-120,2024-05-17 04:15:02
196,18,19,-113,-106,2024-05-17 04:16:02
197,18,18,-178,-196,2024-05-17 04:17:02
198,18,18,-335,-345,2024-05-17 04:18:02
199,15,16,-143,-145,2024-05-17 04:19:02
200,15,16,-181,-176,2024-05-17 04:20:02
201,15,16,-231,-257,2024-05-17 04:21:02
202,15,16,-81,-55,2024-05-17 04:22:02
203,15,16,-136,-162,2024-05-17 04:23:02
204,15,16,-233,-277,2024-05-17 04:24:02
205,15,16,-327,-317,2024-05-17 04:25:02
206,15,16,-344,-344,2024-05-17 04:26:02
207,15,16,-344,-344,2024-05-17 04:27:02
208,15,16,-344,-344,2024-05-17 04:28:02
209,15,16,-344,-344,2024-05-17 04:29:02
210,15,16,-276,-260,2024-05-17 04:30:02
211,15,16,49,37,2024-05-17 04:31:02
212,15,16,-27,-8,2024-05-17 04:32:02
213,15,16,-245,-253,2024-05-17 04:33:02
214,15,16,-322,-329,2024-05-17 04:34:02
215,15,16,-216,-215,2024-05-17 04:35:02
216,15,16,-22,-45,2024-05-17 04:36:02
217,15,16,-261,-232,2024-05-17 04:37:02
218,15,16,-128,-96,2024-05-17 04:38:02
219,15,16,-65,-101,2024-05-17 04:39:02
220,15,16,-71,-85,2024-05-17 04:40:02
221,15,16,-39,8,2024-05-17 04:41:02
222,15,16,-216,-211,2024-05-17 04:42:02
223,15,16,-198,-177,2024-05-17 04:43:02
224,15,16,-91,-105,2024-05-17 04:44:02
225,15,16,30,24,2024-05-17 04:45:02
226,15,16,6,11,2024-05-17 04:46:02
227,15,16,-73,-81,2024-05-17 04:47:02
228,15,16,-222,-210,2024-05-17 04:48:02
229,15,16,-195,-110,2024-05-17 04:49:02
230,15,16,8,54,2024-05-17 04:50:02
231,15,16,-96,-86,2024-05-17 04:51:02
232,15,16,-218,-223,2024-05-17 04:52:02
233,15,16,-15,40,2024-05-17 04:53:02
234,15,16,115,121,2024-05-17 04:54:02
235,15,16,-123,-116,2024-05-17 04:55:02
236,15,16,-256,-260,2024-05-17 04:56:02
237,15,16,-141,-126,2024-05-17 04:57:02
238,15,16,3,8,2024-05-17 04:58:02
239,15,16,-10,37,2024-05-17 04:59:02
240,15,16,-145,-160,2024-05-17 05:00:02
241,15,16,-131,-136,2024-05-17 05:01:02
242,15,16,-192,-187,2024-05-17 05:02:02
243,15,16,-317,-327,2024-05-17 05:03:02
244,15,16,-103,-101,2024-05-17 05:04:02
245,15,16,118,106,2024-05-17 05:05:02
246,15,16,-207,-207,2024-05-17 05:06:02
247,15,16,-311,-317,2024-05-17 05:07:02
248,15,16,-162,-151,2024-05-17 05:08:02
249,15,16,35,70,2024-05-17 05:09:02
250,15,16,106,103,2024-05-17 05:10:02
251,15,16,-58,-17,2024-05-17 05:11:02
252,15,16,-207,-231,2024-05-17 05:12:02
253,15,16,-20,-27,2024-05-17 05:13:02
254,15,16,-86,-93,2024-05-17 05:14:02
255,15,16,-344,-344,2024-05-17 05:15:02
256,15,16,-136,-121,2024-05-17 05:16:02
257,15,16,-35,-12,2024-05-17 05:17:02
258,15,16,-302,-290,2024-05-17 05:18:02
259,15,16,-268,-238,2024-05-17 05:19:02
260,15,16,-148,-162,2024-05-17 05:20:02
261,15,16,-156,-162,2024-05-17 05:21:02
262,15,16,22,20,2024-05-17 05:22:02
