Unnamed: 0,13-11-1_v,13-11-2_v,13-11-0_v,13-11-5_v,13-11-6_v,13-11-3_v,13-11-4_v,13-11-9_v,13-11-11_v,13-11-10_v,13-11-7_v,13-11-13_v,csvTime,13-11-8_v,13-11-12_v,status,action,work_status
0,6969,6961,6976,0.0,0.0,0.0,0.0,100.0,9,6010,0.0,0.0,2024-05-17 00:00:11,0.0,0.0,False,False,未工作
1,6969,6962,6976,0.0,0.0,0.0,0.0,100.0,8,6009,0.0,0.0,2024-05-17 00:01:12,0.0,0.0,False,False,未工作
2,6969,6961,6977,0.0,0.0,0.0,0.0,100.0,14,6009,0.0,0.0,2024-05-17 00:02:12,0.0,0.0,False,False,未工作
3,6969,6963,6976,0.0,0.0,0.0,0.0,100.0,14,6009,0.0,0.0,2024-05-17 00:03:12,0.0,0.0,False,False,未工作
4,6969,6961,6977,0.0,0.0,0.0,0.0,100.0,15,6009,0.0,0.0,2024-05-17 00:04:13,0.0,0.0,False,False,未工作
5,6969,6963,6975,0.0,0.0,0.0,0.0,100.0,6,6009,0.0,0.0,2024-05-17 00:05:13,0.0,0.0,False,False,未工作
6,6967,6961,6973,0.0,0.0,0.0,0.0,100.0,6,6007,0.0,0.0,2024-05-17 00:06:14,0.0,0.0,False,False,未工作
7,6967,6960,6973,0.0,0.0,0.0,0.0,100.0,15,6007,0.0,0.0,2024-05-17 00:07:14,0.0,0.0,False,False,未工作
8,6967,6960,6974,0.0,0.0,0.0,0.0,100.0,8,6009,0.0,0.0,2024-05-17 00:08:14,0.0,0.0,False,False,未工作
9,6968,6962,6974,0.0,0.0,0.0,0.0,100.0,5,6008,0.0,0.0,2024-05-17 00:09:14,0.0,0.0,False,False,未工作
10,6968,6961,6975,0.0,0.0,0.0,0.0,100.0,9,6008,0.0,0.0,2024-05-17 00:10:15,0.0,0.0,False,False,未工作
11,6967,6960,6974,0.0,0.0,0.0,0.0,100.0,6,6008,0.0,0.0,2024-05-17 00:11:15,0.0,0.0,False,False,未工作
12,6966,6960,6972,0.0,0.0,0.0,0.0,100.0,6,6009,0.0,0.0,2024-05-17 00:12:15,0.0,0.0,False,False,未工作
13,6968,6962,6975,0.0,0.0,0.0,0.0,100.0,15,6006,0.0,0.0,2024-05-17 00:13:16,0.0,0.0,False,False,未工作
14,6967,6960,6973,0.0,0.0,0.0,0.0,100.0,14,6007,0.0,0.0,2024-05-17 00:14:16,0.0,0.0,False,False,未工作
