index,13-2-11_v,13-2-10_v,13-2-13_v,13-2-12_v,13-2-6_v,13-2-5_v,13-2-4_v,13-2-3_v,13-2-2_v,13-2-1_v,13-2-0_v,13-2-9_v,13-2-8_v,csvTime,13-2-7_v
0,11,6009,0.0,696,12,10,12.0,13,6971,6966,6962,96,12.0,2024-05-17 00:00:45,3
1,2,6008,0.0,2850,9,6,9.0,10,6970,6965,6961,95,10.0,2024-05-17 00:01:46,2
2,8,6007,0.0,1031,11,11,12.0,12,6972,6967,6962,96,12.0,2024-05-17 00:02:46,3
3,9,6009,0.0,1675,11,10,11.0,12,6973,6968,6963,96,11.0,2024-05-17 00:03:47,3
4,8,6009,0.0,2488,9,7,9.0,10,6972,6966,6961,95,9.0,2024-05-17 00:04:47,2
5,4,6009,0.0,2416,10,6,9.0,10,6967,6963,6959,95,10.0,2024-05-17 00:05:47,2
6,8,6008,0.0,1884,10,8,10.0,11,6969,6964,6960,96,11.0,2024-05-17 00:06:48,3
7,14,6008,0.0,1452,11,9,11.0,12,6970,6964,6958,95,11.0,2024-05-17 00:07:48,3
8,5,6010,0.0,2449,9,7,9.0,10,6970,6965,6960,96,10.0,2024-05-17 00:08:48,2
9,13,6006,0.0,1930,9,7,9.0,10,6970,6964,6959,95,10.0,2024-05-17 00:09:48,3
10,12,6008,0.0,2771,9,6,9.0,10,6972,6967,6961,96,10.0,2024-05-17 00:10:48,2
11,5,6008,0.0,2402,10,7,10.0,11,6971,6966,6961,96,10.0,2024-05-17 00:11:49,2
12,10,6006,0.0,2710,9,6,9.0,10,6969,6964,6959,95,10.0,2024-05-17 00:12:49,2
13,4,6006,0.0,1750,10,7,10.0,11,6969,6963,6957,96,11.0,2024-05-17 00:13:50,3
14,13,6008,0.0,1653,12,10,13.0,14,6970,6965,6959,96,12.0,2024-05-17 00:14:50,3
15,11,6007,0.0,1972,10,7,9.0,10,6971,6965,6959,95,10.0,2024-05-17 00:15:50,2
16,8,6006,0.0,2343,10,7,9.0,10,6971,6965,6959,95,10.0,2024-05-17 00:16:50,2
17,14,6008,0.0,2500,9,6,9.0,10,6970,6964,6958,95,10.0,2024-05-17 00:17:51,2
18,12,6006,0.0,2257,10,7,9.0,10,6970,6965,6959,95,10.0,2024-05-17 00:18:51,2
19,6,6006,0.0,2795,9,6,9.0,10,6971,6965,6960,95,10.0,2024-05-17 00:19:51,2
20,12,6006,0.0,2564,9,6,9.0,10,6971,6965,6960,96,10.0,2024-05-17 00:20:51,2
21,13,6005,0.0,2731,9,6,9.0,10,6969,6963,6957,96,10.0,2024-05-17 00:21:51,2
22,14,6006,0.0,2752,9,6,9.0,10,6971,6966,6961,95,10.0,2024-05-17 00:22:52,2
23,6,6006,0.0,2787,9,6,9.0,10,6972,6966,6960,96,10.0,2024-05-17 00:23:52,2
24,8,6006,0.0,2802,9,6,9.0,10,6971,6966,6960,96,10.0,2024-05-17 00:24:52,2
25,10,6007,0.0,2836,9,6,9.0,10,6970,6964,6958,96,10.0,2024-05-17 00:25:52,2
26,11,6006,0.0,2632,9,6,9.0,10,6970,6964,6958,95,10.0,2024-05-17 00:26:52,2
27,13,6004,0.0,2792,9,6,9.0,10,6971,6965,6959,96,10.0,2024-05-17 00:27:53,2
28,13,6006,0.0,0,3,0,0.0,0,6969,6963,6957,100,3.0,2024-05-17 00:28:53,1
29,10,6005,0.0,2680,9,6,9.0,10,6971,6965,6959,95,10.0,2024-05-17 00:29:53,2
30,3,6008,0.0,2763,9,6,9.0,10,6970,6964,6959,95,10.0,2024-05-17 00:30:53,2
31,8,6009,0.0,2807,9,6,9.0,10,6971,6966,6960,96,10.0,2024-05-17 00:31:53,2
32,8,6010,0.0,2712,9,6,9.0,10,6972,6966,6961,95,10.0,2024-05-17 00:32:54,2
33,4,6011,0.0,2727,9,6,9.0,10,6972,6966,6960,96,10.0,2024-05-17 00:33:54,2
34,4,6011,0.0,0,3,0,0.0,0,6973,6968,6962,100,3.0,2024-05-17 00:34:54,1
35,15,6011,0.0,0,2,0,0.0,1,6973,6967,6961,100,3.0,2024-05-17 00:35:54,1
36,7,6011,0.0,0,2,0,0.0,0,6971,6966,6960,100,2.0,2024-05-17 00:36:54,1
37,11,6011,0.0,0,2,0,0.0,0,6971,6965,6959,100,2.0,2024-05-17 00:37:54,1
38,14,6012,0.0,0,2,0,0.0,0,6971,6965,6959,100,2.0,2024-05-17 00:38:54,1
39,14,6010,0.0,1285,11,9,10.0,11,6970,6964,6959,96,11.0,2024-05-17 00:39:55,3
40,5,6012,0.0,1503,10,8,10.0,11,6972,6966,6960,95,11.0,2024-05-17 00:40:55,3
41,11,6011,0.0,2188,10,7,9.0,11,6970,6965,6959,96,10.0,2024-05-17 00:41:56,3
42,10,6009,0.0,2408,9,7,9.0,10,6969,6964,6958,95,10.0,2024-05-17 00:42:56,2
43,14,6008,0.0,2537,9,6,9.0,10,6973,6966,6960,95,10.0,2024-05-17 00:43:56,2
44,4,6008,0.0,2445,10,8,10.0,12,6951,6946,6941,96,10.0,2024-05-17 00:44:57,3
45,5,6010,0.0,2629,9,6,9.0,10,6969,6963,6958,95,10.0,2024-05-17 00:45:57,2
46,5,6011,0.0,2650,10,6,9.0,10,6970,6965,6959,95,10.0,2024-05-17 00:46:57,2
47,5,6009,0.0,1170,11,9,11.0,12,6973,6968,6963,96,12.0,2024-05-17 00:47:58,3
48,8,6013,0.0,2148,9,7,9.0,10,6970,6964,6958,95,10.0,2024-05-17 00:48:58,2
49,9,6010,0.0,2463,10,7,9.0,11,6972,6966,6960,95,11.0,2024-05-17 00:49:58,2
50,12,6010,0.0,1563,11,9,11.0,12,6970,6965,6961,96,11.0,2024-05-17 00:50:59,3
51,10,6010,0.0,1700,9,6,8.0,10,6969,6964,6959,95,10.0,2024-05-17 00:51:59,3
52,10,6008,0.0,2818,9,6,9.0,10,6971,6966,6961,96,10.0,2024-05-17 00:52:59,2
