index,1-15-10_v,1-15-12_v,1-15-11_v,1-15-13_v,1-15-9_v,1-15-8_v,1-15-7_v,1-15-6_v,1-15-5_v,1-15-4_v,1-15-3_v,1-15-2_v,1-15-1_v,1-15-0_v,csvTime
0,6009,0.0,10,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6974,6971,6967,2024-05-17 00:00:19
1,6009,0.0,10,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6976,6971,6966,2024-05-17 00:01:19
2,6010,0.0,10,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6974,6970,6966,2024-05-17 00:02:19
3,6009,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6976,6972,6968,2024-05-17 00:03:20
4,6009,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6966,2024-05-17 00:04:20
5,6009,0.0,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6965,2024-05-17 00:05:21
6,6007,0.0,13,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6974,6969,6965,2024-05-17 00:06:21
7,6008,0.0,11,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6973,6969,6964,2024-05-17 00:07:21
8,6009,0.0,4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6974,6969,6965,2024-05-17 00:08:21
9,6007,0.0,5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6973,6969,6965,2024-05-17 00:09:22
10,6008,0.0,6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6972,6967,6963,2024-05-17 00:10:22
11,6007,0.0,4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6971,6966,2024-05-17 00:11:22
12,6007,0.0,4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6976,6971,6967,2024-05-17 00:12:22
13,6007,0.0,9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6972,6968,6964,2024-05-17 00:13:23
14,6006,0.0,4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6965,2024-05-17 00:14:23
15,6007,0.0,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6971,6966,2024-05-17 00:15:24
16,6007,0.0,6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6974,6969,6965,2024-05-17 00:16:24
17,6007,0.0,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6973,6969,6964,2024-05-17 00:17:24
18,6006,0.0,11,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6965,2024-05-17 00:18:24
19,6006,0.0,4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6973,6969,6964,2024-05-17 00:19:25
20,6007,0.0,11,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6973,6967,6962,2024-05-17 00:20:25
21,6006,0.0,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6974,6969,6964,2024-05-17 00:21:25
22,6005,0.0,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6969,6964,2024-05-17 00:22:25
23,6006,0.0,11,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6974,6969,6964,2024-05-17 00:23:26
24,6005,0.0,9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6966,2024-05-17 00:24:26
25,6005,0.0,10,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6965,2024-05-17 00:25:26
26,6007,0.0,6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6965,2024-05-17 00:26:26
27,6006,0.0,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6973,6969,6964,2024-05-17 00:27:26
28,6005,0.0,5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6975,6970,6965,2024-05-17 00:28:26
