index,Ajia-0_v,Ajia-2_v,Ajia-1_v,Ajia-4_v,Ajia-3_v,Ajia-5_v,csvTime,key_action,running_status,current_status,full_swing,directional_swing,stage
0,error,error,error,error,-1.0,-1.0,2024-09-25 00:00:53,False,未运行,False,False,False,False
1,error,error,error,error,-1.0,-1.0,2024-09-25 00:01:53,False,未运行,False,False,False,False
2,error,error,error,error,-1.0,-1.0,2024-09-25 00:02:53,False,未运行,False,False,False,False
3,error,error,error,error,-1.0,-1.0,2024-09-25 00:03:53,False,未运行,False,False,False,False
4,error,error,error,error,-1.0,-1.0,2024-09-25 00:04:53,False,未运行,False,False,False,False
5,error,error,error,error,-1.0,-1.0,2024-09-25 00:05:53,False,未运行,False,False,False,False
6,error,error,error,error,-1.0,-1.0,2024-09-25 00:06:53,False,未运行,False,False,False,False
7,error,error,error,error,-1.0,-1.0,2024-09-25 00:07:53,False,未运行,False,False,False,False
8,error,error,error,error,-1.0,-1.0,2024-09-25 00:08:53,False,未运行,False,False,False,False
9,error,error,error,error,-1.0,-1.0,2024-09-25 00:09:53,False,未运行,False,False,False,False
10,error,error,error,error,-1.0,-1.0,2024-09-25 00:10:53,False,未运行,False,False,False,False
11,error,error,error,error,-1.0,-1.0,2024-09-25 00:11:53,False,未运行,False,False,False,False
12,error,error,error,error,-1.0,-1.0,2024-09-25 00:12:53,False,未运行,False,False,False,False
13,error,error,error,error,-1.0,-1.0,2024-09-25 00:13:54,False,未运行,False,False,False,False
14,error,error,error,error,-1.0,-1.0,2024-09-25 00:14:53,False,未运行,False,False,False,False
15,error,error,error,error,-1.0,-1.0,2024-09-25 00:15:53,False,未运行,False,False,False,False
16,error,error,error,error,-1.0,-1.0,2024-09-25 00:16:53,False,未运行,False,False,False,False
17,error,error,error,error,-1.0,-1.0,2024-09-25 00:17:53,False,未运行,False,False,False,False
18,error,error,error,error,-1.0,-1.0,2024-09-25 00:18:54,False,未运行,False,False,False,False
19,error,error,error,error,-1.0,-1.0,2024-09-25 00:19:53,False,未运行,False,False,False,False
20,error,error,error,error,-1.0,-1.0,2024-09-25 00:20:53,False,未运行,False,False,False,False
21,error,error,error,error,-1.0,-1.0,2024-09-25 00:21:53,False,未运行,False,False,False,False
22,error,error,error,error,-1.0,-1.0,2024-09-25 00:22:53,False,未运行,False,False,False,False
23,error,error,error,error,-1.0,-1.0,2024-09-25 00:23:53,False,未运行,False,False,False,False
24,error,error,error,error,-1.0,-1.0,2024-09-25 00:24:54,False,未运行,False,False,False,False
25,error,error,error,error,-1.0,-1.0,2024-09-25 00:25:53,False,未运行,False,False,False,False
26,error,error,error,error,-1.0,-1.0,2024-09-25 00:26:53,False,未运行,False,False,False,False
27,error,error,error,error,-1.0,-1.0,2024-09-25 00:27:53,False,未运行,False,False,False,False
28,error,error,error,error,-1.0,-1.0,2024-09-25 00:28:53,False,未运行,False,False,False,False
29,error,error,error,error,-1.0,-1.0,2024-09-25 00:29:53,False,未运行,False,False,False,False
30,error,error,error,error,-1.0,-1.0,2024-09-25 00:30:53,False,未运行,False,False,False,False
31,error,error,error,error,-1.0,-1.0,2024-09-25 00:31:53,False,未运行,False,False,False,False
32,error,error,error,error,-1.0,-1.0,2024-09-25 00:32:53,False,未运行,False,False,False,False
33,error,error,error,error,-1.0,-1.0,2024-09-25 00:33:53,False,未运行,False,False,False,False
34,error,error,error,error,-1.0,-1.0,2024-09-25 00:34:53,False,未运行,False,False,False,False
35,error,error,error,error,-1.0,-1.0,2024-09-25 00:35:53,False,未运行,False,False,False,False
36,error,error,error,error,-1.0,-1.0,2024-09-25 00:36:53,False,未运行,False,False,False,False
37,error,error,error,error,-1.0,-1.0,2024-09-25 00:37:53,False,未运行,False,False,False,False
38,error,error,error,error,-1.0,-1.0,2024-09-25 00:38:53,False,未运行,False,False,False,False
39,error,error,error,error,-1.0,-1.0,2024-09-25 00:39:53,False,未运行,False,False,False,False
40,error,error,error,error,-1.0,-1.0,2024-09-25 00:40:53,False,未运行,False,False,False,False
41,error,error,error,error,-1.0,-1.0,2024-09-25 00:41:53,False,未运行,False,False,False,False
42,error,error,error,error,-1.0,-1.0,2024-09-25 00:42:53,False,未运行,False,False,False,False
43,error,error,error,error,-1.0,-1.0,2024-09-25 00:43:53,False,未运行,False,False,False,False
44,error,error,error,error,-1.0,-1.0,2024-09-25 00:44:53,False,未运行,False,False,False,False
45,error,error,error,error,-1.0,-1.0,2024-09-25 00:45:53,False,未运行,False,False,False,False
46,error,error,error,error,-1.0,-1.0,2024-09-25 00:46:53,False,未运行,False,False,False,False
47,error,error,error,error,-1.0,-1.0,2024-09-25 00:47:53,False,未运行,False,False,False,False
48,error,error,error,error,-1.0,-1.0,2024-09-25 00:48:53,False,未运行,False,False,False,False
49,error,error,error,error,-1.0,-1.0,2024-09-25 00:49:53,False,未运行,False,False,False,False
50,error,error,error,error,-1.0,-1.0,2024-09-25 00:50:53,False,未运行,False,False,False,False
51,error,error,error,error,-1.0,-1.0,2024-09-25 00:51:53,False,未运行,False,False,False,False
52,error,error,error,error,-1.0,-1.0,2024-09-25 00:52:53,False,未运行,False,False,False,False
53,error,error,error,error,-1.0,-1.0,2024-09-25 00:53:53,False,未运行,False,False,False,False
54,error,error,error,error,-1.0,-1.0,2024-09-25 00:54:53,False,未运行,False,False,False,False
55,error,error,error,error,-1.0,-1.0,2024-09-25 00:55:53,False,未运行,False,False,False,False
56,error,error,error,error,-1.0,-1.0,2024-09-25 00:56:53,False,未运行,False,False,False,False
57,error,error,error,error,-1.0,-1.0,2024-09-25 00:57:53,False,未运行,False,False,False,False
58,error,error,error,error,-1.0,-1.0,2024-09-25 00:58:53,False,未运行,False,False,False,False
59,error,error,error,error,-1.0,-1.0,2024-09-25 01:00:53,False,未运行,False,False,False,False
60,error,error,error,error,-1.0,-1.0,2024-09-25 01:01:53,False,未运行,False,False,False,False
61,error,error,error,error,-1.0,-1.0,2024-09-25 01:02:53,False,未运行,False,False,False,False
62,error,error,error,error,-1.0,-1.0,2024-09-25 01:03:53,False,未运行,False,False,False,False
63,error,error,error,error,-1.0,-1.0,2024-09-25 01:04:53,False,未运行,False,False,False,False
64,error,error,error,error,-1.0,-1.0,2024-09-25 01:05:53,False,未运行,False,False,False,False
65,error,error,error,error,-1.0,-1.0,2024-09-25 01:06:53,False,未运行,False,False,False,False
66,error,error,error,error,-1.0,-1.0,2024-09-25 01:07:53,False,未运行,False,False,False,False
67,error,error,error,error,-1.0,-1.0,2024-09-25 01:08:53,False,未运行,False,False,False,False
68,error,error,error,error,-1.0,-1.0,2024-09-25 01:09:53,False,未运行,False,False,False,False
69,error,error,error,error,-1.0,-1.0,2024-09-25 01:10:53,False,未运行,False,False,False,False
70,error,error,error,error,-1.0,-1.0,2024-09-25 01:11:53,False,未运行,False,False,False,False
71,error,error,error,error,-1.0,-1.0,2024-09-25 01:12:53,False,未运行,False,False,False,False
72,error,error,error,error,-1.0,-1.0,2024-09-25 01:13:53,False,未运行,False,False,False,False
73,error,error,error,error,-1.0,-1.0,2024-09-25 01:14:53,False,未运行,False,False,False,False
74,error,error,error,error,-1.0,-1.0,2024-09-25 01:15:53,False,未运行,False,False,False,False
75,error,error,error,error,-1.0,-1.0,2024-09-25 01:16:53,False,未运行,False,False,False,False
76,error,error,error,error,-1.0,-1.0,2024-09-25 01:17:53,False,未运行,False,False,False,False
77,error,error,error,error,-1.0,-1.0,2024-09-25 01:18:53,False,未运行,False,False,False,False
78,error,error,error,error,-1.0,-1.0,2024-09-25 01:19:53,False,未运行,False,False,False,False
