index,PLC_point0_value,PLC_point1_value,PLC_point7_value,PLC_point5_value,PLC_point8_value,PLC_point4_value,PLC_point3_value,PLC_point2_value,PLC_point6_value,csvTime,deploy_retrieve_status
0,error,error,error,error,error,error,error,error,error,2024-09-25 00:00:34,false
1,error,error,error,error,error,error,error,error,error,2024-09-25 00:01:34,false
2,error,error,error,error,error,error,error,error,error,2024-09-25 00:02:34,false
3,error,error,error,error,error,error,error,error,error,2024-09-25 00:03:34,false
4,error,error,error,error,error,error,error,error,error,2024-09-25 00:04:34,false
5,error,error,error,error,error,error,error,error,error,2024-09-25 00:05:34,false
6,error,error,error,error,error,error,error,error,error,2024-09-25 00:06:34,false
7,error,error,error,error,error,error,error,error,error,2024-09-25 00:07:34,false
8,error,error,error,error,error,error,error,error,error,2024-09-25 00:08:34,false
9,error,error,error,error,error,error,error,error,error,2024-09-25 00:09:34,false
10,error,error,error,error,error,error,error,error,error,2024-09-25 00:10:34,false
11,error,error,error,error,error,error,error,error,error,2024-09-25 00:11:34,false
12,error,error,error,error,error,error,error,error,error,2024-09-25 00:12:34,false
13,error,error,error,error,error,error,error,error,error,2024-09-25 00:13:34,false
14,error,error,error,error,error,error,error,error,error,2024-09-25 00:14:34,false
15,error,error,error,error,error,error,error,error,error,2024-09-25 00:15:34,false
16,error,error,error,error,error,error,error,error,error,2024-09-25 00:16:34,false
17,error,error,error,error,error,error,error,error,error,2024-09-25 00:17:34,false
18,error,error,error,error,error,error,error,error,error,2024-09-25 00:18:34,false
19,error,error,error,error,error,error,error,error,error,2024-09-25 00:19:34,false
20,error,error,error,error,error,error,error,error,error,2024-09-25 00:20:34,false
21,error,error,error,error,error,error,error,error,error,2024-09-25 00:21:34,false
22,error,error,error,error,error,error,error,error,error,2024-09-25 00:22:34,false
23,error,error,error,error,error,error,error,error,error,2024-09-25 00:23:34,false
24,error,error,error,error,error,error,error,error,error,2024-09-25 00:24:34,false
25,error,error,error,error,error,error,error,error,error,2024-09-25 00:25:34,false
26,error,error,error,error,error,error,error,error,error,2024-09-25 00:26:34,false
27,error,error,error,error,error,error,error,error,error,2024-09-25 00:27:34,false
28,error,error,error,error,error,error,error,error,error,2024-09-25 00:28:34,false
29,error,error,error,error,error,error,error,error,error,2024-09-25 00:29:34,false
30,error,error,error,error,error,error,error,error,error,2024-09-25 00:30:34,false
31,error,error,error,error,error,error,error,error,error,2024-09-25 00:31:34,false
32,error,error,error,error,error,error,error,error,error,2024-09-25 00:32:34,false
