index,csvTime,P2_2,P2_3,P2_25,P2_24
0,2024-05-17 00:00:48,0,0,106,1803
1,2024-05-17 00:01:49,0,0,107,1803
2,2024-05-17 00:02:48,0,0,107,1804
3,2024-05-17 00:03:49,0,0,106,1802
4,2024-05-17 00:04:49,0,0,106,1802
5,2024-05-17 00:05:49,0,0,108,1804
6,2024-05-17 00:06:49,0,0,109,1802
7,2024-05-17 00:07:48,0,0,110,1802
8,2024-05-17 00:08:48,0,0,112,1802
9,2024-05-17 00:09:48,8,0,107,1802
10,2024-05-17 00:10:49,0,0,109,1805
11,2024-05-17 00:11:49,0,0,107,1803
12,2024-05-17 00:12:48,0,0,109,1802
13,2024-05-17 00:13:49,0,0,108,1804
14,2024-05-17 00:14:49,0,0,109,1803
15,2024-05-17 00:15:49,0,0,107,1803
16,2024-05-17 00:16:49,0,0,108,1805
17,2024-05-17 00:17:49,0,0,110,1802
18,2024-05-17 00:18:48,0,0,110,1800
19,2024-05-17 00:19:49,8,0,113,1803
20,2024-05-17 00:20:48,0,0,112,1801
21,2024-05-17 00:21:49,0,0,114,1802
22,2024-05-17 00:22:49,0,0,113,1802
23,2024-05-17 00:23:49,0,0,111,1802
24,2024-05-17 00:24:49,0,0,111,1802
25,2024-05-17 00:25:48,0,0,114,1802
26,2024-05-17 00:26:49,0,0,113,1802
27,2024-05-17 00:27:49,0,0,114,1802
28,2024-05-17 00:28:49,0,0,110,1800
29,2024-05-17 00:29:49,8,0,111,1803
30,2024-05-17 00:30:49,0,0,108,1803
31,2024-05-17 00:31:49,0,0,110,1801
32,2024-05-17 00:32:49,0,0,107,1806
33,2024-05-17 00:33:48,0,0,107,1804
34,2024-05-17 00:34:48,0,0,108,1804
35,2024-05-17 00:35:48,0,0,108,1805
36,2024-05-17 00:36:48,0,0,107,1803
37,2024-05-17 00:37:49,0,0,106,1803
38,2024-05-17 00:38:49,8,0,106,1800
39,2024-05-17 00:39:48,8,0,110,1802
40,2024-05-17 00:40:49,0,0,106,1805
41,2024-05-17 00:41:49,0,0,110,1803
42,2024-05-17 00:42:49,0,0,110,1803
43,2024-05-17 00:43:49,0,0,108,1804
44,2024-05-17 00:44:49,0,0,111,1803
45,2024-05-17 00:45:49,0,0,113,1803
46,2024-05-17 00:46:49,0,0,110,1803
47,2024-05-17 00:47:49,8,0,110,1800
48,2024-05-17 00:48:49,8,0,110,1800
49,2024-05-17 00:49:48,0,0,108,1803
50,2024-05-17 00:50:48,0,0,108,1803
51,2024-05-17 00:51:49,0,0,108,1802
52,2024-05-17 00:52:49,0,0,110,1805
53,2024-05-17 00:53:48,0,0,109,1802
54,2024-05-17 00:54:49,0,0,110,1802
55,2024-05-17 00:55:48,0,0,110,1802
56,2024-05-17 00:56:49,0,0,110,1803
