index,13-3-3_v,13-3-2_v,13-3-5_v,13-3-4_v,13-3-1_v,13-3-0_v,13-3-7_v,13-3-6_v,13-3-9_v,13-3-8_v,13-3-12_v,13-3-11_v,13-3-13_v,13-3-10_v,csvTime
0,12.0,6976.0,10,11,6970,6965,3.0,11,94.0,11.0,649,4,0.0,6010,2024-05-17 00:00:45
1,9.0,6976.0,6,8,6971,6965,3.0,8,94.0,9.0,2005,4,0.0,6008,2024-05-17 00:01:46
2,11.0,6978.0,10,10,6972,6966,3.0,10,94.0,11.0,586,8,0.0,6008,2024-05-17 00:02:46
3,11.0,6977.0,9,10,6972,6966,3.0,9,94.0,10.0,1049,3,0.0,6009,2024-05-17 00:03:46
4,9.0,6976.0,7,8,6970,6964,3.0,8,94.0,8.0,953,7,0.0,6009,2024-05-17 00:04:47
5,9.0,6973.0,7,8,6968,6963,3.0,8,94.0,9.0,1642,8,0.0,6009,2024-05-17 00:05:47
6,9.0,6976.0,7,8,6971,6965,3.0,9,94.0,9.0,1485,13,0.0,6008,2024-05-17 00:06:48
7,10.0,6976.0,8,9,6970,6964,3.0,9,94.0,10.0,1309,16,0.0,6008,2024-05-17 00:07:48
8,9.0,6976.0,7,8,6970,6964,3.0,8,94.0,9.0,1208,10,0.0,6009,2024-05-17 00:08:48
9,10.0,6977.0,8,9,6970,6964,3.0,9,94.0,9.0,1082,15,0.0,6007,2024-05-17 00:09:48
10,9.0,6977.0,6,8,6971,6965,3.0,8,94.0,9.0,1932,4,0.0,6007,2024-05-17 00:10:48
11,11.0,6976.0,8,10,6970,6963,3.0,9,94.0,10.0,1242,13,0.0,6007,2024-05-17 00:11:49
12,9.0,6975.0,6,8,6968,6962,3.0,8,93.0,9.0,1824,14,0.0,6008,2024-05-17 00:12:49
13,10.0,6975.0,7,9,6969,6962,3.0,9,94.0,9.0,1438,6,0.0,6007,2024-05-17 00:13:50
14,13.0,6975.0,10,12,6969,6963,3.0,11,95.0,11.0,1412,10,0.0,6008,2024-05-17 00:14:50
15,9.0,6976.0,7,8,6970,6964,3.0,8,94.0,9.0,1733,5,0.0,6007,2024-05-17 00:15:50
16,9.0,6977.0,8,9,6970,6963,3.0,8,94.0,9.0,1084,16,0.0,6006,2024-05-17 00:16:50
17,9.0,6977.0,7,8,6970,6963,3.0,8,94.0,9.0,1604,5,0.0,6008,2024-05-17 00:17:51
18,9.0,6975.0,7,8,6969,6963,3.0,8,94.0,9.0,1523,6,0.0,6007,2024-05-17 00:18:51
19,9.0,6978.0,6,8,6971,6964,3.0,8,94.0,9.0,1977,14,0.0,6006,2024-05-17 00:19:51
20,9.0,6976.0,7,8,6969,6963,3.0,8,94.0,9.0,1464,9,0.0,6006,2024-05-17 00:20:51
21,9.0,6976.0,6,8,6969,6963,3.0,8,94.0,9.0,1717,9,0.0,6005,2024-05-17 00:21:51
22,9.0,6976.0,6,8,6971,6965,3.0,8,93.0,9.0,1900,6,0.0,6005,2024-05-17 00:22:52
23,9.0,6977.0,6,8,6970,6963,3.0,8,94.0,9.0,1896,14,0.0,6006,2024-05-17 00:23:52
24,9.0,6978.0,6,8,6972,6965,3.0,8,94.0,9.0,1940,13,0.0,6006,2024-05-17 00:24:52
25,9.0,6976.0,6,8,6970,6963,3.0,8,94.0,9.0,1969,13,0.0,6007,2024-05-17 00:25:52
26,9.0,6976.0,6,8,6970,6964,3.0,8,94.0,9.0,1804,5,0.0,6006,2024-05-17 00:26:52
27,9.0,6977.0,6,8,6970,6964,3.0,8,94.0,9.0,2027,6,0.0,6005,2024-05-17 00:27:53
28,0.0,6977.0,0,0,6970,6963,1.0,3,100.0,3.0,0,16,0.0,6006,2024-05-17 00:28:53
29,9.0,6978.0,6,8,6971,6965,3.0,8,94.0,9.0,1985,13,0.0,6005,2024-05-17 00:29:53
30,9.0,6977.0,6,8,6970,6964,3.0,8,94.0,9.0,1826,7,0.0,6008,2024-05-17 00:30:53
31,9.0,6978.0,6,8,6972,6965,3.0,8,94.0,9.0,1917,6,0.0,6009,2024-05-17 00:31:53
32,9.0,6978.0,6,8,6971,6964,3.0,8,94.0,9.0,1792,11,0.0,6010,2024-05-17 00:32:54
33,9.0,6977.0,6,8,6971,6965,3.0,8,94.0,9.0,1745,12,0.0,6011,2024-05-17 00:33:54
34,1.0,6979.0,0,0,6972,6964,1.0,3,100.0,3.0,10000,16,0.0,6010,2024-05-17 00:34:54
35,0.0,6979.0,0,0,6971,6964,1.0,2,100.0,3.0,0,10,0.0,6011,2024-05-17 00:35:54
36,0.0,6978.0,0,0,6972,6966,1.0,2,100.0,2.0,0,4,0.0,6011,2024-05-17 00:36:54
37,0.0,6977.0,0,0,6971,6964,1.0,2,100.0,2.0,0,16,0.0,6011,2024-05-17 00:37:54
