index,13-11-1_v,13-11-2_v,13-11-0_v,13-11-5_v,13-11-6_v,13-11-3_v,13-11-4_v,13-11-9_v,13-11-11_v,13-11-10_v,13-11-7_v,13-11-13_v,csvTime,13-11-8_v,13-11-12_v,key_action,stage,13-11-6_v_new,running_status
0,6964,6956,6971,0,0,0,0,100,8,5998,0,,2024-09-25 00:01:00,0,0,False,False,0,未运行
1,6963,6956,6971,0,0,0,0,100,11,5998,0,,2024-09-25 00:02:00,0,0,False,False,0,未运行
2,6963,6955,6971,0,0,0,0,100,12,5998,0,,2024-09-25 00:02:59,0,0,False,False,0,未运行
3,6962,6954,6970,0,0,0,0,100,17,5998,0,,2024-09-25 00:04:01,0,0,False,False,0,未运行
4,6964,6956,6971,0,0,0,0,100,8,5999,0,,2024-09-25 00:05:01,0,0,False,False,0,未运行
5,6963,6955,6971,0,0,0,0,100,11,5998,0,,2024-09-25 00:06:01,0,0,False,False,0,未运行
6,6963,6955,6971,0,0,0,0,100,17,5998,0,,2024-09-25 00:07:00,0,0,False,False,0,未运行
7,6963,6954,6973,0,0,0,0,100,20,5999,0,,2024-09-25 00:08:02,0,0,False,False,0,未运行
8,6962,6952,6971,0,0,0,0,100,14,6000,0,,2024-09-25 00:09:02,0,0,False,False,0,未运行
9,6964,6954,6973,0,0,0,0,100,10,5998,0,,2024-09-25 00:10:01,0,0,False,False,0,未运行
10,6963,6953,6972,0,0,0,0,100,11,5998,0,,2024-09-25 00:11:01,0,0,False,False,0,未运行
11,6964,6955,6973,0,0,0,0,100,10,6000,0,,2024-09-25 00:12:01,0,0,False,False,0,未运行
12,6963,6954,6972,0,0,0,0,100,20,5999,0,,2024-09-25 00:13:03,0,0,False,False,0,未运行
13,6964,6954,6973,0,0,0,0,100,15,5999,0,,2024-09-25 00:14:02,0,0,False,False,0,未运行
14,6963,6954,6973,0,0,0,0,100,15,5999,0,,2024-09-25 00:15:02,0,0,False,False,0,未运行
15,6963,6953,6972,0,0,0,0,100,14,6001,0,,2024-09-25 00:16:04,0,0,False,False,0,未运行
16,6963,6953,6973,0,0,0,0,100,20,6001,0,,2024-09-25 00:17:04,0,0,False,False,0,未运行
17,6963,6953,6973,0,0,0,0,100,14,6002,0,,2024-09-25 00:18:04,0,0,False,False,0,未运行
18,6964,6954,6974,0,0,0,0,100,11,6001,0,,2024-09-25 00:19:04,0,0,False,False,0,未运行
19,6962,6953,6971,0,0,0,0,100,10,6001,0,,2024-09-25 00:20:04,0,0,False,False,0,未运行
20,6962,6953,6970,0,0,0,0,100,10,6000,0,,2024-09-25 00:21:03,0,0,False,False,0,未运行
21,6962,6953,6970,0,0,0,0,100,14,6001,0,,2024-09-25 00:22:03,0,0,False,False,0,未运行
22,6962,6953,6971,0,0,0,0,100,13,6001,0,,2024-09-25 00:23:03,0,0,False,False,0,未运行
23,6962,6954,6971,0,0,0,0,100,9,5999,0,,2024-09-25 00:24:05,0,0,False,False,0,未运行
24,6960,6952,6968,0,0,0,0,100,14,5999,0,,2024-09-25 00:25:05,0,0,False,False,0,未运行
25,6960,6952,6969,0,0,0,0,100,17,6000,0,,2024-09-25 00:26:05,0,0,False,False,0,未运行
26,6962,6954,6970,0,0,0,0,100,9,5999,0,,2024-09-25 00:27:04,0,0,False,False,0,未运行
27,6963,6956,6970,0,0,0,0,100,9,6000,0,,2024-09-25 00:28:04,0,0,False,False,0,未运行
28,6962,6955,6970,0,0,0,0,100,10,6002,0,,2024-09-25 00:29:04,0,0,False,False,0,未运行
29,6964,6956,6971,0,0,0,0,100,16,6002,0,,2024-09-25 00:30:04,0,0,False,False,0,未运行
30,6963,6955,6970,0,0,0,0,100,16,6000,0,,2024-09-25 00:31:04,0,0,False,False,0,未运行
31,6963,6955,6970,0,0,0,0,100,15,6000,0,,2024-09-25 00:32:04,0,0,False,False,0,未运行
32,6963,6956,6971,0,0,0,0,100,14,6001,0,,2024-09-25 00:33:04,0,0,False,False,0,未运行
33,6965,6958,6972,0,0,0,0,100,6,6002,0,,2024-09-25 00:34:06,0,0,False,False,0,未运行
34,6963,6956,6970,0,0,0,0,100,6,6001,0,,2024-09-25 00:35:06,0,0,False,False,0,未运行
35,6962,6955,6969,0,0,0,0,100,6,6001,0,,2024-09-25 00:36:06,0,0,False,False,0,未运行
36,6963,6956,6970,0,0,0,0,100,7,6001,0,,2024-09-25 00:37:06,0,0,False,False,0,未运行
37,6963,6956,6970,0,0,0,0,100,8,6001,0,,2024-09-25 00:38:06,0,0,False,False,0,未运行
38,6959,6952,6967,0,0,0,0,100,17,6000,0,,2024-09-25 00:39:06,0,0,False,False,0,未运行
39,6960,6953,6967,0,0,0,0,100,11,5999,0,,2024-09-25 00:40:06,0,0,False,False,0,未运行
40,6962,6954,6970,0,0,0,0,100,17,5999,0,,2024-09-25 00:41:06,0,0,False,False,0,未运行
41,6961,6953,6969,0,0,0,0,100,16,5998,0,,2024-09-25 00:42:06,0,0,False,False,0,未运行
42,6960,6953,6967,0,0,0,0,100,8,5998,0,,2024-09-25 00:43:05,0,0,False,False,0,未运行
43,6960,6953,6968,0,0,0,0,100,10,5998,0,,2024-09-25 00:44:05,0,0,False,False,0,未运行
44,6960,6953,6968,0,0,0,0,100,8,5996,0,,2024-09-25 00:45:06,0,0,False,False,0,未运行
45,6960,6952,6968,0,0,0,0,100,8,5998,0,,2024-09-25 00:46:06,0,0,False,False,0,未运行
46,6960,6952,6968,0,0,0,0,100,8,5998,0,,2024-09-25 00:47:06,0,0,False,False,0,未运行
47,6962,6953,6972,0,0,0,0,100,19,6003,0,,2024-09-25 00:48:07,0,0,False,False,0,未运行
48,6963,6954,6972,0,0,0,0,100,10,6001,0,,2024-09-25 00:49:08,0,0,False,False,0,未运行
49,6965,6956,6974,0,0,0,0,100,18,6001,0,,2024-09-25 00:50:08,0,0,False,False,0,未运行
50,6964,6954,6973,0,0,0,0,100,19,6001,0,,2024-09-25 00:51:08,0,0,False,False,0,未运行
51,6963,6954,6972,0,0,0,0,100,11,6001,0,,2024-09-25 00:52:08,0,0,False,False,0,未运行
52,6963,6953,6972,0,0,0,0,100,19,6002,0,,2024-09-25 00:53:08,0,0,False,False,0,未运行
53,6962,6953,6971,0,0,0,0,100,10,6002,0,,2024-09-25 00:54:08,0,0,False,False,0,未运行
54,6963,6954,6972,0,0,0,0,100,19,6001,0,,2024-09-25 00:55:08,0,0,False,False,0,未运行
55,6963,6954,6972,0,0,0,0,100,10,6003,0,,2024-09-25 00:56:10,0,0,False,False,0,未运行
56,6963,6954,6971,0,0,0,0,100,9,6003,0,,2024-09-25 00:57:10,0,0,False,False,0,未运行
57,6963,6954,6971,0,0,0,0,100,13,6004,0,,2024-09-25 00:58:10,0,0,False,False,0,未运行
58,6966,6957,6975,0,0,0,0,100,17,6004,0,,2024-09-25 01:00:10,0,0,False,False,0,未运行
59,6965,6957,6974,0,0,0,0,100,16,6005,0,,2024-09-25 01:01:09,0,0,False,False,0,未运行
60,6965,6956,6974,0,0,0,0,100,18,6004,0,,2024-09-25 01:02:09,0,0,False,False,0,未运行
61,6963,6955,6971,0,0,0,0,100,13,6003,0,,2024-09-25 01:03:09,0,0,False,False,0,未运行
62,6964,6956,6972,0,0,0,0,100,8,6003,0,,2024-09-25 01:04:11,0,0,False,False,0,未运行
63,6964,6956,6973,0,0,0,0,100,17,6004,0,,2024-09-25 01:05:11,0,0,False,False,0,未运行
64,6965,6956,6973,0,0,0,0,100,15,6002,0,,2024-09-25 01:06:11,0,0,False,False,0,未运行
65,6963,6954,6972,0,0,0,0,100,18,6002,0,,2024-09-25 01:07:11,0,0,False,False,0,未运行
66,6964,6955,6972,0,0,0,0,100,17,6002,0,,2024-09-25 01:08:11,0,0,False,False,0,未运行
67,6963,6954,6971,0,0,0,0,100,18,6002,0,,2024-09-25 01:09:11,0,0,False,False,0,未运行
68,6960,6951,6968,0,0,0,0,100,14,6000,0,,2024-09-25 01:10:11,0,0,False,False,0,未运行
69,6961,6953,6969,0,0,0,0,100,17,6000,0,,2024-09-25 01:11:10,0,0,False,False,0,未运行
70,6961,6953,6969,0,0,0,0,100,9,5998,0,,2024-09-25 01:12:10,0,0,False,False,0,未运行
71,6962,6953,6970,0,0,0,0,100,11,5998,0,,2024-09-25 01:13:12,0,0,False,False,0,未运行
72,6961,6952,6969,0,0,0,0,100,10,5998,0,,2024-09-25 01:14:12,0,0,False,False,0,未运行
73,6960,6951,6968,0,0,0,0,100,18,5999,0,,2024-09-25 01:15:12,0,0,False,False,0,未运行
74,6962,6954,6971,0,0,0,0,100,9,5997,0,,2024-09-25 01:16:11,0,0,False,False,0,未运行
75,6961,6953,6969,0,0,0,0,100,13,5999,0,,2024-09-25 01:17:11,0,0,False,False,0,未运行
76,6961,6953,6969,0,0,0,0,100,18,5999,0,,2024-09-25 01:18:13,0,0,False,False,0,未运行
77,6961,6953,6970,0,0,0,0,100,9,5999,0,,2024-09-25 01:19:13,0,0,False,False,0,未运行
78,6960,6952,6969,0,0,0,0,100,16,5998,0,,2024-09-25 01:20:13,0,0,False,False,0,未运行
79,6960,6952,6968,0,0,0,0,100,16,5998,0,,2024-09-25 01:21:13,0,0,False,False,0,未运行
80,6960,6951,6968,0,0,0,0,100,10,5998,0,,2024-09-25 01:22:13,0,0,False,False,0,未运行
81,6960,6952,6968,0,0,0,0,100,15,5999,0,,2024-09-25 01:23:12,0,0,False,False,0,未运行
82,6961,6953,6969,0,0,0,0,100,8,5998,0,,2024-09-25 01:24:12,0,0,False,False,0,未运行
83,6960,6952,6968,0,0,0,0,100,9,5999,0,,2024-09-25 01:25:12,0,0,False,False,0,未运行
84,6959,6951,6967,0,0,0,0,100,8,5999,0,,2024-09-25 01:26:14,0,0,False,False,0,未运行
85,6960,6952,6968,0,0,0,0,100,13,5999,0,,2024-09-25 01:27:14,0,0,False,False,0,未运行
86,6963,6955,6971,0,0,0,0,100,16,6000,0,,2024-09-25 01:28:14,0,0,False,False,0,未运行
87,6963,6955,6970,0,0,0,0,100,14,6001,0,,2024-09-25 01:29:14,0,0,False,False,0,未运行
88,6964,6956,6972,0,0,0,0,100,15,6002,0,,2024-09-25 01:30:14,0,0,False,False,0,未运行
89,6964,6957,6971,0,0,0,0,100,9,6002,0,,2024-09-25 01:31:14,0,0,False,False,0,未运行
90,6962,6954,6970,0,0,0,0,100,17,6001,0,,2024-09-25 01:32:14,0,0,False,False,0,未运行
91,6963,6955,6970,0,0,0,0,100,13,6000,0,,2024-09-25 01:33:13,0,0,False,False,0,未运行
92,6966,6957,6975,0,0,0,0,100,18,6004,0,,2024-09-25 01:34:13,0,0,False,False,0,未运行
