,Ajia-0_v,Ajia-2_v,Ajia-1_v,Ajia-4_v,Ajia-3_v,Ajia-5_v,csvTime
0,error,error,error,error,error,error,2024-09-25 00:00:53
1,error,error,error,error,error,error,2024-09-25 00:01:53
2,error,error,error,error,error,error,2024-09-25 00:02:53
3,error,error,error,error,error,error,2024-09-25 00:03:53
4,error,error,error,error,error,error,2024-09-25 00:04:53
5,error,error,error,error,error,error,2024-09-25 00:05:53
6,error,error,error,error,error,error,2024-09-25 00:06:53
7,error,error,error,error,error,error,2024-09-25 00:07:53
8,error,error,error,error,error,error,2024-09-25 00:08:53
9,error,error,error,error,error,error,2024-09-25 00:09:53
10,error,error,error,error,error,error,2024-09-25 00:10:53
11,error,error,error,error,error,error,2024-09-25 00:11:53
12,error,error,error,error,error,error,2024-09-25 00:12:53
13,error,error,error,error,error,error,2024-09-25 00:13:54
14,error,error,error,error,error,error,2024-09-25 00:14:53
15,error,error,error,error,error,error,2024-09-25 00:15:53
16,error,error,error,error,error,error,2024-09-25 00:16:53
17,error,error,error,error,error,error,2024-09-25 00:17:53
18,error,error,error,error,error,error,2024-09-25 00:18:54
19,error,error,error,error,error,error,2024-09-25 00:19:53
20,error,error,error,error,error,error,2024-09-25 00:20:53
21,error,error,error,error,error,error,2024-09-25 00:21:53
22,error,error,error,error,error,error,2024-09-25 00:22:53
23,error,error,error,error,error,error,2024-09-25 00:23:53
24,error,error,error,error,error,error,2024-09-25 00:24:54
25,error,error,error,error,error,error,2024-09-25 00:25:53
26,error,error,error,error,error,error,2024-09-25 00:26:53
27,error,error,error,error,error,error,2024-09-25 00:27:53
28,error,error,error,error,error,error,2024-09-25 00:28:53
29,error,error,error,error,error,error,2024-09-25 00:29:53
30,error,error,error,error,error,error,2024-09-25 00:30:53
31,error,error,error,error,error,error,2024-09-25 00:31:53
32,error,error,error,error,error,error,2024-09-25 00:32:53
33,error,error,error,error,error,error,2024-09-25 00:33:53
34,error,error,error,error,error,error,2024-09-25 00:34:53
35,error,error,error,error,error,error,2024-09-25 00:35:53
36,error,error,error,error,error,error,2024-09-25 00:36:53
37,error,error,error,error,error,error,2024-09-25 00:37:53
38,error,error,error,error,error,error,2024-09-25 00:38:53
39,error,error,error,error,error,error,2024-09-25 00:39:53
40,error,error,error,error,error,error,2024-09-25 00:40:53
41,error,error,error,error,error,error,2024-09-25 00:41:53
42,error,error,error,error,error,error,2024-09-25 00:42:53
43,error,error,error,error,error,error,2024-09-25 00:43:53
44,error,error,error,error,error,error,2024-09-25 00:44:53
45,error,error,error,error,error,error,2024-09-25 00:45:53
46,error,error,error,error,error,error,2024-09-25 00:46:53
47,error,error,error,error,error,error,2024-09-25 00:47:53
48,error,error,error,error,error,error,2024-09-25 00:48:53
49,error,error,error,error,error,error,2024-09-25 00:49:53
50,error,error,error,error,error,error,2024-09-25 00:50:53
51,error,error,error,error,error,error,2024-09-25 00:51:53
52,error,error,error,error,error,error,2024-09-25 00:52:53
53,error,error,error,error,error,error,2024-09-25 00:53:53
54,error,error,error,error,error,error,2024-09-25 00:54:53
55,error,error,error,error,error,error,2024-09-25 00:55:53
56,error,error,error,error,error,error,2024-09-25 00:56:53
57,error,error,error,error,error,error,2024-09-25 00:57:53
58,error,error,error,error,error,error,2024-09-25 00:58:53
59,error,error,error,error,error,error,2024-09-25 01:00:53
60,error,error,error,error,error,error,2024-09-25 01:01:53
61,error,error,error,error,error,error,2024-09-25 01:02:53
62,error,error,error,error,error,error,2024-09-25 01:03:53
63,error,error,error,error,error,error,2024-09-25 01:04:53
64,error,error,error,error,error,error,2024-09-25 01:05:53
65,error,error,error,error,error,error,2024-09-25 01:06:53
66,error,error,error,error,error,error,2024-09-25 01:07:53
67,error,error,error,error,error,error,2024-09-25 01:08:53
68,error,error,error,error,error,error,2024-09-25 01:09:53
69,error,error,error,error,error,error,2024-09-25 01:10:53
70,error,error,error,error,error,error,2024-09-25 01:11:53
71,error,error,error,error,error,error,2024-09-25 01:12:53
72,error,error,error,error,error,error,2024-09-25 01:13:53
73,error,error,error,error,error,error,2024-09-25 01:14:53
74,error,error,error,error,error,error,2024-09-25 01:15:53
75,error,error,error,error,error,error,2024-09-25 01:16:53
76,error,error,error,error,error,error,2024-09-25 01:17:53
77,error,error,error,error,error,error,2024-09-25 01:18:53
78,error,error,error,error,error,error,2024-09-25 01:19:53
79,error,error,error,error,error,error,2024-09-25 01:20:53
80,error,error,error,error,error,error,2024-09-25 01:21:53
81,error,error,error,error,error,error,2024-09-25 01:22:53
82,error,error,error,error,error,error,2024-09-25 01:23:53
83,error,error,error,error,error,error,2024-09-25 01:24:53
84,error,error,error,error,error,error,2024-09-25 01:25:53
85,error,error,error,error,error,error,2024-09-25 01:26:53
86,error,error,error,error,error,error,2024-09-25 01:27:53
87,error,error,error,error,error,error,2024-09-25 01:28:53
88,error,error,error,error,error,error,2024-09-25 01:29:53
89,error,error,error,error,error,error,2024-09-25 01:30:53
