,_id,P2_75.10,P2_74.1,P2_74.3,groupId,P2_74.2,csvTime,P2_74.10,P2_74.12,P2_74.11,P2_74.14,P2_74.13,P2_74.15,P2_74.5,P2_74.4,P2_74.7,P2_74.6,P2_74.9,P2_74.8,nodeName,P2_73.2,P2_75.0,P2_73.1,P2_73.4,P2_73.12,P2_62,P2_73.3,P2_73.13,P2_61,P2_73.14,P2_60,P2_73.15,P2_59,timestamp,P2_58,P2_57,P2_56,P2_55,P2_54,P2_73.6,P2_75.4,P2_73.5,P2_75.3,P2_73.8,P2_75.6,P2_73.7,P2_75.5,P2_75.8,P2_73.9,P2_75.9
0,,0,1,1,3,1,2024-09-25 00:00:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,348,0,340,1727193247146,335,329,692,694,693,0,0,0,0,0,0,0,0,0,0,0
1,,0,1,1,3,1,2024-09-25 00:01:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-25,0,0,60,0,348,0,339,1727193306620,334,328,692,694,693,0,0,0,0,0,0,0,0,0,0,0
2,,0,1,1,3,1,2024-09-25 00:02:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,351,0,344,1727193367253,339,332,692,694,693,0,0,0,0,0,0,0,0,0,0,0
3,,0,1,1,3,1,2024-09-25 00:03:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,351,0,343,1727193427580,340,333,692,694,693,0,0,0,0,0,0,0,0,0,0,0
4,,0,1,1,3,1,2024-09-25 00:04:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,348,0,340,1727193488009,336,329,692,694,693,0,0,0,0,0,0,0,0,0,0,0
5,,0,1,1,3,1,2024-09-25 00:05:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,348,0,339,1727193547398,335,329,692,694,693,0,0,0,0,0,0,0,0,0,0,0
6,,0,1,1,3,1,2024-09-25 00:06:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,345,0,339,1727193606583,335,328,692,694,693,0,0,0,0,0,0,0,0,0,0,0
7,,0,1,1,3,1,2024-09-25 00:07:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,321,0,327,1727193667196,322,312,692,694,693,0,0,0,0,0,0,0,0,0,0,0
8,,0,1,1,3,1,2024-09-25 00:08:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,332,0,334,1727193727652,328,318,692,694,693,0,0,0,0,0,0,0,0,0,0,0
9,,0,1,1,3,1,2024-09-25 00:09:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,334,0,336,1727193787231,330,320,692,694,693,0,0,0,0,0,0,0,0,0,0,0
10,,0,1,1,3,1,2024-09-25 00:10:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,345,0,345,1727193847566,340,329,692,694,693,0,0,0,0,0,0,0,0,0,0,0
11,,0,1,1,3,1,2024-09-25 00:11:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,335,0,334,1727193907641,328,317,692,694,693,0,0,0,0,0,0,0,0,0,0,0
12,,0,1,1,3,1,2024-09-25 00:12:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,336,0,335,1727193966868,329,318,692,694,693,0,0,0,0,0,0,0,0,0,0,0
13,,0,1,1,3,1,2024-09-25 00:13:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-25,0,0,60,0,337,0,335,1727194027678,329,320,692,694,693,0,0,0,0,0,0,0,0,0,0,0
14,,0,1,1,3,1,2024-09-25 00:14:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,332,0,332,1727194086910,326,316,692,694,693,0,0,0,0,0,0,0,0,0,0,0
15,,0,1,1,3,1,2024-09-25 00:15:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,301,0,313,1727194147093,306,296,692,694,693,0,0,0,0,0,0,0,0,0,0,0
16,,0,1,1,3,1,2024-09-25 00:16:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,304,0,319,1727194207629,310,300,691,693,693,0,0,0,0,0,0,0,0,0,0,0
17,,0,1,1,3,1,2024-09-25 00:17:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-25,0,0,60,0,306,0,317,1727194267159,310,300,692,694,693,0,0,0,0,0,0,0,0,0,0,0
18,,0,1,1,3,1,2024-09-25 00:18:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,299,0,312,1727194327591,305,294,692,694,693,0,0,0,0,0,0,0,0,0,0,0
19,,0,1,1,3,1,2024-09-25 00:19:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,318,0,335,1727194387084,328,318,692,694,693,0,0,0,0,0,0,0,0,0,0,0
20,,0,1,1,3,1,2024-09-25 00:20:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,324,0,337,1727194447538,328,321,692,694,693,0,0,0,0,0,0,0,0,0,0,0
21,,0,1,1,3,1,2024-09-25 00:21:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,321,0,336,1727194507779,327,319,692,694,693,0,0,0,0,0,0,0,0,0,0,0
22,,0,1,1,3,1,2024-09-25 00:22:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-25,0,0,60,0,324,0,337,1727194567130,329,321,692,694,693,0,0,0,0,0,0,0,0,0,0,0
23,,0,1,1,3,1,2024-09-25 00:23:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,326,0,339,1727194627631,330,322,692,694,693,0,0,0,0,0,0,0,0,0,0,0
24,,0,1,1,3,1,2024-09-25 00:24:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,343,0,355,1727194687795,347,340,692,694,693,0,0,0,0,0,0,0,0,0,0,0
25,,0,1,1,3,1,2024-09-25 00:25:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,346,0,356,1727194747195,347,342,692,694,693,0,0,0,0,0,0,0,0,0,0,0
26,,0,1,1,3,1,2024-09-25 00:26:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,332,0,346,1727194807728,336,332,692,694,693,0,0,0,0,0,0,0,0,0,0,0
27,,0,1,1,3,1,2024-09-25 00:27:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,310,0,317,1727194867077,308,304,692,694,693,0,0,0,0,0,0,0,0,0,0,0
28,,0,1,1,3,1,2024-09-25 00:28:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,307,0,312,1727194927412,305,301,692,694,693,0,0,0,0,0,0,0,0,0,0,0
29,,0,1,1,3,1,2024-09-25 00:29:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,307,0,312,1727194986733,305,301,692,694,693,0,0,0,0,0,0,0,0,0,0,0
30,,0,1,1,3,1,2024-09-25 00:30:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,316,0,320,1727195048011,313,309,692,694,693,0,0,0,0,0,0,0,0,0,0,0
31,,0,1,1,3,1,2024-09-25 00:31:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,316,0,320,1727195107192,312,308,692,694,693,0,0,0,0,0,0,0,0,0,0,0
32,,0,1,1,3,1,2024-09-25 00:32:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,315,0,318,1727195167364,311,308,692,694,693,0,0,0,0,0,0,0,0,0,0,0
33,,0,1,1,3,1,2024-09-25 00:33:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,318,0,321,1727195227890,314,311,692,694,693,0,0,0,0,0,0,0,0,0,0,0
34,,0,1,1,3,1,2024-09-25 00:34:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,315,0,316,1727195287473,310,307,692,694,693,0,0,0,0,0,0,0,0,0,0,0
35,,0,1,1,3,1,2024-09-25 00:35:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,318,0,320,1727195346868,313,310,692,694,693,0,0,0,0,0,0,0,0,0,0,0
36,,0,1,1,3,1,2024-09-25 00:36:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,313,0,315,1727195407948,309,306,692,694,693,0,0,0,0,0,0,0,0,0,0,0
37,,0,1,1,3,1,2024-09-25 00:37:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,315,0,317,1727195467097,311,307,692,694,693,0,0,0,0,0,0,0,0,0,0,0
38,,0,1,1,3,1,2024-09-25 00:38:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,313,0,317,1727195527483,311,307,692,694,693,0,0,0,0,0,0,0,0,0,0,0
39,,0,1,1,3,1,2024-09-25 00:39:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,343,0,352,1727195586656,345,341,692,694,692,0,0,0,0,0,0,0,0,0,0,0
40,,0,1,1,3,1,2024-09-25 00:40:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,339,0,348,1727195647999,341,337,692,694,693,0,0,0,0,0,0,0,0,0,0,0
41,,0,1,1,3,1,2024-09-25 00:41:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,348,0,357,1727195707478,349,345,692,694,693,0,0,0,0,0,0,0,0,0,0,0
42,,0,1,1,3,1,2024-09-25 00:42:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,351,0,359,1727195767669,350,346,692,694,693,0,0,0,0,0,0,0,0,0,0,0
43,,0,1,1,3,1,2024-09-25 00:43:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,354,0,366,1727195826867,359,354,691,694,693,0,0,0,0,0,0,0,0,0,0,0
44,,0,1,1,3,1,2024-09-25 00:44:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,359,0,367,1727195887243,359,355,692,694,693,0,0,0,0,0,0,0,0,0,0,0
45,,0,1,1,3,1,2024-09-25 00:45:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,59,0,357,0,364,1727195947630,357,351,691,693,692,0,0,0,0,0,0,0,0,0,0,0
46,,0,1,1,3,1,2024-09-25 00:46:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,357,0,362,1727196007006,356,350,692,694,693,0,0,0,0,0,0,0,0,0,0,0
47,,0,1,1,3,1,2024-09-25 00:47:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,351,0,363,1727196067393,356,349,692,694,693,0,0,0,0,0,0,0,0,0,0,0
48,,0,1,1,3,1,2024-09-25 00:48:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,307,0,318,1727196126903,309,301,692,694,693,0,0,0,0,0,0,0,0,0,0,0
49,,0,1,1,3,1,2024-09-25 00:49:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,304,0,317,1727196187053,308,300,692,694,693,0,0,0,0,0,0,0,0,0,0,0
50,,0,1,1,3,1,2024-09-25 00:50:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,304,0,317,1727196247585,308,301,692,694,693,0,0,0,0,0,0,0,0,0,0,0
51,,0,1,1,3,1,2024-09-25 00:51:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,307,0,322,1727196308210,315,307,692,694,693,0,0,0,0,0,0,0,0,0,0,0
52,,0,1,1,3,1,2024-09-25 00:52:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,310,0,321,1727196367441,314,305,692,694,693,0,0,0,0,0,0,0,0,0,0,0
53,,0,1,1,3,1,2024-09-25 00:53:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,309,0,321,1727196427744,314,306,692,694,693,0,0,0,0,0,0,0,0,0,0,0
54,,0,1,1,3,1,2024-09-25 00:54:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,305,0,318,1727196487271,311,303,692,694,693,0,0,0,0,0,0,0,0,0,0,0
55,,0,1,1,3,1,2024-09-25 00:55:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,304,0,317,1727196547814,310,302,692,694,693,0,0,0,0,0,0,0,0,0,0,0
56,,0,1,1,3,1,2024-09-25 00:56:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,304,0,317,1727196607105,310,302,692,694,693,0,0,0,0,0,0,0,0,0,0,0
57,,0,1,1,3,1,2024-09-25 00:57:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,293,0,309,1727196666788,301,294,692,694,693,0,0,0,0,0,0,0,0,0,0,0
58,,0,1,1,3,1,2024-09-25 00:58:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,258,0,266,1727196728168,260,253,692,694,693,0,0,0,0,0,0,0,0,0,0,0
59,,0,1,1,3,1,2024-09-25 00:59:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,258,0,265,1727196787580,258,252,692,694,693,0,0,0,0,0,0,0,0,0,0,0
60,,0,1,1,3,1,2024-09-25 01:00:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,263,0,271,1727196847908,266,259,692,694,693,0,0,0,0,0,0,0,0,0,0,0
61,,0,1,1,3,1,2024-09-25 01:01:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,268,0,274,1727196907375,270,262,692,694,693,0,0,0,0,0,0,0,0,0,0,0
62,,0,1,1,3,1,2024-09-25 01:02:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,285,0,294,1727196966975,288,283,692,694,693,0,0,0,0,0,0,0,0,0,0,0
63,,0,1,1,3,1,2024-09-25 01:03:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,285,0,294,1727197027454,289,282,692,694,693,0,0,0,0,0,0,0,0,0,0,0
64,,0,1,1,3,1,2024-09-25 01:04:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-25,0,0,60,0,282,0,291,1727197087054,285,279,692,694,693,0,0,0,0,0,0,0,0,0,0,0
65,,0,1,1,3,1,2024-09-25 01:05:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-25,0,0,60,0,285,0,291,1727197147410,286,280,692,694,693,0,0,0,0,0,0,0,0,0,0,0
66,,0,1,1,3,1,2024-09-25 01:06:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,294,0,301,1727197206627,295,289,692,694,693,0,0,0,0,0,0,0,0,0,0,0
67,,0,1,1,3,1,2024-09-25 01:07:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-25,0,0,60,0,299,0,308,1727197267245,301,295,692,694,693,0,0,0,0,0,0,0,0,0,0,0
68,,0,1,1,3,1,2024-09-25 01:08:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,299,0,308,1727197327754,302,296,692,694,693,0,0,0,0,0,0,0,0,0,0,0
69,,0,1,1,3,1,2024-09-25 01:09:38,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,1,0,0,-24,0,0,60,0,318,0,321,1727197386900,315,308,692,694,693,0,0,0,0,0,0,0,0,0,0,0
