,csvTime,P3_32,P3_15
0,2024-09-25 00:00:30,0,-0.6
1,2024-09-25 00:01:30,0,-0.6
2,2024-09-25 00:02:30,0,-0.6
3,2024-09-25 00:03:30,0,-0.8
4,2024-09-25 00:04:30,0,-0.8
5,2024-09-25 00:05:30,0,-0.8
6,2024-09-25 00:06:30,0,-0.7
7,2024-09-25 00:07:30,0,-0.6
8,2024-09-25 00:08:30,0,-0.8
9,2024-09-25 00:09:30,0,-0.7
10,2024-09-25 00:10:30,0,-0.7
11,2024-09-25 00:11:30,0,-0.7
12,2024-09-25 00:12:30,0,-0.6
13,2024-09-25 00:13:30,0,-0.8
14,2024-09-25 00:14:30,0,-0.5
15,2024-09-25 00:15:30,0,-0.6
16,2024-09-25 00:16:30,0,-0.6
17,2024-09-25 00:17:30,0,-0.8
18,2024-09-25 00:18:30,0,-0.5
19,2024-09-25 00:19:30,0,-0.6
20,2024-09-25 00:20:30,0,-0.6
21,2024-09-25 00:21:30,0,-0.7
22,2024-09-25 00:22:30,0,-0.8
23,2024-09-25 00:23:30,0,-0.7
24,2024-09-25 00:24:30,0,-0.5
25,2024-09-25 00:25:30,0,-0.7
26,2024-09-25 00:26:30,0,-0.8
27,2024-09-25 00:27:30,0,-0.7
28,2024-09-25 00:28:30,0,-0.6
29,2024-09-25 00:29:30,0,-0.7
30,2024-09-25 00:30:30,0,-0.6
31,2024-09-25 00:31:30,0,-0.6
32,2024-09-25 00:32:30,0,-0.7
33,2024-09-25 00:33:30,0,-0.7
34,2024-09-25 00:34:30,0,-0.7
35,2024-09-25 00:35:30,0,-0.7
36,2024-09-25 00:36:30,0,-0.6
37,2024-09-25 00:37:30,0,-0.7
38,2024-09-25 00:38:30,0,-0.7
39,2024-09-25 00:39:30,0,-0.6
40,2024-09-25 00:40:30,0,-0.7
41,2024-09-25 00:41:30,0,-0.6
42,2024-09-25 00:42:30,0,-0.7
43,2024-09-25 00:43:30,0,-0.6
44,2024-09-25 00:44:30,0,-0.6
45,2024-09-25 00:45:30,0,-0.6
46,2024-09-25 00:46:30,0,-0.5
47,2024-09-25 00:47:30,0,-0.7
48,2024-09-25 00:48:30,0,-0.7
49,2024-09-25 00:49:30,0,-0.5
50,2024-09-25 00:50:30,0,-0.6
51,2024-09-25 00:51:30,0,-0.8
52,2024-09-25 00:52:30,0,-0.6
53,2024-09-25 00:53:30,0,-0.7
54,2024-09-25 00:54:30,0,-0.6
55,2024-09-25 00:55:30,0,-0.7
56,2024-09-25 00:56:30,0,-0.8
57,2024-09-25 00:57:30,0,-0.7
58,2024-09-25 00:58:30,0,-0.8
59,2024-09-25 00:59:30,0,-0.7
60,2024-09-25 01:00:30,0,-0.7
61,2024-09-25 01:01:30,0,-0.6
62,2024-09-25 01:02:30,0,-0.7
63,2024-09-25 01:03:30,0,-0.7
64,2024-09-25 01:04:30,0,-0.6
65,2024-09-25 01:05:30,0,-0.8
66,2024-09-25 01:06:30,0,-0.7
67,2024-09-25 01:07:30,0,-0.8
68,2024-09-25 01:08:30,0,-1.0
69,2024-09-25 01:09:30,0,-0.7
70,2024-09-25 01:10:30,0,-0.6
71,2024-09-25 01:11:30,0,-0.7
72,2024-09-25 01:12:30,0,-0.7
73,2024-09-25 01:13:30,0,-0.8
74,2024-09-25 01:14:30,0,-0.7
75,2024-09-25 01:15:30,0,-0.8
76,2024-09-25 01:16:30,0,-0.7
77,2024-09-25 01:17:30,0,-0.7
78,2024-09-25 01:18:30,0,-0.6
79,2024-09-25 01:19:30,0,-0.8
80,2024-09-25 01:20:30,0,-0.8
81,2024-09-25 01:21:30,0,-0.6
82,2024-09-25 01:22:30,0,-0.6
83,2024-09-25 01:23:30,0,-0.7
84,2024-09-25 01:24:30,0,-0.7
85,2024-09-25 01:25:30,0,-0.8
86,2024-09-25 01:26:30,0,-0.7
87,2024-09-25 01:27:30,0,-0.6
88,2024-09-25 01:28:30,0,-0.8
89,2024-09-25 01:29:30,0,-0.6
90,2024-09-25 01:30:30,0,-0.7
91,2024-09-25 01:31:30,0,-0.7
92,2024-09-25 01:32:30,0,-0.6
93,2024-09-25 01:33:30,0,-0.8
94,2024-09-25 01:34:30,0,-0.5
95,2024-09-25 01:35:30,0,-0.8
96,2024-09-25 01:36:30,0,-0.7
97,2024-09-25 01:37:30,0,-0.7
98,2024-09-25 01:38:30,0,-0.8
99,2024-09-25 01:39:30,0,-0.6
100,2024-09-25 01:40:30,0,-0.6
101,2024-09-25 01:41:30,0,-0.6
102,2024-09-25 01:42:30,0,-0.7
103,2024-09-25 01:43:30,0,-0.7
104,2024-09-25 01:44:30,0,-0.5
105,2024-09-25 01:45:30,0,-0.6
106,2024-09-25 01:46:30,0,-0.7
107,2024-09-25 01:47:30,0,-0.7
108,2024-09-25 01:48:30,0,-0.6
109,2024-09-25 01:49:30,0,-0.8
110,2024-09-25 01:50:30,0,-0.8
111,2024-09-25 01:51:30,0,-0.7
112,2024-09-25 01:52:30,0,-0.6
113,2024-09-25 01:53:30,0,-0.7
114,2024-09-25 01:54:30,0,-0.7
115,2024-09-25 01:55:30,0,-0.6
116,2024-09-25 01:56:30,0,-0.8
117,2024-09-25 01:57:30,0,-0.7
118,2024-09-25 01:58:30,0,-0.7
119,2024-09-25 01:59:30,0,-0.5
120,2024-09-25 02:00:30,0,-0.8
121,2024-09-25 02:01:30,0,-0.7
122,2024-09-25 02:02:30,0,-0.6
123,2024-09-25 02:03:30,0,-0.7
124,2024-09-25 02:04:30,0,-0.6
125,2024-09-25 02:05:30,0,-0.6
126,2024-09-25 02:06:30,0,-0.7
127,2024-09-25 02:07:30,0,-0.7
128,2024-09-25 02:08:30,0,-0.8
129,2024-09-25 02:09:30,0,-0.8
130,2024-09-25 02:10:30,0,-0.7
131,2024-09-25 02:11:30,0,-0.7
132,2024-09-25 02:12:30,0,-0.7
133,2024-09-25 02:13:30,0,-0.6
134,2024-09-25 02:14:30,0,-0.8
135,2024-09-25 02:15:30,0,-0.7
136,2024-09-25 02:16:30,0,-1.0
137,2024-09-25 02:17:30,0,-0.7
138,2024-09-25 02:18:30,0,-0.7
139,2024-09-25 02:19:30,0,-0.6
140,2024-09-25 02:20:30,0,-0.6
141,2024-09-25 02:21:30,0,-0.6
