,13-14-9_v,13-14-8_v,13-14-5_v,13-14-4_v,13-14-10_v,13-14-7_v,13-14-11_v,13-14-6_v,13-14-12_v,13-14-1_v,13-14-0_v,13-14-3_v,13-14-2_v,13-14-13_v,csvTime
0,100,0,0,0,5998,0,9,0,0,696.8,697.1,0,696.5,,2024-09-25 00:01:00
1,100,0,0,0,5999,0,9,0,0,696.8,697.1,0,696.5,,2024-09-25 00:01:59
2,100,0,0,0,5998,0,5,0,0,696.8,697.1,0,696.4,,2024-09-25 00:02:59
3,100,0,0,0,5998,0,5,0,0,696.7,697.0,0,696.4,,2024-09-25 00:04:01
4,100,0,0,0,5999,0,5,0,0,696.8,697.1,0,696.6,,2024-09-25 00:05:01
5,100,0,0,0,5999,0,2,0,0,696.8,697.1,0,696.5,,2024-09-25 00:06:00
6,100,0,0,0,5998,0,0,0,0,696.9,697.2,0,696.6,,2024-09-25 00:07:00
7,100,0,0,0,5999,0,4,0,0,696.8,697.3,0,696.4,,2024-09-25 00:08:02
8,100,0,0,0,6001,0,10,0,0,696.7,697.1,0,696.2,,2024-09-25 00:09:01
9,100,0,0,0,5998,0,2,0,0,696.8,697.3,0,696.4,,2024-09-25 00:10:01
10,100,0,0,0,5998,0,12,0,0,696.8,697.2,0,696.3,,2024-09-25 00:11:01
11,100,0,0,0,6000,0,12,0,0,696.8,697.2,0,696.3,,2024-09-25 00:12:01
12,100,0,0,0,6000,0,11,0,0,696.7,697.2,0,696.3,,2024-09-25 00:13:02
13,100,0,0,0,5999,0,12,0,0,696.9,697.3,0,696.4,,2024-09-25 00:14:02
14,100,0,0,0,5999,0,4,0,0,696.8,697.2,0,696.4,,2024-09-25 00:15:02
15,100,0,0,0,6002,0,11,0,0,696.8,697.2,0,696.3,,2024-09-25 00:16:04
16,100,0,0,0,6002,0,3,0,0,696.7,697.1,0,696.2,,2024-09-25 00:17:04
17,100,0,0,0,6002,0,0,0,0,696.8,697.2,0,696.3,,2024-09-25 00:18:04
18,100,0,0,0,6002,0,3,0,0,696.7,697.2,0,696.2,,2024-09-25 00:19:04
19,100,0,0,0,6001,0,6,0,0,696.6,697.0,0,696.2,,2024-09-25 00:20:03
20,100,0,0,0,6000,0,0,0,0,696.7,697.0,0,696.3,,2024-09-25 00:21:03
21,100,0,0,0,6002,0,3,0,0,696.8,697.2,0,696.4,,2024-09-25 00:22:03
22,100,0,0,0,6001,0,2,0,0,696.7,697.1,0,696.3,,2024-09-25 00:23:03
23,100,0,0,0,5999,0,0,0,0,696.7,697.0,0,696.3,,2024-09-25 00:24:05
24,100,0,0,0,5999,0,10,0,0,696.4,696.8,0,696.1,,2024-09-25 00:25:05
25,100,0,0,0,6000,0,0,0,0,696.6,696.8,0,696.3,,2024-09-25 00:26:04
26,100,0,0,0,5999,0,0,0,0,696.7,696.9,0,696.4,,2024-09-25 00:27:04
27,100,0,0,0,6000,0,0,0,0,696.8,697.0,0,696.6,,2024-09-25 00:28:04
28,100,0,0,0,6002,0,5,0,0,696.8,697.1,0,696.5,,2024-09-25 00:29:04
29,100,0,0,0,6002,0,9,0,0,696.9,697.1,0,696.6,,2024-09-25 00:30:04
30,100,0,0,0,6001,0,4,0,0,696.6,696.9,0,696.4,,2024-09-25 00:31:06
31,100,0,0,0,6002,0,0,0,0,696.7,697.0,0,696.5,,2024-09-25 00:32:06
32,100,0,0,0,6001,0,5,0,0,696.8,697.0,0,696.5,,2024-09-25 00:33:08
33,100,0,0,0,6000,0,6,0,0,696.9,697.1,0,696.6,,2024-09-25 00:34:08
34,100,0,0,0,6001,0,5,0,0,696.8,697.0,0,696.6,,2024-09-25 00:35:08
35,100,0,0,0,6002,0,2,0,0,696.8,697.0,0,696.6,,2024-09-25 00:36:08
36,100,0,0,0,6001,0,3,0,0,696.8,697.0,0,696.5,,2024-09-25 00:37:07
37,100,0,0,0,6002,0,9,0,0,696.8,697.0,0,696.5,,2024-09-25 00:38:08
38,100,0,0,0,6000,0,0,0,0,696.5,696.8,0,696.2,,2024-09-25 00:39:07
39,100,0,0,0,5999,0,0,0,0,696.5,696.8,0,696.3,,2024-09-25 00:40:07
40,100,0,0,0,6000,0,2,0,0,696.6,696.9,0,696.3,,2024-09-25 00:41:08
41,100,0,0,0,5998,0,8,0,0,696.6,696.9,0,696.3,,2024-09-25 00:42:08
42,100,0,0,0,5999,0,3,0,0,696.6,696.8,0,696.3,,2024-09-25 00:43:07
43,100,0,0,0,5997,0,8,0,0,696.5,696.8,0,696.2,,2024-09-25 00:44:09
44,100,0,0,0,5999,0,6,0,0,696.5,696.8,0,696.2,,2024-09-25 00:45:08
45,100,0,0,0,5999,0,5,0,0,696.5,696.8,0,696.3,,2024-09-25 00:46:08
46,100,0,0,0,5997,0,0,0,0,696.5,696.7,0,696.2,,2024-09-25 00:47:10
47,100,0,0,0,6001,0,4,0,0,696.9,697.3,0,696.5,,2024-09-25 00:48:09
48,100,0,0,0,6002,0,3,0,0,696.9,697.3,0,696.5,,2024-09-25 00:49:10
49,100,0,0,0,6003,0,3,0,0,696.8,697.2,0,696.4,,2024-09-25 00:50:10
50,100,0,0,0,6002,0,3,0,0,696.8,697.3,0,696.4,,2024-09-25 00:51:09
