,13-2-11_v,13-2-10_v,13-2-13_v,13-2-12_v,13-2-6_v,13-2-5_v,13-2-4_v,13-2-3_v,13-2-2_v,13-2-1_v,13-2-0_v,13-2-9_v,13-2-8_v,csvTime,13-2-7_v
0,4,5999,,0,2,0,0,0,6963,6959,6955,100,2,2024-09-25 00:00:04,1
1,5,5998,,0,2,0,0,0,6965,6961,6957,100,2,2024-09-25 00:01:04,1
2,2,6000,,0,2,0,0,0,6965,6961,6957,100,2,2024-09-25 00:02:03,1
3,9,5997,,0,2,0,0,0,6963,6959,6955,100,2,2024-09-25 00:03:03,1
4,8,5998,,0,2,0,0,0,6964,6960,6956,100,2,2024-09-25 00:04:03,1
5,2,5997,,0,2,0,0,0,6964,6960,6956,100,2,2024-09-25 00:05:05,1
6,0,5998,,0,2,0,0,0,6963,6960,6956,100,2,2024-09-25 00:06:04,1
7,2,5999,,0,2,0,0,0,6964,6960,6957,100,2,2024-09-25 00:07:04,1
8,0,6000,,0,2,0,0,0,6962,6960,6958,100,2,2024-09-25 00:08:06,1
9,9,6000,,0,2,0,0,0,6962,6959,6957,100,2,2024-09-25 00:09:05,1
10,8,6000,,0,2,0,0,0,6962,6959,6957,100,2,2024-09-25 00:10:05,1
11,2,5998,,0,2,0,0,0,6962,6960,6958,100,2,2024-09-25 00:11:05,1
12,3,6000,,0,2,0,0,0,6962,6960,6957,100,2,2024-09-25 00:12:05,1
13,0,5999,,0,2,0,0,0,6963,6961,6958,100,2,2024-09-25 00:13:06,1
14,0,5999,,0,2,0,0,0,6963,6961,6958,100,2,2024-09-25 00:14:06,1
15,5,6001,,0,2,0,0,0,6963,6961,6958,100,2,2024-09-25 00:15:08,1
16,6,6002,,0,2,0,0,0,6961,6958,6956,100,2,2024-09-25 00:16:08,1
17,4,6001,,0,2,0,0,0,6962,6959,6957,100,2,2024-09-25 00:17:08,1
18,0,6002,,0,2,0,0,0,6962,6960,6958,100,2,2024-09-25 00:18:08,1
19,0,6002,,0,2,0,0,0,6962,6960,6958,100,2,2024-09-25 00:19:08,1
20,9,6000,,0,2,0,0,0,6962,6958,6955,100,2,2024-09-25 00:20:07,1
21,9,6000,,0,2,0,0,0,6961,6958,6954,100,2,2024-09-25 00:21:07,1
22,10,6000,,0,2,0,0,0,6964,6960,6957,100,2,2024-09-25 00:22:07,1
23,10,6000,,0,2,0,0,0,6962,6959,6955,100,2,2024-09-25 00:23:07,1
24,0,5999,,0,2,0,0,0,6962,6959,6955,100,2,2024-09-25 00:24:09,1
25,9,5999,,0,2,0,0,0,6963,6959,6955,100,2,2024-09-25 00:25:08,1
26,3,5999,,0,2,0,0,0,6961,6957,6954,100,2,2024-09-25 00:26:08,1
27,2,6000,,0,2,0,0,0,6962,6958,6955,100,2,2024-09-25 00:27:08,1
28,0,6001,,0,2,0,0,0,6964,6960,6956,100,2,2024-09-25 00:28:08,1
29,11,6001,,0,2,0,0,0,6965,6961,6956,100,2,2024-09-25 00:29:08,1
30,9,6002,,0,2,0,0,0,6965,6961,6956,100,2,2024-09-25 00:30:08,1
31,11,6000,,0,2,0,0,0,6965,6960,6956,100,2,2024-09-25 00:31:08,1
32,11,6002,,0,2,0,0,0,6964,6959,6955,100,2,2024-09-25 00:32:08,1
33,11,6001,,0,2,0,0,0,6963,6959,6954,100,2,2024-09-25 00:33:10,1
34,12,6002,,0,2,0,0,0,6967,6962,6957,100,2,2024-09-25 00:34:10,1
35,4,6001,,0,2,0,0,0,6965,6960,6956,100,2,2024-09-25 00:35:10,1
36,6,6001,,0,2,0,0,0,6965,6960,6955,100,2,2024-09-25 00:36:10,1
37,10,6001,,0,2,0,0,0,6964,6959,6955,100,2,2024-09-25 00:37:10,1
38,7,6002,,0,2,0,0,0,6964,6959,6955,100,2,2024-09-25 00:38:10,1
39,11,6000,,0,2,0,0,0,6963,6958,6954,100,2,2024-09-25 00:39:10,1
40,4,5999,,0,2,0,0,0,6962,6957,6953,100,2,2024-09-25 00:40:10,1
41,2,5999,,0,2,0,0,0,6963,6959,6955,100,2,2024-09-25 00:41:10,1
42,2,5998,,0,2,0,0,0,6962,6958,6954,100,2,2024-09-25 00:42:10,1
43,5,5999,,0,2,0,0,0,6962,6957,6953,100,2,2024-09-25 00:43:09,1
44,3,5998,,0,2,0,0,0,6962,6958,6954,100,2,2024-09-25 00:44:11,1
45,10,5997,,0,2,0,0,0,6962,6958,6954,100,2,2024-09-25 00:45:10,1
46,0,5998,,0,2,0,0,0,6962,6958,6954,100,2,2024-09-25 00:46:10,1
47,0,5999,,0,2,0,0,0,6961,6957,6953,100,2,2024-09-25 00:47:12,1
48,0,6002,,0,2,0,0,0,6963,6960,6958,100,2,2024-09-25 00:48:11,1
49,0,6003,,0,2,0,0,0,6963,6960,6958,100,2,2024-09-25 00:49:12,1
50,6,6002,,0,2,0,0,0,6964,6961,6959,100,2,2024-09-25 00:50:12,1
51,4,6002,,0,2,0,0,0,6964,6961,6959,100,2,2024-09-25 00:51:12,1
52,9,6002,,0,2,0,0,0,6964,6961,6958,100,2,2024-09-25 00:52:12,1
53,0,6002,,0,2,0,0,0,6962,6959,6957,100,2,2024-09-25 00:53:12,1
54,4,6001,,0,2,0,0,0,6963,6961,6958,100,2,2024-09-25 00:54:12,1
55,6,6002,,0,2,0,0,0,6963,6960,6957,100,2,2024-09-25 00:55:12,1
56,10,6002,,0,2,0,0,0,6962,6959,6956,100,2,2024-09-25 00:56:12,1
57,7,6003,,0,2,0,0,0,6963,6960,6957,100,2,2024-09-25 00:57:12,1
58,6,6006,,0,2,0,0,0,6969,6966,6963,100,2,2024-09-25 00:58:12,1
59,0,6006,,0,2,0,0,0,6965,6962,6959,100,2,2024-09-25 01:00:12,1
60,6,6005,,0,2,0,0,0,6965,6961,6958,100,2,2024-09-25 01:01:11,1
61,7,6007,,0,2,0,0,0,6971,6967,6963,100,2,2024-09-25 01:02:11,1
62,5,6003,,0,2,0,0,0,6963,6960,6957,100,2,2024-09-25 01:03:11,1
63,8,6004,,0,2,0,0,0,6965,6961,6958,100,2,2024-09-25 01:04:13,1
64,2,6003,,0,2,0,0,0,6966,6962,6959,100,2,2024-09-25 01:05:13,1
65,9,6004,,0,2,0,0,0,6966,6962,6959,100,2,2024-09-25 01:06:13,1
66,10,6004,,0,2,0,0,0,6963,6960,6956,100,2,2024-09-25 01:07:13,1
67,4,6002,,0,2,0,0,0,6966,6962,6959,100,2,2024-09-25 01:08:13,1
68,0,6002,,0,2,0,0,0,6965,6961,6958,100,2,2024-09-25 01:09:13,1
69,5,5999,,0,2,0,0,0,6960,6957,6953,100,2,2024-09-25 01:10:13,1
70,0,6000,,0,2,0,0,0,6962,6958,6955,100,2,2024-09-25 01:11:12,1
71,5,6000,,0,2,0,0,0,6961,6958,6955,100,2,2024-09-25 01:12:12,1
72,8,5999,,0,2,0,0,0,6961,6957,6954,100,2,2024-09-25 01:13:14,1
73,6,5999,,0,2,0,0,0,6961,6957,6954,100,2,2024-09-25 01:14:14,1
74,0,5999,,0,2,0,0,0,6960,6957,6953,100,2,2024-09-25 01:15:14,1
